score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[3 4 5 5 3 3 4 5 4 2],blad pluss tralle kran ugle gul krone hylle skitten blokk,0.3924050632911392,1.0,fod tlik flettet grør smarte trykk snø sjerne glurie gart,0.7719298245614035,1.0,0,"['d12', 'a20', 'a32', 'd17', 'a34', 'a23', 'a07', 'a01', 'd08']","['a01', 'a07', 'd17', 'd12', 'a20', 'a32', 'a34', 'a23', 'd08', 'a20']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[5 3 4 5 5 5 5 2 2 5],drops flagg hjørne kø dyne hund stupe horn syk flagg,0.4307692307692308,1.0,plaster kjelpade sky flystre kropp ryke kreane gyst kjerm bjørn,0.9615384615384616,1.0,0,"['d18', 'a03', 'a31', 'd03', 'a23', 'a25', 'a18', 'a05', 'a13', 'd09']","['a23', 'a05', 'd09', 'a25', 'd18', 'a31', 'a18', 'a13', 'a03', 'd03']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[4 3 5 4 4 2 5 4 5 3],planke flagg stjerne premie snørr tynn skilpadde smykke sølv dykke,0.417910447761194,1.0,fredde rikard hilde lør bjørn kort erter krone gris blad,0.7878787878787878,1.0,0,"['a30', 'a03', 'd06', 'd01', 'a11', 'd13', 'a08', 'd08', 'a27']","['d08', 'a30', 'd13', 'd13', 'a08', 'a03', 'd06', 'a11', 'd01', 'a27']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[5 1 2 5 3 3 3 2 5 4],smør terning plystre kort kropp glør torne tre tralle sykkel,0.3924050632911392,1.0,fortid kyn blystre druer bygge ygle hyske kyn kop kjelle,0.7,1.0,0,"['d02', 'a04', 'd12', 'd10', 'd07', 'a10', 'd14', 'a07', 'a01', 'a33']","['d07', 'a07', 'd12', 'd02', 'd10', 'd14', 'a33', 'a01', 'a04', 'a10']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[5 5 3 4 3 5 3 2 3 3],vindu bart dykke fort glitter fort snø fortid kjerne frakk,0.4157303370786517,1.0,smikke findu grave drops star glory schicklitt bi breie tone,0.7931034482758621,1.0,0,"['a20', 'a09', 'a14', 'a32', 'a16', 'a11', 'a07', 'a12', 'a06']","['a32', 'a09', 'a16', 'a09', 'a14', 'a20', 'a06', 'a07', 'a12', 'a11']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[5 5 3 3 1 4 5 4 5 3],gul dykke smykke mus krabbe nøkkel troll hjort blomst hylle,0.40229885057471265,1.0,gull piste drops forts rød brod frikt gris,0.7288135593220338,1.0,-2,"['d10', 'd17', 'd01', 'a21', 'a10', 'd11', 'a06']","['d01', 'd17', 'd10', 'd11', 'a06', 'a06', 'd10', 'a21', 'd11', 'a10']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[4 3 4 5 5 5 5 3 3 5],skip erter blyant tre kart krakk sølv nøkkel skøyter grønn,0.42168674698795183,1.0,gruv grømme ny grå fyta tjeiter fyta star port tårn,0.7931034482758621,1.0,0,"['d05', 'a30', 'd04', 'a31', 'a12', 'a33', 'a01', 'a15', 'd03']","['a15', 'a15', 'a33', 'd04', 'd03', 'a31', 'd05', 'a12', 'a01', 'a30']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[4 2 5 5 3 3 1 2 5 4],søppel krabbe sykkel jern skjørt vær frakk sylte koffert børste,0.4810126582278481,1.0,fjær brød uble skiraf skjirpade grun linn enjonning sjø,0.7619047619047619,1.0,-1,"['a17', 'd15', 'a25', 'a07', 'a01', 'a26', 'a19', 'd03', 'a15']","['a19', 'a01', 'a17', 'd15', 'a26', 'a25', 'a07', 'a15', 'd03', 'a25']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[5 4 3 5 4 4 3 4 4 3],skive planke port krabbe start trikk jus gris tjern smerte,0.38666666666666666,1.0,stupe singe stupe tralle jernet hynne trapp fetel eddlagt praster,0.8103448275862069,1.0,0,"['a14', 'd10', 'a31', 'a34', 'a16', 'a23', 'd11', 'a26', 'd03', 'd09']","['d10', 'd09', 'd11', 'a31', 'a16', 'a26', 'a23', 'a14', 'd03', 'a34']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
[4 4 5 3 4 3 3 2 5 5],frakk trylle erter garn flue skip turn blod sjiraff søt,0.29577464788732394,0.8,smikke buss brød klo lytte køter lys kjørt trille koffert,0.8363636363636363,1.0,0,"['d12', 'a09', 'a03', 'd06', 'd01', 'a22', 'a25', 'd13', 'a18', 'a19']","['a18', 'd06', 'd12', 'a22', 'a25', 'a09', 'a03', 'a19', 'd01', 'd13']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,Medium
