score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,vel lagt roe,0.8245614035087719,1.0,0.17647058823529413,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",-7,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-tiny-verbatim
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,dem,0.9655172413793104,1.0,0.26881720430107525,1.0,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-tiny-verbatim
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kjære kj bære ha bli t t t t t t t bli,10.19672131147541,11.6,0.3670886075949367,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",106,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,klapp klapp klapp løva ulem,0.734375,1.0,0.4050632911392405,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",-5,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,plystre kvern glorie klem bryter briller drue barn start løve,pust tre pip til tjuet barn tjuet barn,0.6557377049180327,0.9,0.5072463768115942,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",-2,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,plystre blokk horn søle svømme svart glorie garn blomst blå,pristlige dukk og om sjele svømme svømme svørt,0.6440677966101694,1.0,0.03896103896103896,0.3,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",-2,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,bjørn artist søt terning løve horn glorie glad kikkert børste,pene christa så lærer han at ti så snikk sikker,0.7213114754098361,1.0,0.25274725274725274,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",0,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,barn flette drue skjema smart vindu tralle munn glorie horn,nordmenn solvik olvik skriver solvik olvik skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriver skriv k på kriv k prer kriv kriv kriv kriv kriv kriv kriv kriv kriv kriv kriv kriv kriv kriv k prøp,11.271186440677965,9.7,0.3291139240506329,1.0,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",87,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,vi går der trygve trygve trygve trygve trygve trygve t,0.7894736842105263,1.0,0.4044943820224719,1.0,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",0,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
2,kort korn klo klem kikkert blokk bart fortid fortau fort,godt brødskunen kronen kronen kronen kronen kronen kronen kronen kronen kronen kronen kronen kronen kronen kronen k kron fot,1.6607142857142858,1.9,0.504950495049505,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",9,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny-verbatim
