score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[2 3 4 1 3 5 5 5 2 3],glad torne snørr ugle bart lys børste sjiraff svart blokk,0.3924050632911392,1.0,flette grør smerte trykk snø stjerne cholorie,0.7192982456140351,1.0,-3,"['a30', 'd04', 'd06', 'a21', 'a11', 'a18', 'a08', 'd09', 'a06']","['a06', 'a18', 'd09', 'a30', 'a11', 'a08', 'd06', 'd04', 'a11', 'a21']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 5 3 4 4 3 4 4 5 3],klo bær mus ørn lyn kjerne buss plystre hjerne svart,0.4307692307692308,1.0,skjelpadde bjørum,0.8269230769230769,1.0,-8,"['d19', 'a30', 'a02', 'a34', 'a13', 'a08', 'a06']","['a06', 'a30', 'd19', 'a02', 'a30', 'a08', 'd19', 'd19', 'a34', 'a13']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 4 5 5 2 3 3 3 5 5],sykkel drue jus smart hylle drue plante by sjø bær,0.417910447761194,1.0,fredde wiker klad,0.82,1.0,-7,"['d12', 'a09', 'd07', 'a31', 'a10', 'a29', 'd13', 'a28', 'a19', 'a27']","['a10', 'a27', 'a31', 'd07', 'a09', 'd12', 'a29', 'd13', 'a28', 'a19']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[2 5 3 3 5 5 3 4 3 1],horn drops kvart ekorn skøyter frø skitten kran glass hjørne,0.3924050632911392,1.0,syn plystre dua bygge ugle t skjell kjølle,0.75,1.0,-2,"['a30', 'a17', 'a04', 'a23', 'a11', 'a18', 'a28', 'a06']","['a17', 'a28', 'a30', 'a04', 'a23', 'a11', 'a18', 'a28', 'a17', 'a06']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 4 5 5 5 5 4 3 3],frukt krykke drops rød skulder hjort premie sjakk kran blad,0.4157303370786517,1.0,smykke findu grave ei dropp star kurie skikkelig bi b reie,0.7966101694915254,1.1,1,"['d05', 'a04', 'a20', 'a02', 'd10', 'a34', 'd17', 'd11', 'a15']","['d10', 'a04', 'a34', 'd17', 'd05', 'a02', 'd11', 'a02', 'a15', 'a20']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 3 5 5 4 3 4 2 5 4],sjakk flette brun lyn internett trylle drikke trykk løve brå,0.40229885057471265,1.0,syr du gull pris te drops drops jo fort hører du og det jo frukt gris,0.9166666666666666,1.6,6,"['d05', 'a20', 'a31', 'd01', 'a10', 'a25', 'a12', 'a18', 'a27']","['a20', 'a10', 'a31', 'd05', 'a27', 'a12', 'a18', 'a25', 'd01', 'a18']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 4 3 5 4 3 3 4 3 4],prins trille svart lys fregner bryter klappe lys grønn myk,0.42168674698795183,1.0,grå tårn,0.9137931034482759,1.0,-8,"['a09', 'a23', 'd11', 'a12', 'a33', 'a26', 'a28', 'a15', 'd09', 'a06']","['a09', 'a26', 'd11', 'd09', 'a28', 'a23', 'a15', 'a12', 'a06', 'a33']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 4 4 3 5 3 4 5 3],frukt garn bror kurv stupe gutt svære sky skilpadde gartner,0.4810126582278481,1.0,fiarr,0.9152542372881356,1.0,-9,"['d16', 'a32', 'd10', 'd07', 'a31', 'a26', 'a19', 'd03', 'a27']","['d16', 'a27', 'd03', 'a32', 'a19', 'd07', 'a26', 'd10', 'd10', 'a31']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 3 4 3 3 4 5 4 3 2],flette skip bror tralle grave buss fort blad sjakk horn,0.38666666666666666,1.0,stupe synge stupe plaster,0.7818181818181819,1.0,-6,"['d19', 'd05', 'a04', 'd17', 'a16', 'd14', 'a25', 'a07', 'a26', 'a28']","['a26', 'a16', 'a04', 'd14', 'a25', 'a28', 'd05', 'd19', 'd17', 'a07']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 3 5 4 2 5 5 3 3 4],løpe søle bygge smerte kvern søt blokk bleie start hjørne,0.29577464788732394,0.8,smykke buss kjøtt klo klo klo lydde kjøtt kjøtt trille koffert,0.8947368421052632,1.1,1,"['d09', 'd16', 'a09', 'd14', 'a12', 'a01', 'a18', 'a08', 'a33']","['a12', 'a01', 'd16', 'a33', 'a08', 'd14', 'a18', 'a08', 'a09', 'd09']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
