File name,Word,Transcribed,CER (Character Error Rate),CER Score,OG Score,CER Output
a06_hylle.wav,hylle,hild,0.75,2,1,"CharacterOutput(references=[['h', 'i', 'l', 'd']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=3, hyp_start_idx=2, hyp_end_idx=3), AlignmentChunk(type='insert', ref_start_idx=3, ref_end_idx=3, hyp_start_idx=3, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.75, hits=2, substitutions=2, insertions=1, deletions=0)"
a12_hylle.wav,hylle,i hylla,0.42857142857142855,3,5,"CharacterOutput(references=[['i', ' ', 'h', 'y', 'l', 'l', 'a']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='delete', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=0), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=6, hyp_start_idx=0, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=6, ref_end_idx=7, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.42857142857142855, hits=4, substitutions=1, insertions=0, deletions=2)"
a33_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d18_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a27_hylle.wav,hylle,kylne,0.4,3,3,"CharacterOutput(references=[['k', 'y', 'l', 'n', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=3, hyp_start_idx=1, hyp_end_idx=3), AlignmentChunk(type='substitute', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=3, hyp_end_idx=4), AlignmentChunk(type='equal', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.4, hits=3, substitutions=2, insertions=0, deletions=0)"
d14_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a21_hylle.wav,hylle,hele,0.5,3,4,"CharacterOutput(references=[['h', 'e', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='insert', ref_start_idx=1, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=2, hyp_end_idx=3), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=4, hyp_start_idx=3, hyp_end_idx=5)]], cer=0.5, hits=3, substitutions=1, insertions=1, deletions=0)"
a14_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d12_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d06_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a19_hylle.wav,hylle,hylle,0.0,5,3,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a13_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a07_hylle.wav,hylle,fire,1.0,1,3,"CharacterOutput(references=[['f', 'i', 'r', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=3, hyp_start_idx=1, hyp_end_idx=4), AlignmentChunk(type='equal', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=4, hyp_end_idx=5)]], cer=1.0, hits=1, substitutions=3, insertions=1, deletions=0)"
a26_hylle.wav,hylle,hyggelig,0.625,2,4,"CharacterOutput(references=[['h', 'y', 'g', 'g', 'e', 'l', 'i', 'g']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=2), AlignmentChunk(type='substitute', ref_start_idx=2, ref_end_idx=4, hyp_start_idx=2, hyp_end_idx=4), AlignmentChunk(type='equal', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5), AlignmentChunk(type='delete', ref_start_idx=5, ref_end_idx=8, hyp_start_idx=5, hyp_end_idx=5)]], cer=0.625, hits=3, substitutions=2, insertions=0, deletions=3)"
a32_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d01_hylle.wav,hylle,ille,0.5,3,5,"CharacterOutput(references=[['i', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=4, hyp_start_idx=2, hyp_end_idx=5)]], cer=0.5, hits=3, substitutions=1, insertions=1, deletions=0)"
d15_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d19_hylle.wav,hylle,hylla,0.2,4,2,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'a']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=4, hyp_start_idx=0, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.2, hits=4, substitutions=1, insertions=0, deletions=0)"
a20_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a34_hylle.wav,hylle,hylla,0.2,4,3,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'a']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=4, hyp_start_idx=0, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.2, hits=4, substitutions=1, insertions=0, deletions=0)"
a15_hylle.wav,hylle,helle,0.2,4,2,"CharacterOutput(references=[['h', 'e', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=5, hyp_start_idx=2, hyp_end_idx=5)]], cer=0.2, hits=4, substitutions=1, insertions=0, deletions=0)"
a01_hylle.wav,hylle,hilje,0.4,3,3,"CharacterOutput(references=[['h', 'i', 'l', 'j', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=3, hyp_start_idx=2, hyp_end_idx=3), AlignmentChunk(type='substitute', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=3, hyp_end_idx=4), AlignmentChunk(type='equal', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.4, hits=3, substitutions=2, insertions=0, deletions=0)"
d07_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d13_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a18_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a31_hylle.wav,hylle,hylle?,0.16666666666666666,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e', '?']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5), AlignmentChunk(type='delete', ref_start_idx=5, ref_end_idx=6, hyp_start_idx=5, hyp_end_idx=5)]], cer=0.16666666666666666, hits=5, substitutions=0, insertions=0, deletions=1)"
a25_hylle.wav,hylle,hyggelig,0.625,2,3,"CharacterOutput(references=[['h', 'y', 'g', 'g', 'e', 'l', 'i', 'g']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=2), AlignmentChunk(type='substitute', ref_start_idx=2, ref_end_idx=4, hyp_start_idx=2, hyp_end_idx=4), AlignmentChunk(type='equal', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5), AlignmentChunk(type='delete', ref_start_idx=5, ref_end_idx=8, hyp_start_idx=5, hyp_end_idx=5)]], cer=0.625, hits=3, substitutions=2, insertions=0, deletions=3)"
a04_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a10_hylle.wav,hylle,skille?,0.5714285714285714,3,3,"CharacterOutput(references=[['s', 'k', 'i', 'l', 'l', 'e', '?']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=2), AlignmentChunk(type='delete', ref_start_idx=2, ref_end_idx=3, hyp_start_idx=2, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=3, ref_end_idx=6, hyp_start_idx=2, hyp_end_idx=5), AlignmentChunk(type='delete', ref_start_idx=6, ref_end_idx=7, hyp_start_idx=5, hyp_end_idx=5)]], cer=0.5714285714285714, hits=3, substitutions=2, insertions=0, deletions=2)"
d16_hylle.wav,hylle,ille,0.5,3,5,"CharacterOutput(references=[['i', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=4, hyp_start_idx=2, hyp_end_idx=5)]], cer=0.5, hits=3, substitutions=1, insertions=1, deletions=0)"
a28_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d02_hylle.wav,hylle,hylle,0.0,5,4,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
a09_hylle.wav,hylle,hidela,0.6666666666666666,2,2,"CharacterOutput(references=[['h', 'i', 'd', 'e', 'l', 'a']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=3, hyp_start_idx=1, hyp_end_idx=3), AlignmentChunk(type='delete', ref_start_idx=3, ref_end_idx=4, hyp_start_idx=3, hyp_end_idx=3), AlignmentChunk(type='equal', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=3, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=5, ref_end_idx=6, hyp_start_idx=4, hyp_end_idx=5)]], cer=0.6666666666666666, hits=2, substitutions=3, insertions=0, deletions=1)"
a02_hylle.wav,hylle,helle?,0.3333333333333333,4,3,"CharacterOutput(references=[['h', 'e', 'l', 'l', 'e', '?']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=1, ref_end_idx=2, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=5, hyp_start_idx=2, hyp_end_idx=5), AlignmentChunk(type='delete', ref_start_idx=5, ref_end_idx=6, hyp_start_idx=5, hyp_end_idx=5)]], cer=0.3333333333333333, hits=4, substitutions=1, insertions=0, deletions=1)"
a16_hylle.wav,hylle,hylle,0.0,5,5,"CharacterOutput(references=[['h', 'y', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=5, hyp_start_idx=0, hyp_end_idx=5)]], cer=0.0, hits=5, substitutions=0, insertions=0, deletions=0)"
d09_hylle.wav,hylle,ille,0.5,3,5,"CharacterOutput(references=[['i', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=4, hyp_start_idx=2, hyp_end_idx=5)]], cer=0.5, hits=3, substitutions=1, insertions=1, deletions=0)"
a23_hylle.wav,hylle,ille,0.5,3,5,"CharacterOutput(references=[['i', 'l', 'l', 'e']], hypotheses=[['h', 'y', 'l', 'l', 'e']], alignments=[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=4, hyp_start_idx=2, hyp_end_idx=5)]], cer=0.5, hits=3, substitutions=1, insertions=1, deletions=0)"
