score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,rød grå tårn gul rød løpe kvart hjørne skitten premie,0.11494252873563218,0.6,forelska kule erlang melin 22 kule,0.7735849056603774,1.0,-4,"['d19', 'a09', 'a07', 'a25', 'a12', 'a01', 'a08']","['a25', 'a01', 'a07', 'a09', 'd19', 'a07', 'a01', 'a07', 'a12', 'a08']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-medium-verbatim
1,kort øre korn rød gartner skilpadde løve svart hjørne blad,0.2247191011235955,0.9,den der gods,0.8448275862068966,1.0,-7,"['d19', 'd09', 'a11', 'a25', 'a07', 'a12', 'a01', 'a13', 'd08', 'a06']","['a25', 'd19', 'd08', 'a07', 'a13', 'a11', 'a01', 'd09', 'a06', 'a12']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-medium-verbatim
2,skulder premie glitter prins løpe øre glorie glorie bryter kvern,0.3373493975903614,1.0,frank hydala schj,0.921875,1.0,-7,"['a09', 'a16', 'a21', 'a11', 'a07', 'a28', 'a13', 'a06']","['a13', 'a21', 'a28', 'a11', 'a06', 'a11', 'a16', 'a07', 'a07', 'a09']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,myr fugl skjerf artist korn søppel grå kurv glorie blyant,0.449438202247191,1.0,grør til bo skvote ekorn,0.7368421052631579,1.0,-5,"['a03', 'a11', 'a12', 'a08', 'a15', 'd09', 'a06', 'a27']","['a15', 'a11', 'a03', 'd09', 'a27', 'a12', 'a12', 'a06', 'a15', 'a08']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,ørn klo myk turn fortau karneval glitter gartner fortau skitten,0.5074626865671642,1.0,fly dindu skjelm skjelm krabben,0.7777777777777778,1.0,-5,"['a04', 'a32', 'a34', 'a29', 'a11', 'a15']","['a04', 'a34', 'a29', 'a11', 'a04', 'a11', 'a11', 'a15', 'a32', 'a11']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,tjern korn fregner rød smart flaske brun drue glad ugle,0.05333333333333334,0.3,svømme brente schmach bj,0.8363636363636363,1.0,-6,"['d02', 'a04', 'a03', 'a14', 'a34', 'a11', 'a12', 'a01', 'a13']","['a34', 'a34', 'a01', 'd02', 'a03', 'a12', 'a11', 'a13', 'a04', 'a14']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,brun pluss blod brun blyant bygge krone klo jus plante,0.25842696629213485,1.0,blant tre tannin tre,0.7962962962962963,1.0,-6,"['a17', 'a32', 'a10', 'a11', 'a25', 'a12', 'a26', 'a28', 'a06', 'a27']","['a26', 'a25', 'a32', 'a27', 'a10', 'a17', 'a12', 'a11', 'a06', 'a28']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,flagg bryter plaster glis enhjørning skjorte tjern smør horn kurv,0.3473684210526316,1.0,,1.0,1.0,-10,"['a26', 'a09', 'a03', 'd10', 'a31', 'a16', 'a11', 'a18', 'a01', 'a19']","['a16', 'a01', 'a31', 'a18', 'a09', 'a19', 'a26', 'a11', 'd10', 'a03']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,blokk drue karneval glad kikkert fortau sverd kikkert søt vindu,0.4266666666666667,1.0,sjøl,0.9682539682539683,1.0,-9,"['a02', 'a14', 'a31', 'a34', 'a11', 'a12', 'a13', 'd09', 'a27']","['a31', 'a02', 'a12', 'a12', 'a13', 'a34', 'a27', 'a14', 'd09', 'a11']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
2,vindu fugl børste ugle sur ugle by flagg kvern fugl,0.5056179775280899,1.0,funker det,0.8823529411764706,1.0,-8,"['a09', 'a16', 'a25', 'a07', 'a01', 'a15', 'd08', 'a06']","['a09', 'a15', 'd08', 'a16', 'a25', 'a07', 'a15', 'a06', 'a06', 'a01']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium-verbatim
3,trapp hylle gutt rund tårn garn drikke hjørne lytte kropp,0.11494252873563218,0.6,skjenke bruce charne ljus snøen blåstøy søre blomst søre,0.8070175438596491,1.0,-1,"['a30', 'a29', 'a10', 'a23', 'a22', 'a07', 'd08', 'a06']","['a06', 'a07', 'd08', 'a29', 'a23', 'a22', 'a10', 'a10', 'a30', 'a22']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,sykkel trikk glis fjorten bart glorie ryke glass glitter synge,0.2247191011235955,0.9,skive sølv hjørnet klistre plante tru forø lite sølv sønne trykk,0.7580645161290323,1.1,1,"['a30', 'a02', 'a14', 'a22', 'a05', 'a19', 'a27']","['a05', 'a30', 'a19', 'a02', 'a14', 'a05', 'a27', 'a27', 'a22', 'a30']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,flette hund lys hylle myr bryter gris glorie trapp trylle,0.3373493975903614,1.0,glønn prins,0.9122807017543859,1.0,-8,"['a17', 'a09', 'a03', 'a12', 'a18', 'a26', 'a05', 'a08', 'a06', 'a15']","['a17', 'a06', 'a05', 'a08', 'a18', 'a09', 'a26', 'a03', 'a15', 'a12']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,gutt start pluss fugl korn vindu trille pute skinke grave,0.449438202247191,1.0,kikkert grøt skjorte kaki pol sky snør,0.7719298245614035,1.0,-3,"['a03', 'a14', 'a32', 'a10', 'a23', 'a07', 'a15']","['a15', 'a03', 'a10', 'a10', 'a32', 'a14', 'a15', 'a07', 'a23', 'a14']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,gutt rund turn tar svart ekorn dyne hjort ny kvart,0.5074626865671642,1.0,hund fakse tjolle bjørn bjørn,0.7,1.0,-5,"['a09', 'a34', 'a10', 'a21', 'a12', 'a26', 'a05', 'a13', 'a19', 'a15']","['a13', 'a09', 'a12', 'a21', 'a26', 'a34', 'a05', 'a19', 'a15', 'a10']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,trylle skip klo pære grå terning blomst enhjørning brun frakk,0.05333333333333334,0.3,hylla sky huske tyn begre drube søster svømmer svart,0.7213114754098361,1.0,-1,"['a17', 'd09', 'a10', 'a21', 'a16', 'a22', 'd14', 'a18', 'd08']","['a18', 'a16', 'a17', 'a21', 'a10', 'a22', 'a17', 'd08', 'd09', 'd14']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,skive planke trille pute stjerne terning kropp skive drikke svømme,0.25842696629213485,1.0,kofferts tårnet bike bra dynne sky klikke gurige blø glitter,0.7878787878787878,1.0,0,"['d05', 'a17', 'a32', 'a23', 'a22', 'a26', 'a05', 'a15']","['d05', 'a23', 'a22', 'a17', 'd05', 'a05', 'a32', 'a17', 'a26', 'a15']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,grave korn flaske jern knar krykke snørr søt premie trylle,0.3473684210526316,1.0,svart ekorn tårn blalke løpe stjerne lill,0.6206896551724138,1.0,-3,"['d19', 'a04', 'a32', 'a29', 'a23', 'a25', 'a15', 'd08', 'a06']","['a15', 'a04', 'a32', 'a23', 'a25', 'a32', 'd19', 'd08', 'a29', 'a06']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,jern ku glitter vindu flakse planke internett kjerne brun søt,0.4266666666666667,1.0,krabbe stube,0.8852459016393442,1.0,-8,"['a04', 'a02', 'a16', 'd14', 'a11', 'a12', 'a01', 'a26', 'd03', 'a06']","['a12', 'd03', 'a04', 'a26', 'a06', 'a11', 'a01', 'a16', 'd14', 'a02']",words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
3,glad sølv knar bar hjerte jern bjørn ødelagt bjørn glør,0.5056179775280899,1.0,støffel sykkel trygg svett frykt blod stupe tone syer ro,0.8727272727272727,1.0,0,"['a30', 'd09', 'a14', 'a11', 'a25', 'a33', 'a26', 'a13', 'd03']","['d09', 'd03', 'a14', 'a30', 'a11', 'a11', 'a33', 'a13', 'a26', 'a25']",words_90_100.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium-verbatim
