score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,klar flaske børste kort grønn sjakk hjerne frakk klappe kurv,breret fraska døle erna ring røsjæl fyrtum kjøle og hatt,0.7166666666666667,1.0,0.08641975308641975,0.4,"['d19', 'd07', 'a11', 'a07', 'a12', 'a01', 'a13', 'a06', 'a27']","['a27', 'a11', 'a12', 'a01', 'd07', 'd19', 'a13', 'a07', 'a06', 'a11']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,Base
1,krabbe dyne hjørne grave horn kort hjørne søt krabbe støvel,kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts,9.101694915254237,11.1,0.1917808219178082,0.9,"['d08', 'a34', 'a11', 'a07', 'a25', 'a13', 'd09', 'a06']","['a13', 'a11', 'a07', 'd09', 'a34', 'a25', 'a06', 'a07', 'a07', 'd08']",101,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,Base
2,drue fortid klo planke kart fort brun frukt blad brun,hva hiddela hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt,13.69811320754717,14.8,0.3493975903614458,1.0,"['a30', 'a03', 'a32', 'a29', 'a21', 'a11', 'a25', 'a26', 'a08', 'd08']","['d08', 'a11', 'a32', 'a21', 'a25', 'a30', 'a29', 'a08', 'a03', 'a26']",138,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,blomst glad blad ødelagt kurv enhjørning huske glorie ugle blod,høte høte høte grær du skålte ekkun katana krima shake krim,0.8412698412698413,1.1,0.4074074074074074,1.0,"['a17', 'd07', 'a10', 'a23', 'a11', 'a26', 'a06']","['a06', 'a10', 'a11', 'a17', 'a06', 'a23', 'a11', 'd07', 'a11', 'a26']",1,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,skjerm plystre bygge blyant blomst bror kjerne kropp øre troll,kikker fri ging shell shell kjerebbeln løber shen en slik,0.7741935483870968,1.0,0.5057471264367817,1.0,"['a09', 'a03', 'a14', 'a07', 'a12', 'a01', 'a13', 'a08']","['a07', 'a08', 'a09', 'a03', 'a01', 'a14', 'a13', 'a12', 'a01', 'a07']",0,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,skip vindu ugle glorie blomst tårn artist artist torne skjerf,svemmer prante småd der fru-vin fru-ve gras kjiddet kan fru-t,0.8524590163934426,1.0,0.02197802197802198,0.2,"['a09', 'a02', 'a25', 'a01', 'a08', 'a13', 'a15', 'd08', 'a06']","['a01', 'd08', 'a09', 'a15', 'a25', 'a08', 'a02', 'a13', 'a25', 'a06']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,sjiraff skøyter enhjørning svart glitter planke pluss skjorte glad glitter,grupp ljøn kjø tjannin grupp skitten tjann flavte stib puts grupp,0.7027027027027027,1.1,0.21839080459770116,0.9,"['a09', 'a03', 'a32', 'd10', 'a10', 'a01', 'a26', 'a05', 'a27']","['a27', 'a10', 'a32', 'd10', 'a01', 'a01', 'a03', 'a26', 'a09', 'a05']",1,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,sur glis premie ekorn horn stjerne rød skjørt fjorten støvel,da flek hende skåter dinda helt helt helt helt helt flek du er her du er her,0.95,1.7,0.30158730158730157,1.0,"['a17', 'a21', 'a07', 'a25', 'a18', 'a13', 'a15', 'a33']","['a25', 'a18', 'a07', 'a15', 'a17', 'a33', 'a17', 'a25', 'a13', 'a21']",7,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,skitten klo kort sølv ugle gartner garn trapp fly skitten,shale selt kjør søtte sjølol brut kjør prøvstet sj,0.7368421052631579,1.0,0.4235294117647059,1.0,"['d19', 'a02', 'a34', 'a23', 'a07', 'a25', 'a12', 'a28', 'd09']","['a25', 'a23', 'a34', 'a07', 'a28', 'a23', 'd09', 'a02', 'a12', 'd19']",-1,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,kikkert tårn søle gartner flagg trapp ugle fly glitter skulder,ønker det ja ikkje hjørn pristre to smil blut brøk giran,0.7580645161290323,1.1,0.5068493150684932,1.0,"['d02', 'a20', 'a16', 'a21', 'a23', 'a07', 'a12', 'a01', 'a33']","['a33', 'a01', 'd02', 'a12', 'a23', 'a07', 'a07', 'a20', 'a16', 'a21']",1,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
