score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,briller flaske drue enhjørning rund skilpadde skitten trylle hjørne skjørt,bra eret for åeske tule er nånn? tule føtten kille? i er hæk,,,"[0.0, 0.3333333333333333, 0.25, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0, 0.2, 0.5, 0.0]",1.569047619047619,0.6,"['a11', 'a07', 'a25', 'a12', 'a05', 'a13', 'd08']","['a11', 'a11', 'a07', 'a05', 'a25', 'a11', 'a12', 'a13', 'a11', 'd08']",3,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,0.6621621621621622,1.3
1,sjø krakk brød kort fugl flue horn karneval øre gartner,går du? går du? går du? går du? går du?,,,"[0.0, 0.5, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.42857142857142855, 0.3333333333333333, 0.16666666666666666]",1.7619047619047619,0.5,"['d19', 'a03', 'a34', 'a07', 'd13', 'a01', 'a13', 'd08']","['d08', 'd13', 'a07', 'a01', 'a13', 'a07', 'a34', 'a03', 'd19', 'a13']",0,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.75, 1.0, 1.0, 1.0]",1.0
2,flagg hylle gutt skjørt bryter stjerne torne smart tjern snørr,hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet,,,"[0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5, 0.3333333333333333, 0.5]",4.833333333333333,1.0,"['a09', 'a03', 'a21', 'd14', 'a11', 'a07', 'a12']","['a21', 'a09', 'a07', 'a11', 'd14', 'a21', 'a11', 'a03', 'a12', 'a11']",79,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,12.419354838709678,8.9
2,fortau erter glør blå skulder ekorn gartner klone skitten rød,høtte? høtte? høtte? høtte? høtte? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det,,,"[0.25, 0.25, 0.5, 0.3333333333333333, 0.5714285714285714, 0.5, 0.16666666666666666, 0.6, 0.5, 0.0]",3.6714285714285713,0.9,"['d02', 'a03', 'a29', 'a21', 'a22', 'a07', 'a13', 'a19', 'd09', 'a27']","['a27', 'a07', 'a03', 'd09', 'a13', 'a19', 'a21', 'a22', 'a29', 'd02']",247,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,16.508196721311474,25.7
2,krykke fly vindu skjerm skjerm krabbe lue tjern ugle port,tikke fri tikke shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell,,,"[0.4, 0.3333333333333333, 0.6, 0.5, 0.5, 0.4, 0.3333333333333333, 0.3333333333333333, 0.5, 0.0]",3.9000000000000004,0.9,"['a32', 'a34', 'a29', 'a23', 'a11', 'a01', 'a26', 'a13']","['a13', 'a23', 'a01', 'a13', 'a29', 'a32', 'a11', 'a34', 'a26', 'a11']",210,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,22.666666666666668,22.0
2,svømme plante smart bjørn fjorten flue glass kurv tårn fugl,svemmet prante småt bjer frutten fruve gras kjedef kjern frutten,,,"[0.6, 0.6666666666666666, 0.5, 0.25, 0.4, 0.5, 0.25, 0.0, 0.3333333333333333, 0.3333333333333333]",3.8333333333333335,0.9,"['a03', 'd10', 'd06', 'a10', 'a21', 'a23', 'a11', 'a01', 'a06']","['d10', 'a23', 'a10', 'a06', 'a10', 'a21', 'a03', 'd06', 'a01', 'a11']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,"[0.3333333333333333, 0.16666666666666666, 0.4, 0.4, 0.42857142857142855, 0.5, 0.4, 1.25, 0.75, 1.25]",1.0
2,kropp planke terning glør skitten tårn plante stupe port kurv,krøpp! mjøpp kjer! tjøannyn! krøpp! hittet! tjøann! platte! stib! båtsch! krøpp!,,,"[0.25, 0.5, 0.2, 0.25, 0.0, 0.0, 0.6666666666666666, 0.6, 0.0, 0.25]",2.716666666666667,0.7,"['a30', 'a34', 'a07', 'a25', 'a12', 'a01', 'a13', 'a06']","['a12', 'a01', 'a12', 'a01', 'a25', 'a34', 'a07', 'a13', 'a30', 'a06']",1,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7868852459016393,1.1
2,garn frakk munn skulder vindu bygge kran flagg torne svømme,da flak det er dinde oke? køro tjøro tjøro flån med,,,"[0.3333333333333333, 0.5, 0.3333333333333333, 0.7142857142857143, 0.4, 0.5, 0.5, 0.25, 0.25, 0.6]",4.3809523809523805,1.0,"['a17', 'a09', 'a21', 'a11', 'a12', 'a13', 'd08', 'a27']","['a21', 'a13', 'd08', 'a11', 'a09', 'a17', 'a11', 'a27', 'a21', 'a12']",1,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,0.6610169491525424,1.1
2,søle sølv smør skjorte troll blod grå ørn plystre pluss,sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell,,,"[0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.0, 0.7142857142857143, 0.5]",4.214285714285714,0.9,"['a09', 'd10', 'a34', 'a11', 'a07', 'a26', 'a15']","['d10', 'a07', 'a09', 'a07', 'a15', 'a26', 'a07', 'a07', 'a11', 'a34']",101,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,11.6,11.1
2,ugle skøyter horn tjern plystre troll smør bror blokk grønn,hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det? hva er det,,,"[0.5, 0.6, 0.3333333333333333, 0.3333333333333333, 0.7142857142857143, 0.25, 0.5, 0.25, 0.5, 0.5]",4.480952380952381,1.0,"['d19', 'd16', 'a02', 'a14', 'a09', 'a07', 'a01', 'a26', 'a15', 'a27']","['a14', 'd19', 'a02', 'a26', 'd16', 'a01', 'a07', 'a15', 'a27', 'a09']",257,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,17.610169491525422,26.7
