score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
[4 5 5 1 4 4 5 2 2 4],kart tre ku fugl premie gris nøkkel tårn skip børste,fudd tallyk flette grøyr smarte tryk snø sjern gluria kart,,,"[0.6666666666666666, 1.0, 1.0, 0.0, 1.0, 0.75, 1.0, 0.3333333333333333, 0.3333333333333333, 0.8]",6.883333333333333,0.9,"['d05', 'a20', 'd16', 'd10', 'a21', 'a28', 'a13', 'a08', 'a06']","['d10', 'a06', 'a21', 'a13', 'a28', 'd05', 'a20', 'a08', 'a06', 'd16']",0,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 1.6666666666666667, 3.0, 1.25, 0.8333333333333334, 0.75, 0.8333333333333334, 0.75, 1.25, 0.6666666666666666]",1.0
[5 4 4 3 5 5 4 4 2 2],krakk sur start ku drikke tre troll lytte flagg glis,forrestet kjilpade skj blister likk er det ikke? kjøren gist jeg stører dem vi er en,,,"[1.0, 0.6666666666666666, 0.75, 0.5, 1.0, 1.0, 0.75, 1.0, 0.5, 0.5]",7.666666666666666,1.0,"['d04', 'a14', 'd07', 'a34', 'a21', 'a23', 'a18', 'a26', 'a33']","['d04', 'a33', 'a21', 'a26', 'd07', 'a18', 'a23', 'a34', 'a18', 'a14']",6,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,1.1538461538461537,1.6
[4 4 4 5 3 3 4 4 5 4],rund glorie kvart frakk skjerm skitten myk start skjære jern,fredde hjøn lør bjørn kott etter krona gris blad,,,"[0.6666666666666666, 1.0, 0.75, 1.0, 0.5, 0.75, 1.0, 1.0, 1.0, 0.6666666666666666]",8.333333333333332,1.0,"['d05', 'a17', 'd12', 'a21', 'a25', 'a18', 'a28', 'a15']","['d05', 'a18', 'd05', 'd12', 'a28', 'a15', 'a21', 'a17', 'd05', 'a25']",-1,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,0.75,1.0
[5 5 5 5 3 5 4 4 2 4],krykke bror garn munn lue gartner skøyter fortid skjerf glorie,"for tid, tid, blister, to do er big girl ugret skjøn kopp hjølle",,,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.25, 1.0]",8.916666666666666,1.0,"['a03', 'a32', 'd07', 'd06', 'a21', 'a25', 'd13', 'a18']","['d13', 'a18', 'd06', 'a32', 'a25', 'd06', 'a32', 'd07', 'a03', 'a21']",3,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8387096774193549,1.3
[3 4 2 3 2 3 3 4 3 4],planke tjern flette glitter skjorte klar tær karneval sur ski,smikke fing du grave drop stør gore skikkelig bi breige,,,"[0.8333333333333334, 0.6666666666666666, 0.6, 0.6666666666666666, 0.5, 0.75, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0]",7.3500000000000005,1.0,"['a20', 'a32', 'a11', 'a25', 'a22', 'a26', 'd03', 'a19', 'd08']","['a11', 'a11', 'd08', 'a19', 'a20', 'a32', 'a25', 'a22', 'a26', 'd03']",0,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,"[0.6666666666666666, 1.0, 1.0, 0.7142857142857143, 0.8571428571428571, 0.75, 1.0, 0.875, 1.0, 1.6666666666666667]",1.0
[5 4 3 2 4 3 3 1 3 3],krakk smør kropp glass skitten myr kvern planke hylle plystre,siden? kyr? piste? drops? forts? hør jo brøv frikt? gris,,,"[1.0, 1.0, 0.5, 0.25, 0.75, 0.3333333333333333, 0.75, 0.3333333333333333, 0.75, 0.7142857142857143]",6.3809523809523805,1.0,"['a02', 'a14', 'd06', 'a34', 'a10', 'd17', 'a07', 'a25', 'a01', 'a26']","['d06', 'a02', 'a07', 'a10', 'a01', 'a34', 'a26', 'd17', 'a25', 'a14']",0,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.2, 1.0, 1.2, 1.0, 0.8571428571428571, 0.6666666666666666, 1.0, 1.0, 1.2, 0.8571428571428571]",1.0
[4 3 2 5 5 3 3 3 5 5],hjort svart klappe gartner søt stjerne ku hytte sport plystre,grøyne nye grå utta sjøiter hittet starr pok torn,,,"[0.6666666666666666, 0.5, 0.6, 1.0, 1.0, 0.6666666666666666, 0.5, 0.5, 1.0, 1.0]",7.433333333333334,1.0,"['d05', 'd04', 'a03', 'a14', 'a32', 'a12', 'a33', 'a13', 'a08', 'd08']","['d08', 'a13', 'a12', 'd05', 'a08', 'a03', 'a32', 'a14', 'd04', 'a33']",-1,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,0.6557377049180327,1.0
[5 5 3 4 5 4 5 3 5 3],stupe nøkkel trikk drikke hus skøyter ku garn smykke terning,fjør bro uble skjerof skj skjipada kjynn linn njønlig sjø,,,"[1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 0.8]",9.216666666666667,1.0,"['a30', 'a04', 'd16', 'd01', 'a34', 'a01', 'a26', 'a28', 'd03']","['d16', 'd01', 'a28', 'a04', 'a01', 'a26', 'a34', 'a30', 'd03', 'a01']",0,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 1.0, 1.0, 1.1666666666666667, 1.0, 0.8571428571428571, 2.0, 0.75, 1.1666666666666667, 1.0]",1.0
[3 3 2 4 4 3 5 2 4 5],huske drue gartner skøyter lytte koffert blad kran lærer ku,stupe singa stupe trale gjørne hyn fjellat plaster,,,"[0.8, 0.75, 0.5, 1.0, 1.0, 0.6, 0.75, 0.5, 1.0, 1.0]",7.9,1.0,"['a30', 'd12', 'a21', 'a28', 'a13', 'a19', 'a33', 'a06']","['a30', 'd12', 'a06', 'a19', 'a21', 'a30', 'a28', 'a13', 'a33', 'a13']",-2,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7457627118644068,1.0
[2 3 5 3 2 5 5 2 5 5],fortau kvart glitter gris plystre flaske søt horn tårn ekorn,smikke død død klo litt kjøttere lise kjøtt trille kofurt,,,"[0.25, 0.5, 1.0, 0.75, 0.5714285714285714, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0]",7.404761904761905,1.0,"['a30', 'd16', 'a03', 'd06', 'a34', 'd17', 'a22', 'a33', 'a19', 'd08']","['a19', 'a30', 'd06', 'a03', 'a34', 'd17', 'a22', 'd08', 'a33', 'd16']",0,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 1.0, 1.0, 1.0, 0.7142857142857143, 1.1666666666666667, 1.3333333333333333, 1.25, 1.25, 0.8]",1.0
