score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
[5 3 4 3 4 4 5 4 5 4],kropp tralle brød trille skjorte sju sju korn ødelagt mur,slikk flette grør smerte trikk snø serne,,,"[1.0, 0.8, 0.6666666666666666, 0.8, 1.0, 1.0, 1.0, 0.6666666666666666, 0.8571428571428571, 0.6666666666666666]",8.457142857142857,1.0,"['d02', 'a17', 'a04', 'a20', 'a09', 'a32', 'a10', 'd15', 'a16', 'd09']","['d15', 'a32', 'd09', 'a20', 'a10', 'a09', 'a04', 'a16', 'd02', 'a17']",-3,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7192982456140351,1.0
[5 5 3 2 3 3 5 3 3 5],rund kart mus ørn rund garn gutt snørr horn svart,flaster skilpadde sky lystere luks rike korean,,,"[1.0, 1.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.75, 0.6666666666666666, 1.0]",7.416666666666667,0.9,"['d19', 'd17', 'd15', 'a07', 'd11', 'a28', 'd18', 'a33', 'a27']","['d17', 'd18', 'd11', 'a07', 'a28', 'a28', 'a33', 'd19', 'a27', 'd15']",-3,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8367346938775511,1.0
[4 5 3 5 3 5 5 5 3 5],snørr buss turn buss jern flue jus klo plystre kropp,fredde kart etter kroner gris gris gris blad,,,"[1.0, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.7142857142857143, 1.0]",9.047619047619047,1.0,"['d19', 'd05', 'd12', 'a20', 'a03', 'a32', 'a34', 'a07', 'a01', 'a19']","['a20', 'a01', 'd19', 'a34', 'a32', 'd12', 'a07', 'd05', 'a03', 'a19']",-2,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8076923076923077,1.0
[5 5 3 2 5 4 3 3 5 3],brun ku terning port lun sur flaske skjørt koffert snørr,for tid tid tid liste tjue bygger hugre fylkesfylke fylke fylkes fjem korn kom korn,,,"[1.0, 1.0, 0.6, 0.3333333333333333, 1.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 1.0, 0.75]",7.35,1.0,"['a09', 'a21', 'a22', 'd13', 'a18', 'a28', 'a05', 'a19', 'a33']","['a09', 'd13', 'a05', 'a21', 'a22', 'a33', 'a28', 'a21', 'a19', 'a18']",5,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,1.0535714285714286,1.5
[1 5 3 3 5 4 5 4 3 4],gartner munn skjørt sjakk lue sport troll dør ugle lys,smykke finner du grave gravegrops står gårde skikkelig skikkelig bi,,,"[0.3333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 0.75, 1.0, 1.0, 0.5, 0.6666666666666666]",6.916666666666667,1.0,"['a31', 'a16', 'd15', 'a11', 'a07', 'd11', 'a25', 'a27']","['a07', 'a16', 'a27', 'a07', 'a31', 'a11', 'd11', 'd15', 'a25', 'd11']",0,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,"[0.8571428571428571, 1.0, 1.0, 0.8, 3.0, 0.6, 1.0, 3.0, 2.0, 1.0]",1.0
[2 2 4 3 4 3 5 4 5 2],svømme gutt skjorte hjerne smart sport krabbe kurv troll smerte,sydu gul pilte dropsj fort du ru blo bro tru frukt frukt frukt frukt gris gris,,,"[0.6, 0.3333333333333333, 1.0, 0.5, 0.75, 0.5, 1.0, 0.75, 1.0, 0.6]",7.033333333333333,1.0,"['d02', 'a09', 'a14', 'd10', 'a31', 'a29', 'a28', 'a08', 'd03']","['d10', 'a31', 'a09', 'a08', 'a28', 'a29', 'd03', 'a14', 'd02', 'a08']",6,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,0.9047619047619048,1.6
[5 4 2 5 4 3 4 3 3 4],øre nøkkel plante bryter fjorten knar gartner stupe skjørt bra,grå tøtet pitte,,,"[1.0, 0.8, 0.3333333333333333, 1.0, 0.8, 0.25, 1.0, 0.8, 0.6666666666666666, 1.0]",7.65,1.0,"['d10', 'd17', 'a22', 'a25', 'a01', 'a26', 'a19', 'a33', 'a06']","['a33', 'a01', 'a06', 'd17', 'a26', 'a25', 'd10', 'a06', 'a22', 'a19']",-7,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8387096774193549,1.0
[3 3 5 3 4 4 3 5 4 5],bror kikkert skjema flakse blyant fjær fortau tre glass hjort,fire slippere kun li linn linn linn linn enhjørning,,,"[0.75, 0.6, 1.0, 0.6666666666666666, 1.0, 0.75, 0.75, 1.0, 0.75, 1.0]",8.266666666666666,1.0,"['a20', 'd16', 'a32', 'd01', 'a10', 'a21', 'd15', 'a19', 'd08']","['a19', 'a10', 'd01', 'a21', 'd08', 'a32', 'a20', 'a32', 'd15', 'd16']",-1,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7868852459016393,1.0
[4 3 3 3 3 3 4 4 3 4],koffert skulder mus stupe pluss synge klær drikke klone kikkert,stupe signe stupe trolle gjerne,,,"[0.8, 0.8571428571428571, 0.6666666666666666, 0.8, 0.75, 0.75, 1.0, 1.0, 0.6, 0.8]",8.023809523809524,1.0,"['d19', 'a14', 'a34', 'a23', 'a07', 'a25', 'a12', 'a26', 'a19', 'a27']","['a34', 'a19', 'a25', 'a07', 'a23', 'a12', 'a26', 'a27', 'a14', 'd19']",-5,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,0.746031746031746,0.9
[3 4 3 5 3 2 5 3 5 4],gris skjema blokk stupe dyne trapp skive krakk bro sport,smikke lukkes lukkes lukkes skjørt skjørt skjørt trill trill trill trill trill trill trill trill trill til koffert koffert,,,"[0.5, 0.75, 0.75, 1.0, 0.5, 0.5, 1.0, 0.75, 1.0, 0.75]",7.5,1.0,"['d16', 'd04', 'a10', 'a22', 'a07', 'd18', 'a08', 'a06']","['a22', 'a10', 'a08', 'a08', 'd16', 'a07', 'd04', 'a06', 'a06', 'd18']",9,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,1.75,1.9
