score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
[3 4 4 4 5 4 3 5 2 3],trikk koffert glass jern troll bart kran tynn glitter trikk,fuch! tellik! fleta! groer! smarte! tellik! snø! sjernal! groeria! gatch!,,,"[0.75, 0.8, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.75, 1.0, 0.5, 0.75]",7.883333333333333,1.0,"['d19', 'd10', 'a10', 'a16', 'a22', 'a25', 'a13', 'a15', 'a33', 'a27']","['a15', 'a13', 'a25', 'a27', 'a33', 'a10', 'd19', 'd10', 'a16', 'a22']",0,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 1.0, 1.0, 1.0, 1.2, 1.75, 1.0, 1.75, 1.0, 1.2]",1.0
[4 3 5 3 3 4 4 4 3 3],krakk syr hjerne planke brun grønn ekorn frukt kurv glorie,frustig silpade silpade silp blistre likke klaen gitt stajten pjørn,,,"[1.0, 0.6666666666666666, 1.0, 0.8333333333333334, 0.75, 1.0, 1.0, 0.8, 0.75, 0.8333333333333334]",8.633333333333333,1.0,"['a30', 'd02', 'd12', 'a20', 'a02', 'd14', 'a11', 'a19', 'a33']","['d12', 'a30', 'a20', 'a19', 'a33', 'a11', 'a02', 'd14', 'd02', 'a19']",0,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.2, 2.0, 1.0, 1.0, 1.5, 1.0, 0.8, 0.8, 1.75, 0.8333333333333334]",1.0
[5 3 3 4 2 5 3 3 4 3],synge turn søt hus briller fort kvart bror dør mus,fret det det er ikke det er ikke lør lør lør lør lør lør kort efter grunne gris blatt,,,"[1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5, 1.0, 0.5, 0.25, 1.0, 0.6666666666666666]",6.916666666666667,1.0,"['d19', 'a03', 'a14', 'd15', 'a07', 'a12', 'a26', 'a05', 'a19', 'a27']","['d19', 'a14', 'a12', 'a27', 'a07', 'a05', 'a19', 'a26', 'd15', 'a03']",9,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,1.26,1.9
[3 5 4 5 3 5 2 3 4 3],løpe ni glorie bygge grå rund blokk sky flakse brød,fortit tid blistre du er beker du gre hviske fjinn hva? hjellet?,,,"[0.75, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 0.5, 0.5, 1.0, 0.6666666666666666]",8.083333333333332,1.0,"['d19', 'a30', 'a02', 'd16', 'd07', 'a34', 'a28', 'a19', 'a33', 'a27']","['a30', 'a28', 'a02', 'd19', 'a34', 'd16', 'a27', 'a19', 'd07', 'a33']",2,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,0.9607843137254902,1.2
[2 5 3 5 3 4 3 4 3 3],blokk frø blå svære glad hytte smart skulder sport ski,smikker fyn du kravet? i drop star gure shikket b braier,,,"[0.5, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 0.75, 0.8571428571428571, 0.5, 0.5]",7.44047619047619,1.0,"['a09', 'a03', 'a31', 'a34', 'a16', 'a23', 'a22', 'a18', 'a08', 'd09']","['a31', 'd09', 'a23', 'a16', 'a03', 'a22', 'a09', 'a08', 'a34', 'a18']",1,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7962962962962963,1.1
[3 5 3 3 4 3 3 4 2 3],frø løpe skip skøyter lue ekorn hund jern stjerne krone,sider kjur piste drops fortsch rø brøn frikt gris,,,"[0.6666666666666666, 1.0, 0.3333333333333333, 0.8, 0.6666666666666666, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6]",6.233333333333333,1.0,"['d02', 'a17', 'a04', 'd06', 'a21', 'a23', 'a19', 'a05', 'a08', 'a06']","['a06', 'd06', 'a04', 'a17', 'a08', 'a23', 'a05', 'd02', 'a21', 'a19']",-1,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8,1.0
[4 5 4 5 5 4 3 2 4 5],øre sju fort klappe lytte bygge planke grå rød klem,kyrl klemme nye grå pryta sjætter pryta star port ton,,,"[0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.8333333333333334, 0.3333333333333333, 1.0, 1.0]",8.5,1.0,"['a34', 'a10', 'a21', 'a23', 'd11', 'a18', 'a08', 'd08', 'a06']","['a18', 'a21', 'a08', 'a23', 'd08', 'd08', 'a10', 'a06', 'a34', 'd11']",0,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 2.0, 1.0, 1.0, 0.8, 1.2, 0.8333333333333334, 1.3333333333333333, 1.3333333333333333, 1.0]",1.0
[5 3 5 1 5 4 3 2 5 1],terning mus bygge krabbe skip skulder fregner brun synge skøyter,fjad bra en ble skjede off skjede skjede prade kan han? lennen en jølgelig så,,,"[1.0, 0.6666666666666666, 1.0, 0.2, 1.0, 0.8571428571428571, 0.8333333333333334, 0.5, 1.0, 0.0]",7.057142857142857,0.9,"['d19', 'a14', 'd17', 'd01', 'a21', 'd11', 'a07', 'a26', 'a15', 'd03']","['d01', 'd03', 'd17', 'a15', 'd11', 'a26', 'a21', 'd19', 'a14', 'a07']",5,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,0.890625,1.5
[4 4 5 5 5 5 4 3 5 2],stær ugle ku skinke trille pære kropp artist turn flue,"stuppe? stuppe? tralle? ja, ne fint sapp fint fint lagt rastir",,,"[1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 0.75, 0.8, 1.0, 0.5]",8.8,1.0,"['d02', 'a04', 'a20', 'a09', 'a14', 'a18', 'a26', 'a28', 'd08']","['a26', 'a04', 'd08', 'd02', 'a14', 'a20', 'a09', 'a18', 'd02', 'a28']",1,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7962962962962963,1.1
[5 3 4 2 4 5 1 3 5 5],blad klo skjerm bygge stjerne hund tjern lyn plante krykke,smikke døs døs klo lødde sødder lise sød trille koffert,,,"[1.0, 0.6666666666666666, 1.0, 0.5, 0.8333333333333334, 1.0, 0.0, 0.6666666666666666, 1.0, 1.0]",7.666666666666666,0.9,"['a04', 'd18', 'a02', 'a03', 'd16', 'd15', 'a01', 'a18', 'a05', 'd03']","['d15', 'a02', 'a04', 'a03', 'd03', 'd16', 'a01', 'a05', 'a18', 'd18']",0,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.5, 1.0, 1.0, 1.0, 0.8571428571428571, 1.25, 1.0, 1.0, 0.8333333333333334, 1.0]",1.0
