score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,støvel trylle gul vindu tralle skive skøyter kvern kvart frakk,slutt,,,"[0.16666666666666666, 0.2, 0.0, 0.0, 0.2, 0.5, 0.0, 0.0, 0.25, 0.25]",1.5666666666666667,0.6,"['a09', 'a03', 'a07', 'a01', 'a13', 'd08', 'a06']","['d08', 'a07', 'a09', 'a13', 'a03', 'a06', 'a07', 'a03', 'a01', 'a07']",-9,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,0.9193548387096774,1.0
1,terning glitter rund sju gartner glør søle terning løve sjakk,karne,,,"[0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.25, 0.0]",0.5833333333333333,0.2,"['d19', 'a11', 'a25', 'a07', 'a12', 'a13']","['a07', 'a13', 'a25', 'a25', 'a07', 'a11', 'a12', 'a11', 'a12', 'd19']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,0.9344262295081968,1.0
2,kvern blokk ekorn brun premie drue kropp drops fugl kikkert,snart hydella,,,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.6, 0.3333333333333333, 0.6]",4.533333333333333,1.0,"['a31', 'a11', 'a01', 'a19', 'a33', 'a06', 'a15']","['a33', 'a31', 'a19', 'a01', 'a01', 'a06', 'a11', 'a15', 'a15', 'a01']",-8,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,0.8983050847457628,1.0
2,flue glass syk løve blomst sjakk vindu bygge gul skulder,skål skål skål skål skål skål,,,"[0.5, 0.25, 0.0, 0.5, 0.6666666666666666, 0.3333333333333333, 0.4, 0.25, 0.3333333333333333, 0.42857142857142855]",3.6619047619047618,0.9,"['a09', 'a03', 'a32', 'a10', 'a21', 'a25', 'a26', 'a28', 'a13']","['a26', 'a10', 'a03', 'a13', 'a25', 'a32', 'a09', 'a28', 'a13', 'a21']",-4,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7321428571428571,1.0
2,fly prins artist garn huske klo trapp krabbe plante kikkert,loom,,,"[0.3333333333333333, 0.4, 0.6, 0.3333333333333333, 0.4, 0.3333333333333333, 0.25, 0.4, 0.6666666666666666, 0.2]",3.9166666666666665,1.0,"['a10', 'a23', 'a11', 'a07', 'a12', 'a28', 'a13']","['a12', 'a07', 'a13', 'a07', 'a07', 'a23', 'a11', 'a10', 'a28', 'a28']",-9,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,0.9661016949152542,1.0
2,horn kikkert søppel bro kvern drikke fly klo skip bart,svømme svømme? svømme? svømme? svømme,,,"[0.3333333333333333, 0.4, 0.6, 0.3333333333333333, 0.5, 0.6, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",4.1000000000000005,1.0,"['a09', 'a32', 'a07', 'a13', 'a08', 'a06', 'a27']","['a07', 'a07', 'a27', 'a07', 'a09', 'a07', 'a08', 'a32', 'a06', 'a13']",-5,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,0.8148148148148148,1.0
2,bror plante lærer sølv drikke ugle planke fortau garn kjerne,potter,,,"[0.25, 0.6666666666666666, 0.4, 0.3333333333333333, 0.4, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25]",4.133333333333333,1.0,"['d19', 'a14', 'a34', 'a07', 'a12', 'a26', 'a28', 'a08', 'a06']","['a07', 'a08', 'a26', 'a07', 'a28', 'a14', 'a34', 'a12', 'a06', 'd19']",-9,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,0.9166666666666666,1.0
2,plystre glis skitten briller skøyter grå glitter sport blomst tjern,der flott skoter skoter norge frøk,,,"[0.5714285714285714, 0.5, 0.5, 0.6666666666666666, 0.6, 0.6666666666666666, 0.16666666666666666, 0.5, 0.6666666666666666, 0.3333333333333333]",5.171428571428571,1.0,"['d19', 'a34', 'a10', 'd14', 'a07', 'a12', 'a26', 'a13']","['a12', 'a34', 'a07', 'd14', 'd19', 'a13', 'a10', 'a10', 'a12', 'a26']",-4,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7164179104477612,1.0
2,brød rød sykkel blad horn myk port frukt kurv kvart,søtte søtte søtte brød ja og bare ste,,,"[0.3333333333333333, 0.0, 0.4, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6, 0.5, 0.5]",3.8333333333333335,0.9,"['d02', 'a02', 'd06', 'a11', 'a01', 'a28', 'a05', 'a13', 'a27']","['a01', 'd02', 'a11', 'a05', 'd06', 'a27', 'a28', 'a13', 'a02', 'a13']",-2,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7843137254901961,1.0
2,briller drops kvern glorie artist plante klappe glad glitter tårn,hva unker du? høygod vondt fjørn prustere to smil blukt bruk,,,"[0.5, 0.6, 0.25, 0.6666666666666666, 0.4, 0.6666666666666666, 0.6, 0.3333333333333333, 0.5, 0.3333333333333333]",4.85,1.0,"['a04', 'd01', 'a16', 'a21', 'a11', 'a07', 'a27']","['a21', 'a21', 'a07', 'a16', 'd01', 'a07', 'a27', 'a04', 'a16', 'a11']",1,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7846153846153846,1.1
