score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,ænn pritt vel lagt rået hva er det var så da men,0.7543859649122807,1.2,0.17647058823529413,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",2,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,Base
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,hva er det,0.8793103448275862,1.0,0.26881720430107525,1.0,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-7,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,Base
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,glåla tulla planna hilla plinele blønn bløtsel blaksa glåla glatt,0.639344262295082,1.0,0.3670886075949367,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,slik slapen shite klap slik løvna løvna løvna slik gjøddeva fester,0.65625,1.1,0.4050632911392405,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",1,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,plystre kvern glorie klem bryter briller drue barn start løve,prister kværm kredo krem beetay beetlay dive barn dot løve,0.45901639344262296,0.8,0.5072463768115942,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",0,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,plystre blokk horn søle svømme svart glorie garn blomst blå,plistet dokki un shale svema svart nå kan du du,0.5254237288135594,0.9,0.03896103896103896,0.3,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,bjørn artist søt terning løve horn glorie glad kikkert børste,pistosalarsen er til er det du som ser det,0.7540983606557377,1.0,0.25274725274725274,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-1,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,barn flette drue skjema smart vindu tralle munn glorie horn,ogdettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedette,1.5254237288135593,1.0,0.3291139240506329,1.0,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-9,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,likkor det gitt dekken søle sømme er du altil at jeg er styr gjønne ut utis,0.7543859649122807,1.5,0.4044943820224719,1.0,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",6,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,kort korn klo klem kikkert blokk bart fortid fortau fort,godt goden godet grøm skjæt brøk bat føttet føttet futt,0.5714285714285714,1.0,0.504950495049505,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",0,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
