+----------------------------+--------------+-------------------+------------------------------------+---------------------------------------+-----------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+
|           Model            | Input length | Translated length |         Unique input words         |        Unique translated words        |                              Input words                              |                                          Translated words                                         |
+----------------------------+--------------+-------------------+------------------------------------+---------------------------------------+-----------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+
|        whisper-tiny        |      10      |         9         | ['gutt' 'søppel' 'krabbe' 'kropp'] |  ['guts', 'sjeper', 'krabbe', 'krop'] | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |       ['guts', 'sjeper', 'sjeper', 'sjeper', 'krabbe', 'krop', 'sjeper', 'sjeper', 'krabbe']      |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|      nb-whisper-tiny       |      10      |         7         | ['gutt' 'søppel' 'krabbe' 'kropp'] |          ['søppel', 'krabbe']         | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |               ['søppel', 'søppel', 'søppel', 'søppel', 'krabbe', 'krabbe', 'krabbe']              |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|  nb-whisper-tiny-verbatim  |      10      |         9         | ['gutt' 'søppel' 'krabbe' 'kropp'] | ['søppel', 'krabbe', 'kropp', 'krab'] | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |      ['søppel', 'søppel', 'krabbe', 'kropp', 'søppel', 'søppel', 'søppel', 'søppel', 'krab']      |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|            base            |      10      |         8         | ['gutt' 'søppel' 'krabbe' 'kropp'] |      ['søpelt', 'krabbe', 'krab']     | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |            ['søpelt', 'søpelt', 'søpelt', 'krabbe', 'krab', 'søpelt', 'søpelt', 'krab']           |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|      nb-whisper-base       |      10      |         7         | ['gutt' 'søppel' 'krabbe' 'kropp'] |          ['søppel', 'krabbe']         | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |               ['søppel', 'søppel', 'søppel', 'krabbe', 'søppel', 'søppel', 'søppel']              |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|  nb-whisper-base-verbatim  |      10      |         4         | ['gutt' 'søppel' 'krabbe' 'kropp'] |          ['gutt', 'søppel?']          | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |                             ['gutt', 'søppel?', 'søppel?', 'søppel?']                             |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|           medium           |      10      |         6         | ['gutt' 'søppel' 'krabbe' 'kropp'] |  ['gud', 'søppel', 'krabbe', 'kropp'] | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |                      ['gud', 'søppel', 'krabbe', 'kropp', 'søppel', 'kropp']                      |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
|     nb-whisper-medium      |      10      |         9         | ['gutt' 'søppel' 'krabbe' 'kropp'] |     ['søppel', 'krabbe', 'kropp']     | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' |      ['søppel', 'søppel', 'søppel', 'krabbe', 'kropp', 'søppel', 'søppel', 'søppel', 'kropp']     |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
| nb-whisper-medium-verbatim |      10      |         10        | ['gutt' 'søppel' 'krabbe' 'kropp'] |     ['søppel', 'krabbe', 'kropp']     | ['gutt' 'søppel' 'søppel' 'søppel' 'krabbe' 'kropp' 'søppel' 'søppel' | ['søppel', 'søppel', 'krabbe', 'kropp', 'søppel', 'søppel', 'søppel', 'søppel', 'kropp', 'kropp'] |
|                            |              |                   |                                    |                                       |                            'søppel' 'kropp']                          |                                                                                                   |
+----------------------------+--------------+-------------------+------------------------------------+---------------------------------------+-----------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+
