speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,atist vand vand vjann blå blåt blåt blåt blåt blåt blåt blåt blåt blåt,0.6666666666666666,1.3,4,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bøste bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle,9.75925925925926,11.1,101,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,arte st bån pack bjerne bøddo rad braier blok dramst bødjen,0.47368421052631576,1.1,1,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,hvis du er enn i det,0.8148148148148148,1.0,-4,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist bar båk ja pro bra bra braier blok cromps priam,0.45614035087719296,1.0,1,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5068493150684932,1.0,pasta pril peru pror prater pris pinkier dør,0.5471698113207547,0.9,-2,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist børt bjern blå blå blå braier rok prost prost prient,0.5087719298245614,0.9,1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,døsste dryler dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry,10.481481481481481,14.7,137,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,attist parn patch bion bra bra braje prok brømst brianth,0.42105263157894735,1.0,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,pasta brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille,18.48148148148148,14.8,138,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,hvertiset,0.9122807017543859,1.0,-9,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bløste prøller brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå brå br,10.444444444444445,14.8,138,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,bland bland bland bland bland bland bland bland bland bland bland,0.631578947368421,1.1,1,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,det er litt plu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu blu,10.648148148148149,15.0,140,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,og tiste bann og tiste bann bann bann drog drog drog drog drog drog drog drog drog drog drog drog drog,1.368421052631579,2.1,11,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,passt prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider prider,18.666666666666668,14.8,138,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a09,[3 3 5 2 2 3 3 5 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,akkist bare bare bare pro blod braier blod blod blod prient,0.45614035087719296,1.1,1,a09_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
a09,[4 2 4 4 2 5 3 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,båsjla præligt prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl prøl pr,9.87037037037037,11.1,101,a09_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Tiny
