speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn bætsj bjørn blå blad breie blokke blomst blyant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0]",0.3
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,buste briller bru brød bror brød briter buss by ikke,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,0,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.16666666666666666, 0.0, 0.0, 0.8]",0.5
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,-9,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.9298245614035088,0.9
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,børste briller bro bror brun ruter børs bi bygge,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,-1,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.18518518518518517,0.4
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist bar bock,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,-7,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.7543859649122807,0.9
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,bursdag briller bror bror brutter bush,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,-4,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.4528301886792453,0.8
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn bart bjørn blå blad braie brokk bromst briant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,-1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.22807017543859648,0.5
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,børste briller bro brød bror bryn bryter buss by begge,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,0,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2]",0.2
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn butch bjål brå brat breie brokk brømst briant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 1.0, 0.6, 0.3333333333333333, 0.5, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333]",0.8
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,verksted briller bro brød brur grum brudder puss bi bikke,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,0,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.6666666666666666, 0.0, 0.0, 0.0, 0.25, 0.5, 0.5, 0.25, 0.5, 0.6]",0.7
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist artist barn brill blod reyer blomst blomst,,,"[0.8, 0.3333333333333333, 1.0, 0.25, 0.6666666666666666, 0.5, 1.0, 0.75, 0.6666666666666666, 0.8333333333333334]",6.8,1.0,-2,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.42105263157894735,0.8
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,børste briller bror bror bror bror broder buss by,,,"[1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.25, 0.5, 0.6666666666666666, 1.0, 1.0, 0.75]",7.5,1.0,-1,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.24074074074074073,0.5
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,"vann bæsj, bron, pla, blad",,,"[0.6, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 0.75, 0.3333333333333333, 0.5]",4.85,1.0,-5,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.7543859649122807,0.9
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,blod,,,"[0.4, 0.5, 0.3333333333333333, 0.0, 0.25, 0.25, 0.5, 1.0, 0.5, 0.25]",3.9833333333333334,0.9,-9,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.9259259259259259,1.0
