speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn backst bliand blyan,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,-5,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5789473684210527,0.8
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,bøh li bøh bjølju bjølju bjøl,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,-4,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.7222222222222222,1.0
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,bjørn bør og klar breie blokk bramst børjant bøljant,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,-1,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5964912280701754,1.0
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,bøsj bi bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bjørn bje bjr bjørn bj bjr bjr bjørn bj bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bj bjr bjr bj bjr bj bjr bj bjr bj bj bjr bj bj bjr bj bj bj bjr bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj b,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,187,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,11.851851851851851,19.7
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist bar brian botch eller brian,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,-4,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5789473684210527,0.9
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,brilli bero dete prøve bror briter briter brilj dør dør dør,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,1,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.6226415094339622,0.9
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn bart bjørn blå blar bromst briant briant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,-2,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.42105263157894735,0.6
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,bror bro brød begge,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,-6,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.6666666666666666,0.8
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn b boje bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjørn bjørn bjørn bjørn,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,16,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.9824561403508771,2.4
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,verste briller brød brød brød ikke,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,-4,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5370370370370371,0.8
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,takk takk bjørn,,,"[0.8, 0.3333333333333333, 1.0, 0.25, 0.6666666666666666, 0.5, 1.0, 0.75, 0.6666666666666666, 0.8333333333333334]",6.8,1.0,-7,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.8245614035087719,0.9
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,børste pelle brå bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk b vil ikke,,,"[1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.25, 0.5, 0.6666666666666666, 1.0, 1.0, 0.75]",7.5,1.0,28,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,2.8333333333333335,3.7
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,,,,"[0.6, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 0.75, 0.3333333333333333, 0.5]",4.85,1.0,-10,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.0,1.0
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,,,,"[0.4, 0.5, 0.3333333333333333, 0.0, 0.25, 0.25, 0.5, 1.0, 0.5, 0.25]",3.9833333333333334,0.9,-10,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,1.0,1.0
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artis tist barn barn atch bjørn troll braat,,,"[1.0, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.25, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666]",6.416666666666666,1.0,-2,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5789473684210527,1.0
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,verst brøljer bro brøl brøl brøl brøl brøl brun brøl brun brøl brun brøl bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge,,,"[0.8, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0]",9.216666666666667,1.0,32,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,3.6666666666666665,3.9
