score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,klar flaske børste kort grønn sjakk hjerne frakk klappe kurv,0.11494252873563218,0.6,breret fraska døle erna ring røsjæl fyrtum kjøle og hatt,0.7166666666666667,1.0,0,"['d19', 'd07', 'a11', 'a07', 'a12', 'a01', 'a13', 'a06', 'a27']","['a27', 'a11', 'a12', 'a01', 'd07', 'd19', 'a13', 'a07', 'a06', 'a11']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,Base
1,krabbe dyne hjørne grave horn kort hjørne søt krabbe støvel,0.2247191011235955,0.9,kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts,9.101694915254237,11.1,101,"['d08', 'a34', 'a11', 'a07', 'a25', 'a13', 'd09', 'a06']","['a13', 'a11', 'a07', 'd09', 'a34', 'a25', 'a06', 'a07', 'a07', 'd08']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,Base
2,drue fortid klo planke kart fort brun frukt blad brun,0.3373493975903614,1.0,hva hiddela hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt,13.69811320754717,14.8,138,"['a30', 'a03', 'a32', 'a29', 'a21', 'a11', 'a25', 'a26', 'a08', 'd08']","['d08', 'a11', 'a32', 'a21', 'a25', 'a30', 'a29', 'a08', 'a03', 'a26']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,blomst glad blad ødelagt kurv enhjørning huske glorie ugle blod,0.449438202247191,1.0,høte høte høte grær du skålte ekkun katana krima shake krim,0.8412698412698413,1.1,1,"['a17', 'd07', 'a10', 'a23', 'a11', 'a26', 'a06']","['a06', 'a10', 'a11', 'a17', 'a06', 'a23', 'a11', 'd07', 'a11', 'a26']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,skjerm plystre bygge blyant blomst bror kjerne kropp øre troll,0.5074626865671642,1.0,kikker fri ging shell shell kjerebbeln løber shen en slik,0.7741935483870968,1.0,0,"['a09', 'a03', 'a14', 'a07', 'a12', 'a01', 'a13', 'a08']","['a07', 'a08', 'a09', 'a03', 'a01', 'a14', 'a13', 'a12', 'a01', 'a07']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,skip vindu ugle glorie blomst tårn artist artist torne skjerf,0.05333333333333334,0.3,svemmer prante småd der fru-vin fru-ve gras kjiddet kan fru-t,0.8524590163934426,1.0,0,"['a09', 'a02', 'a25', 'a01', 'a08', 'a13', 'a15', 'd08', 'a06']","['a01', 'd08', 'a09', 'a15', 'a25', 'a08', 'a02', 'a13', 'a25', 'a06']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,sjiraff skøyter enhjørning svart glitter planke pluss skjorte glad glitter,0.25842696629213485,1.0,grupp ljøn kjø tjannin grupp skitten tjann flavte stib puts grupp,0.7027027027027027,1.1,1,"['a09', 'a03', 'a32', 'd10', 'a10', 'a01', 'a26', 'a05', 'a27']","['a27', 'a10', 'a32', 'd10', 'a01', 'a01', 'a03', 'a26', 'a09', 'a05']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,sur glis premie ekorn horn stjerne rød skjørt fjorten støvel,0.3473684210526316,1.0,da flek hende skåter dinda helt helt helt helt helt flek du er her du er her,0.95,1.7,7,"['a17', 'a21', 'a07', 'a25', 'a18', 'a13', 'a15', 'a33']","['a25', 'a18', 'a07', 'a15', 'a17', 'a33', 'a17', 'a25', 'a13', 'a21']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,skitten klo kort sølv ugle gartner garn trapp fly skitten,0.4266666666666667,1.0,shale selt kjør søtte sjølol brut kjør prøvstet sj,0.7368421052631579,1.0,-1,"['d19', 'a02', 'a34', 'a23', 'a07', 'a25', 'a12', 'a28', 'd09']","['a25', 'a23', 'a34', 'a07', 'a28', 'a23', 'd09', 'a02', 'a12', 'd19']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
2,kikkert tårn søle gartner flagg trapp ugle fly glitter skulder,0.5056179775280899,1.0,ønker det ja ikkje hjørn pristre to smil blut brøk giran,0.7580645161290323,1.1,1,"['d02', 'a20', 'a16', 'a21', 'a23', 'a07', 'a12', 'a01', 'a33']","['a33', 'a01', 'd02', 'a12', 'a23', 'a07', 'a07', 'a20', 'a16', 'a21']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,Base
3,by gartner kurv bror skjære trykk hylle rike klappe øre,0.11494252873563218,0.6,cinke brut sharn ljus snow blåstey tjør bloms tjør børst,0.8727272727272727,1.0,0,"['a17', 'a08', 'a21', 'a22', 'a19', 'a26', 'a15', 'a06', 'a27']","['a21', 'a22', 'a17', 'a27', 'a15', 'a26', 'a08', 'a15', 'a19', 'a06']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,flette torne frø bleie svømme grave kvart sur fort klappe,0.2247191011235955,0.9,sive sølg gjørene gjellis til deg plante for å lite prøv sjønn drik,0.9122807017543859,1.3,3,"['a30', 'a09', 'a32', 'a22', 'a18', 'a01', 'a28', 'a13', 'a08']","['a28', 'a28', 'a01', 'a13', 'a18', 'a08', 'a32', 'a30', 'a22', 'a09']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,dyne kjerne buss plystre krykke fugl tjern drikke brød sykkel,0.3373493975903614,1.0,grittet blame fortit bro glenn inns medrun turen gyr skive,0.8032786885245902,1.0,0,"['a04', 'a02', 'a03', 'a09', 'a29', 'a05', 'a08', 'a06', 'a15']","['a02', 'a03', 'a15', 'a15', 'a08', 'a04', 'a09', 'a29', 'a06', 'a05']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,tær sjø enhjørning korn snørr klone glad svart flette rød,0.449438202247191,1.0,skikkeyt gjøvl grøvr skålka køkki pul skj sner lule,0.7894736842105263,1.0,-1,"['a20', 'a02', 'a14', 'a34', 'a29', 'a28', 'a13', 'a15']","['a15', 'a02', 'a28', 'a15', 'a29', 'a15', 'a34', 'a13', 'a14', 'a20']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,bjørn troll by kvart munn lyn lyn port plaster fregner,0.5074626865671642,1.0,hund fakset helt bjø ball breiter bjø kyrf,0.7592592592592593,1.0,-2,"['d19', 'a30', 'a04', 'd12', 'd16', 'a32', 'a29', 'a16', 'a13', 'a06']","['a30', 'a13', 'd19', 'd12', 'a04', 'a29', 'a16', 'a06', 'd16', 'a32']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,fort pute gutt blå smart svære skive klar flakse svømme,0.05333333333333334,0.3,triller hiller see huske tinen begræ dyrild justi schwemme svart,0.9272727272727272,1.0,0,"['d19', 'a30', 'a09', 'a14', 'd01', 'a16', 'a11', 'a22', 'a08']","['d19', 'a30', 'a08', 'a11', 'a14', 'a22', 'a16', 'a30', 'a09', 'd01']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,klem rød hund korn lytte krone bleie briller klappe smør,0.25842696629213485,1.0,gå søts torne beige bra dinn skj klikke klikke blå klikke,0.8214285714285714,1.1,1,"['a20', 'a22', 'a07', 'a01', 'a26', 'a05', 'a15', 'd09']","['d09', 'a26', 'a01', 'a26', 'a07', 'a05', 'a20', 'a22', 'a01', 'a15']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,kjerne ryke blokk glør dykke fjorten hund hjerte skjerf tralle,0.3473684210526316,1.0,svart ekkun gønne her tor lålke løp john lyr vara grim,0.7741935483870968,1.1,1,"['a20', 'a32', 'a10', 'a16', 'a21', 'a11', 'a28', 'a33']","['a11', 'a20', 'a16', 'a10', 'a28', 'a33', 'a21', 'a21', 'a10', 'a32']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,turn ski øre svart drops skjema brå trille krakk gutt,0.4266666666666667,1.0,grøy karappet stupet skjøttet trillet duet skjitten trøy blirjon,0.9433962264150944,1.0,-1,"['a04', 'a09', 'a29', 'a07', 'a25', 'a28', 'a15']","['a04', 'a09', 'a07', 'a04', 'a25', 'a28', 'a28', 'a29', 'a15', 'a15']",words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,blyant horn trylle glør krabbe pute garn glitter krone myr,0.5056179775280899,1.0,støy føl søkkel tyrich søt frikt blul stjorpet tona sier brul,0.8793103448275862,1.1,1,"['a02', 'a31', 'a21', 'a23', 'a26', 'a19', 'd08']","['a31', 'a21', 'a26', 'a23', 'd08', 'a21', 'a19', 'a02', 'a21', 'a26']",words_90_100.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,flue sjakk klar garn glør løpe søle krykke tralle søster,0.22988505747126436,1.0,kronne for dit stark skikkeyt kål nå bred stål beljent høykom,0.875,1.1,1,"['d04', 'a14', 'a31', 'a21', 'a22', 'a01', 'a26', 'a27']","['a27', 'a21', 'a31', 'a22', 'd04', 'a26', 'a01', 'a14', 'a31', 'a14']",words_100_110.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,barn stjerne artist flue garn krykke søster smør plante skjørt,0.3493975903614458,1.0,sør dør drop fri knad hitta traske shari kjøn,0.6935483870967742,1.0,-1,"['a09', 'a10', 'a16', 'a21', 'a22', 'a07', 'a29', 'a19', 'd08']","['a07', 'a19', 'a09', 'a16', 'a10', 'a21', 'a22', 'a29', 'd08', 'a21']",words_110_120.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,svare bror klo artist drue klær barn frø stjerne trille,0.43209876543209874,1.0,45 turn skulde fraksø bart littere littere tuna,0.7272727272727273,1.0,-2,"['a30', 'a32', 'a31', 'a22', 'a11', 'a28', 'a33']","['a28', 'a30', 'a22', 'a32', 'a11', 'a28', 'a30', 'a33', 'a31', 'a30']",words_120_130.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,skjære sju krone tær pluss lue glorie knær grå svære,0.5057471264367817,1.0,skjørr skjørr kralet sinket kål list kvarn shit klanet kyrv,0.7884615384615384,1.0,0,"['d05', 'a02', 'a32', 'a07', 'a26', 'a28', 'd18', 'a15']","['d18', 'a28', 'a07', 'a32', 'd18', 'a02', 'd05', 'a15', 'a15', 'a26']",words_130_140.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,drue karneval søt blomst pære skjørt hjerne sylte kart munn,0.26881720430107525,1.0,kyrak litte bar sputs pros kagen fraske frakset hilde dår,0.7627118644067796,1.0,0,"['a17', 'a21', 'a25', 'a19', 'a12', 'a05', 'a08', 'a15']","['a17', 'a17', 'a25', 'a08', 'a21', 'a12', 'a05', 'a19', 'a15', 'a15']",words_140_150.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
3,dør plaster grave prins glør trylle sølv bleie flakse sport,0.3246753246753247,1.0,frøtte sær blatt sjyl grøn krean sortevel stene,0.711864406779661,1.0,-2,"['d10', 'a34', 'a10', 'a29', 'a16', 'a13', 'a15', 'a06', 'a27']","['a15', 'a16', 'a10', 'a29', 'd10', 'a29', 'a06', 'a27', 'a13', 'a34']",words_150_160.wav,../3x10_Concatenations/3x10_score_3_mixed,Base
