speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn verts bjørn blå blad brad breie blakke blomst blian,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,1,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.22807017543859648,0.5
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,busse bøyli bru bø blod bø,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,-4,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.6851851851851852,1.0
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn batsj bjørn børå grad breie blokk,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,-3,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5087719298245614,0.7
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,børste briller bro brød bor brun bruen bruter bøsj bi,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,0,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.5, 1.0, 1.5, 0.8]",0.5
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist bar,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,-8,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.8245614035087719,0.9
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,bursdag briller bero bror bror briter,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,-4,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.49056603773584906,0.8
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn bart bjørn blå blad,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,-5,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5789473684210527,0.5
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,børste briller bro brød bror bryn bryter buss by begge,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,0,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.2]",0.2
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn baj,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,-7,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.7368421052631579,0.8
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,verksted briller bro brø brur grunn brudder buss bi bikke,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,0,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.6666666666666666, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.0, 0.5, 0.6]",0.7
