score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,fly flakt roe,0.8596491228070176,1.0,0.17647058823529413,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",-7,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-medium-verbatim
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,skjær skjær,0.8620689655172413,1.0,0.26881720430107525,1.0,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-8,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-medium-verbatim
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,klola tjener hylla pleiner bløyten lakse klola,0.5081967213114754,1.0,0.3670886075949367,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-3,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,fire sytten skøyter klapp tjue løve plemer krikke grå fester,0.328125,0.7,0.4050632911392405,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",0,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,plystre kvern glorie klem bryter briller drue barn start løve,klem klo klem byrdi billi due barn dort løve,0.4262295081967213,0.7,0.5072463768115942,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",-1,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,plystre blokk horn søle svømme svart glorie garn blomst blå,dukk horn sjele svenne svært,0.6779661016949152,0.9,0.03896103896103896,0.3,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",-5,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,bjørn artist søt terning løve horn glorie glad kikkert børste,er det du som sier det,0.7868852459016393,1.0,0.25274725274725274,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-4,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,barn flette drue skjema smart vindu tralle munn glorie horn,barn,0.9322033898305084,0.9,0.3291139240506329,1.0,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-9,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,girf tekke søle sønne brud til atirst,0.5964912280701754,0.9,0.4044943820224719,1.0,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",-3,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
2,kort korn klo klem kikkert blokk bart fortid fortau fort,kutt kun kru klem sikkert brøkk pett føttitt føttet,0.42857142857142855,0.9,0.504950495049505,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",-1,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-medium-verbatim
