score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,"vel lagt, roe",,,"[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.42857142857142855, 0.5, 0.5, 0.3333333333333333, 0.6, 0.0]",3.0285714285714285,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",-7,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,0.8245614035087719,1.0
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,drem,,,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.25, 0.0, 0.0]",0.75,0.3,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,0.9482758620689655,1.0
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,hilda hilda hilda blod blod bløte blod,,,"[0.6666666666666666, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5]",5.083333333333333,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-3,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,0.7540983606557377,1.0
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,klapp klapp klapp klapp klikk klikk klikk,,,"[0.5, 0.4, 0.6, 0.5, 0.5, 0.25, 0.6666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666]",4.816666666666666,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",-3,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,0.71875,1.0
2,plystre kvern glorie klem bryter briller drue barn start løve,prusttre kvern kvern kvern kvern dort,,,"[0.7142857142857143, 0.5, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.5, 0.5]",4.9642857142857135,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",-4,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,0.6229508196721312,0.9
2,plystre blokk horn søle svømme svart glorie garn blomst blå,plistelige dukk om sjele svømme svømt!,,,"[0.42857142857142855, 0.25, 0.3333333333333333, 0.5, 0.6, 0.5, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333]",4.6119047619047615,1.0,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",-4,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,0.6271186440677966,0.9
2,bjørn artist søt terning løve horn glorie glad kikkert børste,husdansalerstat,,,"[0.5, 0.6, 0.3333333333333333, 0.6, 0.5, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6, 0.4]",4.866666666666666,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-9,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,0.8852459016393442,1.0
2,barn flette drue skjema smart vindu tralle munn glorie horn,blå blå blå,,,"[0.3333333333333333, 0.6, 0.5, 0.0, 0.25, 0.6, 0.6, 0.3333333333333333, 0.5, 0.3333333333333333]",4.05,0.9,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-7,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,0.8983050847457628,1.0
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,sønne sønne sønne sønne sønne sønne jane jane,,,"[0.25, 0.0, 0.4, 0.5, 0.4, 0.0, 0.4, 0.5, 0.0, 0.5]",2.95,0.7,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",-2,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,0.6842105263157895,1.0
2,kort korn klo klem kikkert blokk bart fortid fortau fort,godt gunn? gudun? grunn? sikkert brøkk født født? født,,,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.6, 0.5, 0.3333333333333333, 0.4, 0.25, 0.3333333333333333]",3.666666666666667,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",-1,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,0.6428571428571429,1.0
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,"flokk, hjerne, løfter, løfte løfte, løfte løfte, løfte",,,"[0.75, 0.75, 0.75, 0.8, 0.3333333333333333, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.6666666666666666]",7.05,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-2,words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,0.6551724137931034,1.0
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,barn barn adil dykk,,,"[0.6, 0.75, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6, 0.75, 0.6666666666666666, 0.8333333333333334]",6.366666666666667,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-6,words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7719298245614035,0.9
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,flaks flink søsko sønn smar,,,"[0.6, 0.5, 0.6, 0.8, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.5, 0.5]",6.5,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-5,words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,0.6896551724137931,1.0
