score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,skive munn briller skilpadde koffert grå støvel løpe kikkert glorie,0.11494252873563218,0.6,bare rigg,0.8955223880597015,1.0,-8,"['a03', 'a11', 'a07', 'a12', 'a01', 'd08', 'a06']","['a06', 'a01', 'a11', 'a11', 'a03', 'a11', 'd08', 'a07', 'a06', 'a12']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-tiny-verbatim
1,turn premie terning glør søle drops trylle klappe løve hjørne,0.2247191011235955,0.9,garna,0.9344262295081968,1.0,-9,"['a11', 'a07', 'a12', 'a08', 'a06']","['a07', 'a08', 'a07', 'a11', 'a12', 'a07', 'a11', 'a06', 'a07', 'a07']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-tiny-verbatim
2,artist fregner bjørn krakk skøyter skitten glass skjerm blå flaske,0.3373493975903614,1.0,hyttele hytele hikkiki hikki pip ti,0.803030303030303,1.0,-4,"['d19', 'a09', 'a10', 'a12', 'a01', 'd09', 'a06']","['d09', 'a01', 'a09', 'd19', 'd19', 'a10', 'a12', 'a06', 'a10', 'a12']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,bjørn huske skjerf søster snørr flakse trykk fly smerte vindu,0.449438202247191,1.0,født du vet du rør tr gun skror to skror t t skor du gud nei tre når du tror at skjegget,1.098360655737705,2.2,12,"['a30', 'a03', 'a31', 'a11', 'a07', 'a01', 'a08']","['a03', 'a07', 'a03', 'a01', 'a11', 'a07', 'a31', 'a30', 'a08', 'a01']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,klem klappe ugle glorie løpe skjema glitter pluss hylle plystre,0.5074626865671642,1.0,fri digg sjau,0.873015873015873,1.0,-7,"['d19', 'a31', 'a34', 'a21', 'a07', 'a12', 'a26', 'a13']","['a34', 'a12', 'a26', 'a07', 'a13', 'a07', 'a21', 'a34', 'd19', 'a31']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,krone horn sur bryter rød grave glad løpe horn grave,0.05333333333333334,0.3,svømme frønteg sh smarch gud fru men frove s grasj til tissen,0.9038461538461539,1.2,2,"['a09', 'a29', 'd14', 'a10', 'a25', 'a01', 'd08', 'a06']","['a09', 'a10', 'a25', 'd14', 'a29', 'a01', 'a10', 'a06', 'd08', 'a29']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,ekorn skitten plante løve hytte nøkkel glad sylte vindu drops,0.25842696629213485,1.0,patter thanu tre tre tju,0.7704918032786885,1.0,-5,"['d19', 'a20', 'a09', 'a03', 'a29', 'a21', 'a12', 'a08', 'a15', 'a27']","['a15', 'd19', 'a03', 'a08', 'a12', 'a29', 'a20', 'a27', 'a09', 'a21']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,vindu drops svart gartner kart skjerm fugl skjerm glad brun,0.3473684210526316,1.0,der flakk skoter din da noke fra kroner tog fra kroner tog tog tog tog tog togner,1.0338983050847457,1.7,7,"['a09', 'a21', 'a25', 'a07', 'a12', 'a26', 'a13', 'a15']","['a12', 'a15', 'a12', 'a21', 'a25', 'a07', 'a12', 'a13', 'a09', 'a26']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,tårn briller korn sverd søle garn fortid drikke glitter glorie,0.4266666666666667,1.0,sjøløl ja,0.9193548387096774,1.0,-8,"['a03', 'a34', 'a21', 'a22', 'a11', 'a01', 'a13', 'a06', 'a27']","['a11', 'a03', 'a13', 'a27', 'a22', 'a06', 'a34', 'a21', 'a11', 'a01']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
2,plystre skilpadde flagg smør rød skitten huske horn kikkert søle,0.5056179775280899,1.0,periode bjørn bjørn prestre to,0.765625,1.0,-5,"['d02', 'a20', 'd10', 'a29', 'a11', 'a01', 'a13']","['a11', 'a01', 'a20', 'a11', 'd02', 'a29', 'a13', 'a20', 'a13', 'd10']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny-verbatim
