speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn bær bær blå bær blå,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,-4,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.6666666666666666,0.8
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,bringebjørn bringebjørn,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,-8,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.7592592592592593,1.0
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,bjørn bjørn bra vei blokk blomst,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,-4,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5263157894736842,0.7
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,bøsj bødde,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,-8,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.8518518518518519,1.0
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,blåbær blåbær,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,-8,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.8596491228070176,1.0
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,brillej? bero? bror? briller? bli bli blinky? dør?,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,-2,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.6037735849056604,1.0
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn barn bjørn blå brå brokk brokk bronse bronse,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,-1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.42105263157894735,0.7
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,"børste briller, bro bred brinn bryter by meg",,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,-2,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.3148148148148148,0.6
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,party party leo bra bra brokk brems brems,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,-2,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5964912280701754,1.0
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,brød brød brød grønn brød,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,-5,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.7037037037037037,0.9
