score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,følgt roet,,,"[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.42857142857142855, 0.5, 0.5, 0.3333333333333333, 0.6, 0.0]",3.0285714285714285,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",-8,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,0.8596491228070176,1.0
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,grem,,,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.25, 0.0, 0.0]",0.75,0.3,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,0.9655172413793104,1.0
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,klovn,,,"[0.6666666666666666, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5]",5.083333333333333,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-9,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,0.9344262295081968,1.0
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,fester,,,"[0.5, 0.4, 0.6, 0.5, 0.5, 0.25, 0.6666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666]",4.816666666666666,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,0.921875,1.0
2,plystre kvern glorie klem bryter briller drue barn start løve,"prustre klo, klem, bi-døy, billei, due, barn, dolve, løve",,,"[0.7142857142857143, 0.5, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.5, 0.5]",4.9642857142857135,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",-1,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,0.4918032786885246,0.9
2,plystre blokk horn søle svømme svart glorie garn blomst blå,dukk ordn svømme svart,,,"[0.42857142857142855, 0.25, 0.3333333333333333, 0.5, 0.6, 0.5, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333]",4.6119047619047615,1.0,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",-6,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,0.6949152542372882,0.8
2,bjørn artist søt terning løve horn glorie glad kikkert børste,hvor er det?,,,"[0.5, 0.6, 0.3333333333333333, 0.6, 0.5, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6, 0.4]",4.866666666666666,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-7,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,0.8524590163934426,1.0
2,barn flette drue skjema smart vindu tralle munn glorie horn,glore og,,,"[0.3333333333333333, 0.6, 0.5, 0.0, 0.25, 0.6, 0.6, 0.3333333333333333, 0.5, 0.3333333333333333]",4.05,0.9,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-8,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,0.8813559322033898,1.0
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,"gryf det er ikke sørøya, sønna brød til at dyrt ja, nei ut og dyss",,,"[0.25, 0.0, 0.4, 0.5, 0.4, 0.0, 0.4, 0.5, 0.0, 0.5]",2.95,0.7,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",5,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,0.7368421052631579,1.5
2,kort korn klo klem kikkert blokk bart fortid fortau fort,godt korn korrum galam sikkert brøkk født født født,,,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.6, 0.5, 0.3333333333333333, 0.4, 0.25, 0.3333333333333333]",3.666666666666667,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",-1,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,0.5,0.9
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,"flakk, ljerne, presang, glade, glade, onde, hjerte, hjerne, prinsesse",,,"[0.75, 0.75, 0.75, 0.8, 0.3333333333333333, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.6666666666666666]",7.05,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-1,words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,0.6206896551724138,1.0
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,barn har dilt,,,"[0.6, 0.75, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6, 0.75, 0.6666666666666666, 0.8333333333333334]",6.366666666666667,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-7,words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,0.8421052631578947,0.9
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,"fjopp, bli laks, lytte",,,"[0.6, 0.5, 0.6, 0.8, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.5, 0.5]",6.5,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-6,words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7931034482758621,1.0
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,"skjell, skjema plan tre lalle kjele",,,"[0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6, 0.75, 0.6666666666666666, 0.8, 0.75]",7.233333333333333,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-4,words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,0.55,0.8
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,gjerne,,,"[0.6666666666666666, 0.75, 0.75, 0.6666666666666666, 0.75, 0.8571428571428571, 0.8, 0.75, 0.8571428571428571, 0.75]",7.597619047619047,1.0,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",-9,words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,0.9206349206349206,1.0
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,"garn, horn, mus, barn, fartau, dykke, sky, kvart, kjære,",,,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.75, 0.6, 0.5, 0.75, 0.75, 0.75]",6.766666666666667,1.0,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",-1,words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,0.35714285714285715,1.0
3,pluss prins hjørne drue sky svart svømme ugle kvern sjakk,"pluss, prins bjørne gruve svart svømme lykkelig",,,"[0.75, 0.8, 0.75, 0.5, 0.5, 0.75, 0.8, 0.75, 0.75, 0.6666666666666666]",7.016666666666667,1.0,"['d18', 'd17']","['d18', 'd18', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17']",-3,words_60_70.wav,../3x10_Concatenations/3x10_score_3_sorted,0.3684210526315789,0.7
3,horn grønn glass karneval jus enhjørning dyne dykke drue sky,ord grønn glass karneval lys en unding begynn dukke drue ski,,,"[0.6666666666666666, 0.75, 0.5, 0.8571428571428571, 0.6666666666666666, 0.7142857142857143, 0.5, 0.75, 0.5, 0.0]",5.904761904761905,0.9,['d16'],"['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16']",1,words_70_80.wav,../3x10_Concatenations/3x10_score_3_sorted,0.25,0.7
