speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist værnd vaks bjørn blå blåt børre blåkke balumps bjørn,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.75, 0.75, 0.0, 0.0, 0.5, 0.6, 0.4, 0.6666666666666666, 0.6666666666666666]",0.7
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,bølg bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,101,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,7.796296296296297,11.1
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artikst barn patts bjerne bødo rad røye block bromsst pødjant,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,0,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.16666666666666666, 0.0, 0.75, 0.4, 1.0, 0.5, 0.8, 0.2, 0.3333333333333333, 0.6666666666666666]",0.9
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår? dår?,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,18,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,2.2037037037037037,2.8
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,"artist, bar, bot, jæl, brå, brå, frøye, plok, groms, priem,",,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,0,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.16666666666666666, 0.25, 0.75, 0.8, 0.6666666666666666, 0.75, 1.0, 0.4, 0.5, 1.0]",1.0
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,prøv å prøve prur priter prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv pr,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,140,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,13.641509433962264,15.0
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn bart bjørn blå blå brøy pryk brømst priant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,0,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.8, 0.8, 0.3333333333333333, 0.5]",0.5
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,212,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,19.925925925925927,22.2
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,"atist, barn, patch, bjøl, bro, brød, bræje, prock, brømst, brjant,",,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.3333333333333333, 0.25, 1.25, 0.4, 1.0, 0.75, 0.8, 0.8, 0.5, 0.5]",1.0
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,"pashda, breller, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev, brev",,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,138,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,15.88888888888889,14.8
