id,global_score,target_word,PER,transcribed_word,CER,transcribed_word_striped,striped_CER,file_name,model_name
a01,2,kikkert,0.4,sikkis,0.5714285714285714,sikkis,0.5714285714285714,a01_kikkert.wav,nb-whisper-medium
a01,4,hjerte,0.0,hjerte,0.0,hjerte,0.0,a01_hjerte.wav,nb-whisper-medium
a01,3,barn,0.3333333333333333,barn,0.0,barn,0.0,a01_barn.wav,nb-whisper-medium
a01,4,hjort,0.3333333333333333,gjort,0.2,gjort,0.2,a01_hjort.wav,nb-whisper-medium
a01,2,kart,0.6666666666666666,godt,0.75,godt,0.75,a01_kart.wav,nb-whisper-medium
a01,2,drikke,0.6,tørke,0.6666666666666666,tørke,0.6666666666666666,a01_drikke.wav,nb-whisper-medium
a01,4,skitten,0.25,sitter,0.2857142857142857,sitter,0.2857142857142857,a01_skitten.wav,nb-whisper-medium
a01,2,tårn,0.6666666666666666,hvem?,1.25,hvem,1.0,a01_taarn.wav,nb-whisper-medium
a01,2,brød,0.6666666666666666,b?,0.75,b,0.75,a01_broed.wav,nb-whisper-medium
a01,3,krakk,0.5,køkki,0.6,køkki,0.6,a01_krakk.wav,nb-whisper-medium
a01,2,fugl,0.6666666666666666,fyrt?,1.0,fyrt,0.75,a01_fugl.wav,nb-whisper-medium
a01,2,plystre,0.42857142857142855,prikke,0.7142857142857143,prikke,0.7142857142857143,a01_plystre.wav,nb-whisper-medium
a01,2,brun,0.5,det gjør han,2.5,det gjør han,2.5,a01_brun.wav,nb-whisper-medium
a01,3,gul,0.3333333333333333,gule?,0.6666666666666666,gule,0.3333333333333333,a01_gul.wav,nb-whisper-medium
a01,2,øre,0.6666666666666666,jeg er det,2.6666666666666665,jeg er det,2.6666666666666665,a01_oere.wav,nb-whisper-medium
a01,5,gutt,0.0,gutt,0.0,gutt,0.0,a01_gutt.wav,nb-whisper-medium
a01,3,stjerne,0.3333333333333333,stjerne,0.0,stjerne,0.0,a01_stjerne.wav,nb-whisper-medium
a01,3,kurv,0.25,kult,0.5,kult,0.5,a01_kurv.wav,nb-whisper-medium
a01,3,smykke,0.2,sminke,0.3333333333333333,sminke,0.3333333333333333,a01_smykke.wav,nb-whisper-medium
a01,3,ørn,0.5,en,0.6666666666666666,en,0.6666666666666666,a01_oern.wav,nb-whisper-medium
a01,3,horn,0.3333333333333333,orden,0.75,orden,0.75,a01_horn.wav,nb-whisper-medium
a01,2,briller,0.3333333333333333,briller,0.0,briller,0.0,a01_briller.wav,nb-whisper-medium
a01,5,skjorte,0.0,sorte,0.2857142857142857,sorte,0.2857142857142857,a01_skjorte.wav,nb-whisper-medium
a01,3,smerte,0.4,smatte,0.3333333333333333,smatte,0.3333333333333333,a01_smerte.wav,nb-whisper-medium
a01,3,søt,0.3333333333333333,shit,0.6666666666666666,shit,0.6666666666666666,a01_soet.wav,nb-whisper-medium
a01,4,svømme,0.0,svømme,0.0,svømme,0.0,a01_svoemme.wav,nb-whisper-medium
a01,2,flagg,0.5,takk,0.8,takk,0.8,a01_flagg.wav,nb-whisper-medium
a01,5,løpe,0.0,løpe,0.0,løpe,0.0,a01_loepe.wav,nb-whisper-medium
a01,5,torne,0.0,tone,0.2,tone,0.2,a01_torne.wav,nb-whisper-medium
a01,3,støvel,0.3333333333333333,staving,0.6666666666666666,staving,0.6666666666666666,a01_stoevel.wav,nb-whisper-medium
a01,3,rød,0.5,børre?,1.6666666666666667,børre,1.3333333333333333,a01_roed.wav,nb-whisper-medium
a01,1,planke,0.5,blir det en kry?,2.1666666666666665,blir det en kry,2.0,a01_planke.wav,nb-whisper-medium
a01,2,snørr,0.75,snill,0.6,snill,0.6,a01_snoerr.wav,nb-whisper-medium
a01,3,sjakk,0.3333333333333333,sakki,0.4,sakki,0.4,a01_sjakk.wav,nb-whisper-medium
a01,4,syk,0.3333333333333333,sikh,0.6666666666666666,sikh,0.6666666666666666,a01_syk.wav,nb-whisper-medium
a01,2,fortid,0.6,potet,0.6666666666666666,potet,0.6666666666666666,a01_fortid.wav,nb-whisper-medium
a01,3,krykke,0.2,krige,0.5,krige,0.5,a01_krykke.wav,nb-whisper-medium
a01,3,blokk,0.5,blokker,0.4,blokker,0.4,a01_blokk.wav,nb-whisper-medium
