score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,skive munn briller skilpadde koffert grå støvel løpe kikkert glorie,bare rigg,,,"[0.5, 0.3333333333333333, 0.0, 0.14285714285714285, 0.2, 0.0, 0.16666666666666666, 0.25, 0.2, 0.3333333333333333]",2.126190476190476,0.8,"['a03', 'a11', 'a07', 'a12', 'a01', 'd08', 'a06']","['a06', 'a01', 'a11', 'a11', 'a03', 'a11', 'd08', 'a07', 'a06', 'a12']",-8,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,0.8955223880597015,1.0
1,turn premie terning glør søle drops trylle klappe løve hjørne,garna,,,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.25, 0.5]",1.65,0.5,"['a11', 'a07', 'a12', 'a08', 'a06']","['a07', 'a08', 'a07', 'a11', 'a12', 'a07', 'a11', 'a06', 'a07', 'a07']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,0.9344262295081968,1.0
2,artist fregner bjørn krakk skøyter skitten glass skjerm blå flaske,hyttele hytele hikkiki hikki pip ti,,,"[0.6, 0.5, 0.5, 0.5, 0.6, 0.5, 0.25, 0.25, 0.3333333333333333, 0.6666666666666666]",4.7,1.0,"['d19', 'a09', 'a10', 'a12', 'a01', 'd09', 'a06']","['d09', 'a01', 'a09', 'd19', 'd19', 'a10', 'a12', 'a06', 'a10', 'a12']",-4,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,0.803030303030303,1.0
2,bjørn huske skjerf søster snørr flakse trykk fly smerte vindu,født du vet du rør tr gun skror to skror t t skor du gud nei tre når du tror at skjegget,,,"[0.25, 0.4, 0.25, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.3333333333333333, 0.6, 0.6]",4.766666666666666,1.0,"['a30', 'a03', 'a31', 'a11', 'a07', 'a01', 'a08']","['a03', 'a07', 'a03', 'a01', 'a11', 'a07', 'a31', 'a30', 'a08', 'a01']",12,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,1.098360655737705,2.2
2,klem klappe ugle glorie løpe skjema glitter pluss hylle plystre,fri digg sjau,,,"[0.25, 0.6, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.7142857142857143]",4.814285714285714,1.0,"['d19', 'a31', 'a34', 'a21', 'a07', 'a12', 'a26', 'a13']","['a34', 'a12', 'a26', 'a07', 'a13', 'a07', 'a21', 'a34', 'd19', 'a31']",-7,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,0.873015873015873,1.0
2,krone horn sur bryter rød grave glad løpe horn grave,svømme frønteg sh smarch gud fru men frove s grasj til tissen,,,"[0.4, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6, 0.3333333333333333, 0.5, 0.3333333333333333, 0.6]",4.1,0.9,"['a09', 'a29', 'd14', 'a10', 'a25', 'a01', 'd08', 'a06']","['a09', 'a10', 'a25', 'd14', 'a29', 'a01', 'a10', 'a06', 'd08', 'a29']",2,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,0.9038461538461539,1.2
2,ekorn skitten plante løve hytte nøkkel glad sylte vindu drops,patter thanu tre tre tju,,,"[0.5, 0.5, 0.6666666666666666, 0.5, 0.5, 0.4, 0.3333333333333333, 0.6, 0.4, 0.6]",5.0,1.0,"['d19', 'a20', 'a09', 'a03', 'a29', 'a21', 'a12', 'a08', 'a15', 'a27']","['a15', 'd19', 'a03', 'a08', 'a12', 'a29', 'a20', 'a27', 'a09', 'a21']",-5,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7704918032786885,1.0
2,vindu drops svart gartner kart skjerm fugl skjerm glad brun,der flakk skoter din da noke fra kroner tog fra kroner tog tog tog tog tog togner,,,"[0.4, 0.6, 0.25, 0.16666666666666666, 0.3333333333333333, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333, 0.25]",3.4166666666666665,1.0,"['a09', 'a21', 'a25', 'a07', 'a12', 'a26', 'a13', 'a15']","['a12', 'a15', 'a12', 'a21', 'a25', 'a07', 'a12', 'a13', 'a09', 'a26']",7,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,1.0338983050847457,1.7
2,tårn briller korn sverd søle garn fortid drikke glitter glorie,sjøløl? ja,,,"[0.3333333333333333, 0.5, 0.6666666666666666, 0.2, 0.5, 0.3333333333333333, 0.4, 0.4, 0.5, 0.6666666666666666]",4.5,1.0,"['a03', 'a34', 'a21', 'a22', 'a11', 'a01', 'a13', 'a06', 'a27']","['a11', 'a03', 'a13', 'a27', 'a22', 'a06', 'a34', 'a21', 'a11', 'a01']",-8,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,0.9193548387096774,1.0
2,plystre skilpadde flagg smør rød skitten huske horn kikkert søle,periode bjørn bjørn prestre to,,,"[0.7142857142857143, 0.42857142857142855, 0.25, 0.5, 0.0, 0.5, 0.4, 0.3333333333333333, 0.2, 0.5]",3.8261904761904764,0.9,"['d02', 'a20', 'd10', 'a29', 'a11', 'a01', 'a13']","['a11', 'a01', 'a20', 'a11', 'd02', 'a29', 'a13', 'a20', 'a13', 'd10']",-5,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,0.765625,1.0
