score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[5 3 5 3 5 4 5 5 4 4],troll blomst garn klar koffert skøyter myk hund mus fjorten,0.3924050632911392,1.0,klikk flette ur grør smerte trikk snø stjerne glurie kart,0.7796610169491526,1.0,0,"['a31', 'a30', 'd16', 'd14', 'a32', 'd12', 'a29', 'a17', 'a33', 'd04']","['a33', 'd14', 'd04', 'a29', 'a17', 'a30', 'a32', 'd12', 'd16', 'a31']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[2 3 4 5 4 5 4 5 3 3],port skøyter tårn klem start lytte sverd tjern kort syk,0.4307692307692308,1.0,flaster skilpadde sky flystre trops ryke krean gutt,0.7636363636363637,1.0,-2,"['a13', 'a30', 'd08', 'd12', 'a15', 'a32', 'a17', 'a31', 'a11', 'd18']","['a17', 'a13', 'a15', 'd12', 'a11', 'd18', 'a30', 'a31', 'a32', 'd08']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 5 4 3 4 5 3 3 4 3],sky sjakk mus kort bror skinke by søster fort pute,0.417910447761194,1.0,fredde riter hilde lør bjørn kort erter krone gris blad,0.88,1.0,0,"['a10', 'a21', 'd10', 'a19', 'a23', 'a27', 'a17', 'a33', 'a05']","['a10', 'a05', 'a17', 'd10', 'a10', 'a33', 'a19', 'a23', 'a27', 'a21']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 2 4 5 4 3 5 4 3 4],fugl kvern fregner gartner trapp brød dør sil trylle jus,0.3924050632911392,1.0,for tid syn plystre drue bygge ugle,0.7678571428571429,1.0,-3,"['d03', 'a18', 'd13', 'a21', 'd01', 'a19', 'a15', 'a01', 'd17']","['d01', 'a19', 'a19', 'd17', 'a21', 'd03', 'd13', 'a15', 'a01', 'a18']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 2 4 4 3 5 2 5 2 5],sjø gartner vær frø fortau lyn premie fjorten tre kjerne,0.4157303370786517,1.0,smykke finner du grave drops star glorie skikkelig bi bleie,0.7857142857142857,1.0,0,"['a14', 'd09', 'a25', 'a29', 'd16', 'a12', 'a21', 'a04', 'a20', 'd05']","['a29', 'a12', 'a20', 'a04', 'a14', 'd09', 'a21', 'd05', 'a25', 'd16']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 3 5 5 4 2 5 5 4 3],trylle trille dyne bygge glør ugle lyn sjakk jus kurv,0.40229885057471265,1.0,gul priste drops fort rød frykt gris,0.7547169811320755,1.0,-3,"['d07', 'a18', 'd01', 'd10', 'a15', 'a17', 'a33', 'a22', 'd18']","['a17', 'a15', 'a33', 'd18', 'd01', 'a22', 'd07', 'a18', 'a22', 'd10']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[1 5 5 5 3 3 4 5 3 3],kort lyn børste stupe krone krykke planke skilpadde smerte krone,0.42168674698795183,1.0,gru greine ny grå pete skøyter pite star port tårn,0.71875,1.0,0,"['a14', 'd08', 'd03', 'a18', 'a02', 'd01', 'a04', 'a01']","['a01', 'a18', 'd01', 'd03', 'a04', 'a14', 'a02', 'd08', 'a02', 'a18']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[1 4 5 4 5 3 5 5 4 3],krakk premie flaske jus sølv planke skjorte klappe skulder glør,0.4810126582278481,1.0,fjær brød ugle skyraff sky skilpadde,0.7777777777777778,1.0,-4,"['d09', 'a22', 'a30', 'd14', 'a09', 'a04', 'a32', 'a29', 'd04', 'd05']","['a09', 'd14', 'd05', 'a04', 'a30', 'a29', 'a22', 'd04', 'a32', 'd09']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 5 3 4 5 4 5 5 5 3],hytte hjerte koffert drue kort børste gul syr munn turn,0.38666666666666666,1.0,stupe synge stupe tralle hjerne trapp sete ødelagt plaster,0.8,1.0,-1,"['a10', 'a07', 'a12', 'd01', 'd10', 'a27', 'd11', 'a31', 'd18', 'd15']","['d10', 'd11', 'a07', 'a10', 'd15', 'a27', 'd01', 'a31', 'd18', 'a12']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 1 3 4 3 5 4 5 5 4],turn enhjørning planke rund troll skulder søster internett klem enhjørning,0.29577464788732394,0.8,smykke buss brød klo lytte skøyter lys skjørt trille koffert,0.7567567567567568,1.0,0,"['a10', 'd09', 'd07', 'a12', 'd13', 'a26', 'd01', 'd02', 'd18']","['d02', 'a10', 'a26', 'd09', 'a12', 'd01', 'd09', 'd13', 'd18', 'd07']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
