speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist værnd vaks bjørn blå blåt børre blåkke balumps bjørn,0.3684210526315789,0.7,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Base
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,bølg bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl bøl,7.796296296296297,11.1,101,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Base
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artikst barn patts bjerne bødo rad røye block bromsst pødjant,0.38596491228070173,0.9,0,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Base
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår dår,1.6851851851851851,2.8,18,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Base
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist bar bot jæl brå brå frøye plok groms priem,0.45614035087719296,0.9,0,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Base
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5056179775280899,1.0,prøv å prøve prur priter prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv prøv pr,13.641509433962264,15.0,140,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Base
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist barn bart bjørn blå blå brøy pryk brømst priant,0.2631578947368421,0.5,0,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Base
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug brug,19.925925925925927,22.2,212,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Base
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,atist barn patch bjøl bro brød bræje prock brømst brjant,0.3684210526315789,0.9,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,Base
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,pashda breller brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev brev,13.166666666666666,14.8,138,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,Base
