speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,atist vand vand vjann blå blåt blåt blåt blåt blåt blåt blåt blåt blåt,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,4,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.6666666666666666,1.3
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,bøste bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle bøle,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,101,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,9.75925925925926,11.1
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,arte st bån pack bjerne bøddo rad braier blok dramst bødjen,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,1,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.47368421052631576,1.1
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,hvis du er enn i det,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,-4,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.8148148148148148,1.0
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist bar båk ja pro bra bra braier blok cromps priam,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,1,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.45614035087719296,1.0
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,pasta pril peru pror prater pris pinkier dør,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,-2,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5471698113207547,0.9
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist børt bjern blå blå blå braier rok prost prost prient,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5087719298245614,0.9
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,døsste dryler dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry dry,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,137,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,10.481481481481481,14.7
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,attist parn patch bion bra bra braje prok brømst brianth,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.16666666666666666, 0.25, 1.0, 0.6, 0.6666666666666666, 0.5, 0.6, 0.6, 0.3333333333333333, 0.5]",1.0
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,pasta brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille brille,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,138,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,18.48148148148148,14.8
