score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,0.17647058823529413,0.7,vel lagt roe,0.8245614035087719,1.0,-7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-tiny
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,0.26881720430107525,1.0,drem,0.9482758620689655,1.0,-9,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-tiny
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,0.3670886075949367,1.0,hilda hilda hilda blod blod bløte blod,0.7540983606557377,1.0,-3,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,0.4050632911392405,1.0,klapp klapp klapp klapp klikk klikk klikk,0.71875,1.0,-3,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,plystre kvern glorie klem bryter briller drue barn start løve,0.5072463768115942,1.0,prusttre kvern kvern kvern kvern dort,0.6229508196721312,0.9,-4,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,plystre blokk horn søle svømme svart glorie garn blomst blå,0.03896103896103896,0.3,plistelige dukk om sjele svømme svømt,0.6271186440677966,0.9,-4,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,bjørn artist søt terning løve horn glorie glad kikkert børste,0.25274725274725274,1.0,husdansalerstat,0.8852459016393442,1.0,-9,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,barn flette drue skjema smart vindu tralle munn glorie horn,0.3291139240506329,1.0,blå blå blå,0.8983050847457628,1.0,-7,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,0.4044943820224719,1.0,sønne sønne sønne sønne sønne sønne jane jane,0.6842105263157895,1.0,-2,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
2,kort korn klo klem kikkert blokk bart fortid fortau fort,0.504950495049505,1.0,godt gunn gudun grunn sikkert brøkk født født født,0.5892857142857143,1.0,-1,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-tiny
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,0.17647058823529413,0.7,flokk hjerne løfter løfte løfte løfte løfte løfte,0.603448275862069,0.9,-2,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-tiny
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,0.26881720430107525,1.0,barn barn adil dykk,0.7719298245614035,0.9,-6,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-tiny
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,0.3670886075949367,1.0,flaks flink søsko sønn smar,0.6896551724137931,1.0,-5,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-tiny
