score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,"ænn pritt vel, lagt rået hva er det var så da, men",,,"[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.42857142857142855, 0.5, 0.5, 0.3333333333333333, 0.6, 0.0]",3.0285714285714285,0.7,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",2,words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,0.7719298245614035,1.2
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,hva er det?,,,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.25, 0.0, 0.0]",0.75,0.3,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",-7,words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,0.8793103448275862,1.0
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,glåla tulla planna hilla plinele blønn bløtsel blaksa glåla glatt,,,"[0.6666666666666666, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5]",5.083333333333333,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,"[0.6666666666666666, 1.3333333333333333, 0.8333333333333334, 0.4, 0.8571428571428571, 0.75, 0.6666666666666666, 0.3333333333333333, 1.25, 0.8]",1.0
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,slik slapen shite klap slik løvna løvna løvna slik gjøddeva fester,,,"[0.5, 0.4, 0.6, 0.5, 0.5, 0.25, 0.6666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666]",4.816666666666666,1.0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",1,words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,0.65625,1.1
2,plystre kvern glorie klem bryter briller drue barn start løve,prister kværm kredo krem beetay beetlay dive barn dot løve,,,"[0.7142857142857143, 0.5, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.5, 0.5]",4.9642857142857135,1.0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",0,words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,"[0.5714285714285714, 0.4, 1.0, 0.25, 0.6666666666666666, 0.7142857142857143, 0.5, 0.0, 0.8, 0.0]",0.8
2,plystre blokk horn søle svømme svart glorie garn blomst blå,plistet dokki un shale svema svart nå kan du du,,,"[0.42857142857142855, 0.25, 0.3333333333333333, 0.5, 0.6, 0.5, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333]",4.6119047619047615,1.0,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,"[0.42857142857142855, 0.6, 0.75, 0.5, 0.5, 0.0, 1.0, 0.5, 1.0, 1.0]",0.9
2,bjørn artist søt terning løve horn glorie glad kikkert børste,pistosalarsen er til er det du som ser det?,,,"[0.5, 0.6, 0.3333333333333333, 0.6, 0.5, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6, 0.4]",4.866666666666666,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",-1,words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,0.7540983606557377,1.0
2,barn flette drue skjema smart vindu tralle munn glorie horn,ogdettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedette,,,"[0.3333333333333333, 0.6, 0.5, 0.0, 0.25, 0.6, 0.6, 0.3333333333333333, 0.5, 0.3333333333333333]",4.05,0.9,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",-9,words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,1.5254237288135593,1.0
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,"likkor det gitt dekken søle sømme er du? altil, at jeg er styr gjønne ut utis",,,"[0.25, 0.0, 0.4, 0.5, 0.4, 0.0, 0.4, 0.5, 0.0, 0.5]",2.95,0.7,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",6,words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,0.7894736842105263,1.5
2,kort korn klo klem kikkert blokk bart fortid fortau fort,godt goden godet grøm skjæt brøk bat føttet føttet futt,,,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.6, 0.5, 0.3333333333333333, 0.4, 0.25, 0.3333333333333333]",3.666666666666667,1.0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",0,words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,"[0.5, 0.75, 1.6666666666666667, 0.75, 0.7142857142857143, 0.6, 0.25, 0.6666666666666666, 0.6666666666666666, 0.5]",1.0
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,"flok, liana, glam, glava, glom, lettele, flotte, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjertet, hjert",,,"[0.75, 0.75, 0.75, 0.8, 0.3333333333333333, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.6666666666666666]",7.05,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",103,words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,16.603448275862068,11.3
