score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
[5 5 3 4 5 3 5 3 2 5],bjørn stupe skip blomst blokk flaske frø flakse prins smart,flette grør smerte trykk snø stjerne galurie kart,,,"[1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.8333333333333334, 1.0, 0.8333333333333334, 0.6, 1.0]",8.933333333333334,1.0,"['d19', 'a17', 'a20', 'd17', 'a29', 'a23', 'a11', 'a18', 'a33']","['a18', 'a23', 'a33', 'a20', 'd19', 'a17', 'a29', 'a20', 'a11', 'd17']",-2,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7288135593220338,1.0
[4 4 4 4 4 5 5 4 5 3],kart glorie trylle flaske myr by hund skjerm bleie torne,flaster skilpadde sky lystre jops jeg liker koreaneren,,,"[1.0, 1.0, 0.8, 1.0, 0.6666666666666666, 1.0, 1.0, 0.75, 1.0, 0.25]",8.466666666666667,1.0,"['d12', 'a26', 'd04', 'a14', 'a16', 'd11', 'd13', 'a18', 'a33', 'd08']","['d08', 'a18', 'd11', 'd13', 'a14', 'd04', 'a16', 'd12', 'a33', 'a26']",-2,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,0.75,1.0
[5 5 5 3 4 3 5 3 4 2],sju flaske drops sju flue fugl snø kran bror klappe,fredde viker klør bjørn kart erter krone gris blad,,,"[1.0, 1.0, 1.0, 0.5, 0.75, 0.6666666666666666, 1.0, 0.75, 0.75, 0.6]",8.016666666666666,1.0,"['d05', 'd06', 'a10', 'd14', 'a12', 'a08', 'a05', 'a19', 'd08']","['d05', 'd08', 'a19', 'a05', 'd14', 'a10', 'd06', 'a12', 'a08', 'a05']",-1,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7843137254901961,1.0
[5 4 4 4 4 2 2 4 5 5],planke glør buss trapp nøkkel drue glad kjerne sylte skjære,for tid syn lystre bygge ugle lyske,,,"[1.0, 1.0, 0.6666666666666666, 0.75, 1.0, 0.25, 0.0, 0.75, 1.0, 1.0]",7.416666666666666,0.9,"['a17', 'a09', 'a31', 'd01', 'a25', 'a19', 'a33', 'a06', 'a27']","['a33', 'a09', 'a25', 'a19', 'a31', 'a06', 'a27', 'a31', 'a17', 'd01']",-3,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7288135593220338,1.0
[3 3 4 5 4 3 3 3 5 4],garn klar glass sjø sykkel sky kjerne nøkkel lytte grønn,"fingu, grave, dropp, starr, glorie, skikkelig, bi, breie",,,"[0.6666666666666666, 0.5, 0.75, 1.0, 1.0, 0.5, 0.75, 0.6, 1.0, 0.75]",7.516666666666667,1.0,"['a34', 'a11', 'a25', 'd13', 'a28', 'a15', 'd08', 'a27']","['d08', 'a15', 'a11', 'a25', 'd08', 'd13', 'a34', 'a28', 'd08', 'a27']",-2,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8035714285714286,1.0
[5 5 4 3 3 5 4 3 4 2],ødelagt skip smerte barn hund smykke snørr støvel snørr glorie,sy du? gul priste drops fort hurra frukt gris,,,"[0.8571428571428571, 1.0, 0.8, 0.6666666666666666, 0.3333333333333333, 1.0, 0.75, 0.6666666666666666, 1.0, 0.5]",7.573809523809524,1.0,"['a04', 'a31', 'd15', 'a21', 'a07', 'a12', 'a19']","['a04', 'd15', 'a31', 'a07', 'a12', 'a19', 'd15', 'a04', 'a21', 'a07']",-1,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7580645161290323,1.0
[3 3 2 1 4 3 3 5 4 4],erter tralle flakse rund myk turn bleie sport skive ku,grå pute skøyter hitte stær fort tårn,,,"[0.5, 0.8, 0.6666666666666666, 0.0, 1.0, 0.6666666666666666, 0.75, 1.0, 1.0, 0.5]",6.883333333333333,0.9,"['d19', 'a17', 'a02', 'a31', 'a25', 'a07', 'd11', 'a28', 'd08']","['a28', 'a31', 'a07', 'a25', 'a17', 'd11', 'd08', 'd19', 'a07', 'a02']",-3,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7407407407407407,1.0
[4 4 2 2 5 5 4 2 4 4],plystre gris karneval krakk kikkert buss bra skjema smart ni,fiar bra obelet sjiraff sjø skilpadde enhjørning sjø,,,"[0.8571428571428571, 0.75, 0.42857142857142855, 0.5, 1.0, 1.0, 0.6666666666666666, 0.25, 0.75, 0.5]",6.7023809523809526,1.0,"['d05', 'a20', 'a14', 'a32', 'a11', 'a07', 'd13', 'a18', 'a26']","['a18', 'a14', 'a11', 'a07', 'd05', 'd13', 'a32', 'a07', 'a20', 'a26']",-2,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8166666666666667,1.0
[3 5 3 4 5 4 5 3 3 4],lue syk sju internett skip sulte karneval pute trille fort,stupe synge stupe tralle gjerne linn kjapp føtt ødelagt plaster,,,"[0.6666666666666666, 1.0, 0.5, 0.8571428571428571, 1.0, 1.0, 1.0, 0.75, 0.8, 0.6666666666666666]",8.24047619047619,1.0,"['d19', 'a30', 'a09', 'd04', 'a14', 'd11', 'a26', 'd08', 'a27']","['a09', 'd19', 'd08', 'a30', 'd04', 'a26', 'd11', 'a09', 'a27', 'a14']",0,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 1.0, 1.0, 0.7777777777777778, 1.5, 1.0, 0.875, 0.75, 1.0, 1.5]",1.0
[3 1 3 5 5 4 4 3 2 3],lun hjort fly skulder hund hytte flue skjerf søt kurv,smykke buss klo lydde kjøtter lys kjørt trille koffert,,,"[0.6666666666666666, 0.0, 0.3333333333333333, 1.0, 1.0, 0.75, 0.75, 0.75, 0.3333333333333333, 0.5]",6.083333333333333,0.9,"['d09', 'a20', 'a31', 'a29', 'a23', 'a22', 'd13', 'd18', 'a13', 'd03']","['a23', 'a13', 'a22', 'a20', 'a31', 'd03', 'a29', 'd18', 'd09', 'd13']",-1,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8113207547169812,1.0
