score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[5 3 4 3 4 4 5 4 5 4],kropp tralle brød trille skjorte sju sju korn ødelagt mur,0.3924050632911392,1.0,slikk flette grør smerte trikk snø serne,0.7192982456140351,1.0,-3,"['d02', 'a17', 'a04', 'a20', 'a09', 'a32', 'a10', 'd15', 'a16', 'd09']","['d15', 'a32', 'd09', 'a20', 'a10', 'a09', 'a04', 'a16', 'd02', 'a17']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[5 5 3 2 3 3 5 3 3 5],rund kart mus ørn rund garn gutt snørr horn svart,0.4307692307692308,1.0,flaster skilpadde sky lystere luks rike korean,0.8367346938775511,1.0,-3,"['d19', 'd17', 'd15', 'a07', 'd11', 'a28', 'd18', 'a33', 'a27']","['d17', 'd18', 'd11', 'a07', 'a28', 'a28', 'a33', 'd19', 'a27', 'd15']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[4 5 3 5 3 5 5 5 3 5],snørr buss turn buss jern flue jus klo plystre kropp,0.417910447761194,1.0,fredde kart etter kroner gris gris gris blad,0.8076923076923077,1.0,-2,"['d19', 'd05', 'd12', 'a20', 'a03', 'a32', 'a34', 'a07', 'a01', 'a19']","['a20', 'a01', 'd19', 'a34', 'a32', 'd12', 'a07', 'd05', 'a03', 'a19']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[5 5 3 2 5 4 3 3 5 3],brun ku terning port lun sur flaske skjørt koffert snørr,0.3924050632911392,1.0,for tid tid tid liste tjue bygger hugre fylkesfylke fylke fylkes fjem korn kom korn,1.0535714285714286,1.5,5,"['a09', 'a21', 'a22', 'd13', 'a18', 'a28', 'a05', 'a19', 'a33']","['a09', 'd13', 'a05', 'a21', 'a22', 'a33', 'a28', 'a21', 'a19', 'a18']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[1 5 3 3 5 4 5 4 3 4],gartner munn skjørt sjakk lue sport troll dør ugle lys,0.4157303370786517,1.0,smykke finner du grave gravegrops står gårde skikkelig skikkelig bi,0.9814814814814815,1.0,0,"['a31', 'a16', 'd15', 'a11', 'a07', 'd11', 'a25', 'a27']","['a07', 'a16', 'a27', 'a07', 'a31', 'a11', 'd11', 'd15', 'a25', 'd11']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[2 2 4 3 4 3 5 4 5 2],svømme gutt skjorte hjerne smart sport krabbe kurv troll smerte,0.40229885057471265,1.0,sydu gul pilte dropsj fort du ru blo bro tru frukt frukt frukt frukt gris gris,0.9047619047619048,1.6,6,"['d02', 'a09', 'a14', 'd10', 'a31', 'a29', 'a28', 'a08', 'd03']","['d10', 'a31', 'a09', 'a08', 'a28', 'a29', 'd03', 'a14', 'd02', 'a08']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[5 4 2 5 4 3 4 3 3 4],øre nøkkel plante bryter fjorten knar gartner stupe skjørt bra,0.42168674698795183,1.0,grå tøtet pitte,0.8387096774193549,1.0,-7,"['d10', 'd17', 'a22', 'a25', 'a01', 'a26', 'a19', 'a33', 'a06']","['a33', 'a01', 'a06', 'd17', 'a26', 'a25', 'd10', 'a06', 'a22', 'a19']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[3 3 5 3 4 4 3 5 4 5],bror kikkert skjema flakse blyant fjær fortau tre glass hjort,0.4810126582278481,1.0,fire slippere kun li linn linn linn linn enhjørning,0.7868852459016393,1.0,-1,"['a20', 'd16', 'a32', 'd01', 'a10', 'a21', 'd15', 'a19', 'd08']","['a19', 'a10', 'd01', 'a21', 'd08', 'a32', 'a20', 'a32', 'd15', 'd16']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[4 3 3 3 3 3 4 4 3 4],koffert skulder mus stupe pluss synge klær drikke klone kikkert,0.38666666666666666,1.0,stupe signe stupe trolle gjerne,0.746031746031746,0.9,-5,"['d19', 'a14', 'a34', 'a23', 'a07', 'a25', 'a12', 'a26', 'a19', 'a27']","['a34', 'a19', 'a25', 'a07', 'a23', 'a12', 'a26', 'a27', 'a14', 'd19']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
[3 4 3 5 3 2 5 3 5 4],gris skjema blokk stupe dyne trapp skive krakk bro sport,0.29577464788732394,0.8,smikke lukkes lukkes lukkes skjørt skjørt skjørt trill trill trill trill trill trill trill trill trill til koffert koffert,1.75,1.9,9,"['d16', 'd04', 'a10', 'a22', 'a07', 'd18', 'a08', 'a06']","['a22', 'a10', 'a08', 'a08', 'd16', 'a07', 'd04', 'a06', 'a06', 'd18']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-tiny-verbatim
