,Input length,Translated length,Word Match,Unique input words,Unique translated words,Input words,Translated words,ID
0,10,19,,['hylle'],['hilla'],"['hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle'
 'hylle']","['hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla', 'hilla']",
1,10,15,,['hylle'],['hülla'],"['hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle'
 'hylle']","['hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla', 'hülla']",
2,10,16,,['artist'],['artist'],"['artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist'
 'artist' 'artist']","['artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist']",
3,10,444,,['artist' 'kart'],"['artist', 'art']","['artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist'
 'artist' 'kart']","['artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'artist', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art', 'art']",
4,10,21,,['kart'],['cut'],['kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart'],"['cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut']",
5,10,11,,['kart' 'syr'],"['cut', 'cire']",['kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'syr' 'syr'],"['cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cut', 'cire', 'cire']",
6,10,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['syr' 'jern'],"['sir', 'jan']",['syr' 'syr' 'syr' 'syr' 'syr' 'syr' 'jern' 'jern' 'jern' 'jern'],"['sir', 'sir', 'sir', 'sir', 'sir', 'sir', 'jan', 'jan', 'jan', 'jan']",
7,10,11,,['jern'],['jan'],['jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern'],"['jan', 'jan', 'jan', 'jan', 'jan', 'jan', 'jan', 'jan', 'jan', 'jan', 'jan']",
8,10,10,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",['jern' 'lytte'],"['jan', 'lytte']","['jern' 'jern' 'jern' 'jern' 'lytte' 'lytte' 'lytte' 'lytte' 'lytte'
 'lytte']","['jan', 'jan', 'jan', 'jan', 'lytte', 'lytte', 'lytte', 'lytte', 'lytte', 'lytte']",
9,10,9,,['lytte' 'barn'],"['litte', 'barn']","['lytte' 'lytte' 'lytte' 'lytte' 'lytte' 'lytte' 'lytte' 'barn' 'barn'
 'barn']","['litte', 'litte', 'litte', 'litte', 'litte', 'litte', 'barn', 'barn', 'barn']",
