score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,støvel trylle gul vindu tralle skive skøyter kvern kvart frakk,0.11494252873563218,0.6,slutt,0.9193548387096774,1.0,-9,"['a09', 'a03', 'a07', 'a01', 'a13', 'd08', 'a06']","['d08', 'a07', 'a09', 'a13', 'a03', 'a06', 'a07', 'a03', 'a01', 'a07']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-tiny
1,terning glitter rund sju gartner glør søle terning løve sjakk,0.2247191011235955,0.9,karne,0.9344262295081968,1.0,-9,"['d19', 'a11', 'a25', 'a07', 'a12', 'a13']","['a07', 'a13', 'a25', 'a25', 'a07', 'a11', 'a12', 'a11', 'a12', 'd19']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-tiny
2,kvern blokk ekorn brun premie drue kropp drops fugl kikkert,0.3373493975903614,1.0,snart hydella,0.8983050847457628,1.0,-8,"['a31', 'a11', 'a01', 'a19', 'a33', 'a06', 'a15']","['a33', 'a31', 'a19', 'a01', 'a01', 'a06', 'a11', 'a15', 'a15', 'a01']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,flue glass syk løve blomst sjakk vindu bygge gul skulder,0.449438202247191,1.0,skål skål skål skål skål skål,0.7321428571428571,1.0,-4,"['a09', 'a03', 'a32', 'a10', 'a21', 'a25', 'a26', 'a28', 'a13']","['a26', 'a10', 'a03', 'a13', 'a25', 'a32', 'a09', 'a28', 'a13', 'a21']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,fly prins artist garn huske klo trapp krabbe plante kikkert,0.5074626865671642,1.0,loom,0.9661016949152542,1.0,-9,"['a10', 'a23', 'a11', 'a07', 'a12', 'a28', 'a13']","['a12', 'a07', 'a13', 'a07', 'a07', 'a23', 'a11', 'a10', 'a28', 'a28']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,horn kikkert søppel bro kvern drikke fly klo skip bart,0.05333333333333334,0.3,svømme svømme svømme svømme svømme,0.8148148148148148,1.0,-5,"['a09', 'a32', 'a07', 'a13', 'a08', 'a06', 'a27']","['a07', 'a07', 'a27', 'a07', 'a09', 'a07', 'a08', 'a32', 'a06', 'a13']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,bror plante lærer sølv drikke ugle planke fortau garn kjerne,0.25842696629213485,1.0,potter,0.9166666666666666,1.0,-9,"['d19', 'a14', 'a34', 'a07', 'a12', 'a26', 'a28', 'a08', 'a06']","['a07', 'a08', 'a26', 'a07', 'a28', 'a14', 'a34', 'a12', 'a06', 'd19']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,plystre glis skitten briller skøyter grå glitter sport blomst tjern,0.3473684210526316,1.0,der flott skoter skoter norge frøk,0.7164179104477612,1.0,-4,"['d19', 'a34', 'a10', 'd14', 'a07', 'a12', 'a26', 'a13']","['a12', 'a34', 'a07', 'd14', 'd19', 'a13', 'a10', 'a10', 'a12', 'a26']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,brød rød sykkel blad horn myk port frukt kurv kvart,0.4266666666666667,1.0,søtte søtte søtte brød ja og bare ste,0.7843137254901961,1.0,-2,"['d02', 'a02', 'd06', 'a11', 'a01', 'a28', 'a05', 'a13', 'a27']","['a01', 'd02', 'a11', 'a05', 'd06', 'a27', 'a28', 'a13', 'a02', 'a13']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
2,briller drops kvern glorie artist plante klappe glad glitter tårn,0.5056179775280899,1.0,hva unker du høygod vondt fjørn prustere to smil blukt bruk,0.7846153846153846,1.1,1,"['a04', 'd01', 'a16', 'a21', 'a11', 'a07', 'a27']","['a21', 'a21', 'a07', 'a16', 'd01', 'a07', 'a27', 'a04', 'a16', 'a11']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-tiny
