speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn baj baj bj bj bjarn bjarn bla,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,-1,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.49122807017543857,0.8
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,bøste bøhler bøhler bøhler bøhler bøhler bæh,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,-3,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5555555555555556,1.0
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn barn bjørn bjørn bjørn bjørn bjørn bjørn klar veie blomst bramst bramst bjørn bjørn bjørnst bramst bjørn bjørnst bjørnst bjørn,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,11,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.6140350877192982,1.8
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,børste brillebjørn brussel bøsj børn børnbinder bøsj børs børnb,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,-1,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5370370370370371,0.9
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,body bong,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,-8,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.8947368421052632,1.0
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,brille brille brur brur brur brur brur brur brur brur brusj bling bi binkie binkie binkie dør dør,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,8,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,1.1320754716981132,1.7
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn barn barn bjørn bjørn blå blår bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk brianj,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,27,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,2.6666666666666665,3.4
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,børste briller bro bro brus bred bror bror bror bror bror bror b be bed,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,5,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5555555555555556,1.1
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist butch theod broom broa,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,-5,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.6666666666666666,0.9
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,vær så god,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,-7,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.9074074074074074,1.0
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,vel vel blå nei takk nå,,,"[0.8, 0.3333333333333333, 1.0, 0.25, 0.6666666666666666, 0.5, 1.0, 0.75, 0.6666666666666666, 0.8333333333333334]",6.8,1.0,-4,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.7719298245614035,0.9
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,bra bror du bro bro bro bro bro brob brob brob b,,,"[1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.25, 0.5, 0.6666666666666666, 1.0, 1.0, 0.75]",7.5,1.0,2,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5185185185185185,1.1
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,blåbær blåbær j blåbær j blåbær j blåbær blåbær blåbær blåbær blåbær blåbær blåbær blåbær blåbær j,,,"[0.6, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 0.75, 0.3333333333333333, 0.5]",4.85,1.0,7,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.2105263157894737,1.7
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,bestig bjellet blodd blo bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn,,,"[0.4, 0.5, 0.3333333333333333, 0.0, 0.25, 0.25, 0.5, 1.0, 0.5, 0.25]",3.9833333333333334,0.9,18,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,2.5,2.8
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,bunn bjørn bjørn brann breinn brork brokk brong brong brong brong brong brumn brumn brong brong brong,,,"[1.0, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.25, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666]",6.416666666666666,1.0,7,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.280701754385965,1.7
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,verst briljer bror bror bror bror bror bror bror bror bror bror s buss by by by by,,,"[0.8, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0]",9.216666666666667,1.0,8,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.7962962962962963,1.5
a09,[3 3 5 2 2 3 3 5 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,aggress barn barj barn barn barn barn barn troll troll brand barns bransj bror bror bror briant briant briant briant briant briant,,,"[0.8, 0.6666666666666666, 1.0, 0.5, 0.3333333333333333, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.05,1.0,12,a09_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.631578947368421,2.1
a09,[4 2 4 4 2 5 3 5 3 2],børste briller bro brød bror brun bryter buss by bygge,børste briljard bror bror bror bror bror bror bror bror bror bi bi bi,,,"[1.0, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0, 0.8333333333333334, 1.0, 0.5, 0.5]",7.5,1.0,4,a09_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5925925925925926,1.2
a10,[5 5 4 3 2 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn bars gun bjørn bard brad røde flokk bronsen bronsen bronsen bronsen bronsen bront bruant bronsen bront briant,,,"[1.0, 1.0, 0.6666666666666666, 0.75, 0.3333333333333333, 0.75, 0.25, 0.75, 0.8333333333333334, 0.5]",6.833333333333333,1.0,9,a10_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.3508771929824561,1.6
a10,[3 3 5 3 4 4 4 5 5 5],børste briller bro brød bror brun bryter buss by bygge,børste oppsliller bro bro bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror usj usj,,,"[0.8, 0.8333333333333334, 1.0, 0.6666666666666666, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0]",9.05,1.0,18,a10_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,1.962962962962963,2.5
a11,[2 3 3 4 3 2 3 4 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå,,,"[0.6, 0.6666666666666666, 0.3333333333333333, 0.75, 0.6666666666666666, 0.25, 0.5, 1.0, 0.6666666666666666, 0.6666666666666666]",6.1,1.0,39,a11_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,2.982456140350877,4.8
a11,[3 1 4 4 1 2 2 3 3 3],børste briller bro brød bror brun bryter buss by bygge,berre erin derre erin aruli trond aruli trond trond bergie,,,"[0.8, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.5, 0.6666666666666666, 0.3333333333333333, 0.5, 0.75]",4.883333333333333,0.8,0,a11_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.5, 0.7142857142857143, 1.3333333333333333, 0.75, 1.0, 0.75, 0.8333333333333334, 1.25, 2.5, 0.6]",1.0
a12,[2 2 3 2 1 1 2 2 3 1],artist barn bart bjørn blå blad bleie blomst blyant børste,bransje bjørn bjørn proud braije bransje bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn bjørn,,,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.25, 0.0, 0.0, 0.25, 0.6666666666666666, 0.8333333333333334, 0.0]",3.2666666666666666,0.7,17,a12_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,2.310344827586207,2.6
a12,[2 3 3 1 3 4 2 5 3 4],briller bro brød bror brun bryter bygge dør drikke drops,driller trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trå trås,,,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.75, 1.0, 0.25, 1.0, 0.6, 1.0]",6.6,0.9,31,a12_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,2.517857142857143,4.1
a13,[2 2 3 3 4 3 4 4 4 4],artist bart bjørn blå blad bleie blokk blomst blyant børste,blåhkulis blåhkulis blåhkulis bli blåh,,,"[0.6, 0.3333333333333333, 0.5, 1.0, 0.5, 0.75, 0.75, 1.0, 0.8333333333333334, 1.0]",7.266666666666667,1.0,-5,a13_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.6949152542372882,1.0
a13,[2 3 3 3 3 2 5 3 3 3],briller bro brød bror brun bryter buss by bygge dør,blund tittel busbuss bie budten bodde,,,"[0.5, 0.6666666666666666, 0.6666666666666666, 0.5, 0.75, 0.5, 1.0, 0.5, 0.5, 0.3333333333333333]",5.916666666666666,1.0,-4,a13_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.7058823529411765,1.0
a14,[3 5 3 5 3 5 5 5 3 5],artist bær bar barn bart bjørn blå blad bleie blod,ærlig sterbær bær barn skip bær blå blå blå breie blå breie blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå bl blå bl blå bl blå bl blå bl bl blå bl bl blå bl blå bl bl blå bl bl bl blå bl bl bl bl bl bl blå bl bl bl bl blå bl bl bl bl bl bl bl bl blå bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl bl,,,"[0.8, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0, 1.0, 0.75, 0.75, 1.0]",8.3,1.0,200,a14_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,13.94,20.8
a14,[5 4 4 5 5 3 3 5 5 2],blokk blomst blyant børste bra brå briller bro brød bror,blokk blomst blomst børste børste bra byrå rygge rgle bro bro bro bro bro bro,,,"[1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 0.6666666666666666, 0.8333333333333334, 1.0, 1.0, 0.5]",8.833333333333334,1.0,5,a14_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.5357142857142857,1.0
a15,[4 3 3 5 4 3 3 4 3 4],artist bær bar barn bart bjørn blå blad bleie blod,artist bell bll barn barn bla bla bla blenge blod blå blå blenge blå blå blå blå blå blå blå blå blå blå blå blå blå blå blå,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 1.0, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.6666666666666666]",6.55,1.0,18,a15_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,1.74,2.5
a15,[3 3 3 4 3 2 2 3 3 2],blokk blomst blyant børste bra brå briller bro brød bror,blakk bloms blyant børste blad bladet blyndler blod blod bly,,,"[0.75, 0.6666666666666666, 0.8333333333333334, 1.0, 0.6666666666666666, 0.0, 0.5, 0.3333333333333333, 0.6666666666666666, 0.25]",5.666666666666667,0.9,0,a15_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.2, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 1.6666666666666667, 0.5714285714285714, 0.6666666666666666, 0.5, 0.75]",0.8
a16,[5 5 5 5 4 5 3 3 3 4],artist bær bar barn bart bjørn blå blad bleie blod,artist berr bar barn bart bjørn bjørn bro bra bra breie breie,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.5, 0.75, 0.6666666666666666]",8.583333333333332,1.0,2,a16_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.4,0.7
a16,[3 5 5 4 5 3 5 5 5 5],blokk blomst blyant børste bra briller bro brød bror brun,brch blomst blomst børste bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror,,,"[0.75, 1.0, 1.0, 0.8, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0]",9.216666666666667,1.0,24,a16_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,2.3684210526315788,3.1
a17,[5 5 5 5 5 3 4 3 4 4],artist bær bar barn bart bjørn blå blad bleie blod,hardtist bjørn bar bar barn bjørn bjørn bjørn brubb bra ble breie blod,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 0.6666666666666666]",8.666666666666666,1.0,3,a17_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.56,0.9
a17,[3 3 4 4 5 5 3 4 3 4],blokk blomst blyant børste bra brå briller bro brød bror,broch blomst lingent børste bråbrå bråbriller bro bro bror bror bror bror bror bror bror bror bror,,,"[0.75, 0.8333333333333334, 0.8333333333333334, 0.8, 1.0, 1.0, 0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.75]",8.133333333333333,1.0,7,a17_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.9642857142857143,1.3
a18,[3 4 4 4 4 5 5 4 4 5],artist bær bar barn bart bjørn blå blad bleie blod,artist berbar berg berg berg berg berg blodd blodd blodd blodd tveie blod,,,"[0.8, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.5, 0.75, 1.0]",8.05,1.0,3,a18_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.68,1.1
a18,[5 5 4 5 4 4 5 4 5 4],blokk blomst blyant bra brå briller bro brød bror brun,blad blomst liant bra treller tror trøye bror bror bror bror bror bror bror bror,,,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0]",9.333333333333332,1.0,5,a18_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.7777777777777778,1.2
a19,[5 5 5 5 5 4 3 3 3 2],artist bær bar barn bart bjørn blå blad bleie blod,artist bær bar bær barn barn barn bjørn bjørn bjørn bjørn bjørn,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.6666666666666666, 0.5, 0.5, 0.3333333333333333]",7.749999999999999,1.0,2,a19_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.52,0.7
a19,[3 3 3 4 4 2 5 3 5 3],blokk blomst blyant børste bra brå briller bro brød bror,bror bloms bryrja brorster bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror bror,,,"[0.75, 0.8333333333333334, 0.8333333333333334, 0.8, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0, 0.75]",7.966666666666667,1.0,10,a19_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,1.2321428571428572,1.9
a20,[4 5 4 3 5 5 3 3 3 3],artist bær bar barn bart bjørn blå blad bleie blod,ærlig stebær bær bær bær bær bær bær bær bær bra bra bra bra bra bra,,,"[0.8, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 0.5, 0.75, 0.3333333333333333]",7.716666666666666,1.0,6,a20_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.82,1.5
a20,[2 4 2 4 4 4 3 4 3 3],blokk blomst blyant børste bra brå briller bro brød bror,bransje bransje bransje bræsje i bra brors dra,,,"[0.5, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.5]",7.166666666666667,1.0,-2,a20_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.625,1.0
a21,[3 5 3 4 3 5 3 3 3 3],artist bær bar barn bjørn blå blad bleie blod blokk,artist berr bern bern bern bern belou,,,"[0.8, 1.0, 0.3333333333333333, 0.6666666666666666, 0.5, 1.0, 0.75, 0.75, 0.6666666666666666, 0.5]",6.966666666666667,1.0,-3,a21_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.47058823529411764,0.9
