score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,terning rund horn trylle skilpadde premie munn løve vindu gartner,forelska,,,"[0.2, 0.0, 0.0, 0.0, 0.14285714285714285, 0.5, 0.0, 0.25, 0.0, 0.16666666666666666]",1.2595238095238095,0.5,"['a11', 'a25', 'a07', 'a05', 'a13', 'a08']","['a13', 'a25', 'a05', 'a11', 'a11', 'a08', 'a13', 'a07', 'a13', 'a11']",-9,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,0.9076923076923077,1.0
1,krakk blå sjø sølv sju skitten svart glorie trylle plante,den der gods,,,"[0.5, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666, 0.2, 0.3333333333333333]",2.2,0.6,"['d09', 'a11', 'a25', 'd11', 'a12', 'd13', 'a13', 'd08']","['d13', 'd11', 'd08', 'a12', 'a25', 'a12', 'd09', 'a11', 'a13', 'a12']",-7,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,0.8771929824561403,1.0
2,smerte blad flagg prins artist bygge flue sølv skjerm skip,frank hidela,,,"[0.6, 0.25, 0.5, 0.6, 0.4, 0.25, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333]",4.266666666666667,1.0,"['a09', 'd01', 'a29', 'a11', 'a19', 'a12', 'a01', 'a28', 'a08']","['a12', 'a08', 'a09', 'a11', 'd01', 'a28', 'a19', 'a11', 'a29', 'a01']",-8,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,0.8793103448275862,1.0
2,bryter smerte flaske glitter erter torne glitter flagg jus kikkert,puttu,,,"[0.5, 0.4, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.6]",5.166666666666666,1.0,"['a32', 'a16', 'a11', 'a07', 'a25', 'a12', 'a26', 'a33', 'a06']","['a33', 'a07', 'a12', 'a32', 'a11', 'a25', 'a16', 'a12', 'a06', 'a26']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,0.9545454545454546,1.0
2,tynn øre glitter port kropp plystre glad horn bryter fortid,fri dindu skjelm skjalm krabbe,,,"[0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.25, 0.7142857142857143, 0.0, 0.3333333333333333, 0.5, 0.4]",3.8642857142857143,0.9,"['a17', 'a03', 'd10', 'a34', 'a21', 'a11', 'a01', 'a13']","['a03', 'a01', 'a17', 'a34', 'a11', 'a11', 'a21', 'd10', 'a13', 'a01']",-5,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7966101694915254,1.0
2,tårn drops grave flagg skjorte frukt krakk bryter briller bryter,svømme brenne,,,"[0.0, 0.6, 0.4, 0.25, 0.5, 0.6, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",4.8500000000000005,0.9,"['d19', 'a17', 'a34', 'd14', 'a07', 'a13', 'a08', 'a06', 'a27']","['a34', 'a13', 'a07', 'a27', 'a17', 'a08', 'a13', 'd19', 'd14', 'a06']",-8,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,0.875,1.0
2,karneval rund trapp søt brun glitter glis krabbe fortau horn,kropp den plante,,,"[0.5714285714285714, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.6, 0.25, 0.3333333333333333]",4.588095238095238,1.0,"['a30', 'a04', 'a03', 'a31', 'a29', 'a07', 'a12', 'a18', 'a05', 'a27']","['a12', 'a04', 'a30', 'a31', 'a29', 'a05', 'a18', 'a03', 'a27', 'a07']",-7,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,0.8333333333333334,1.0
2,skøyter synge klo glorie skitten glorie smerte smør hjort turn,,,,"[0.6, 0.5, 0.3333333333333333, 0.6666666666666666, 0.5, 0.3333333333333333, 0.4, 0.5, 0.3333333333333333, 0.3333333333333333]",4.5,1.0,"['d19', 'a14', 'a34', 'a10', 'd14', 'a21', 'a11']","['d19', 'a21', 'a34', 'd19', 'a10', 'd14', 'a14', 'a11', 'a11', 'a11']",-9,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,1.0,1.0
2,søle enhjørning plaster skitten fjorten glør sur glad øre kvern,søt smør søt sjalolje brød,,,"[0.5, 0.2857142857142857, 0.5714285714285714, 0.5, 0.4, 0.25, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5]",3.673809523809524,0.9,"['a30', 'a21', 'a11', 'a07', 'a25', 'a01', 'a05', 'a13', 'a33']","['a11', 'a21', 'a01', 'a07', 'a05', 'a13', 'a25', 'a30', 'a11', 'a33']",-5,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7777777777777778,1.0
2,søppel artist ødelagt sju flue skip grave plystre skilpadde ugle,unker det?,,,"[0.4, 0.6, 0.7142857142857143, 0.0, 0.5, 0.3333333333333333, 0.6, 0.42857142857142855, 0.42857142857142855, 0.5]",4.504761904761905,0.9,"['a17', 'a31', 'a29', 'a21', 'a12', 'a01', 'a26', 'a28', 'a06']","['a31', 'a12', 'a17', 'a12', 'a21', 'a06', 'a29', 'a26', 'a01', 'a28']",-8,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,0.890625,1.0
