score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[3 4 4 4 5 4 3 5 2 3],trikk koffert glass jern troll bart kran tynn glitter trikk,0.3924050632911392,1.0,fuch tellik fleta groer smarte tellik snø sjernal groeria gatch,0.864406779661017,1.0,0,"['d19', 'd10', 'a10', 'a16', 'a22', 'a25', 'a13', 'a15', 'a33', 'a27']","['a15', 'a13', 'a25', 'a27', 'a33', 'a10', 'd19', 'd10', 'a16', 'a22']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[4 3 5 3 3 4 4 4 3 3],krakk syr hjerne planke brun grønn ekorn frukt kurv glorie,0.4307692307692308,1.0,frustig silpade silpade silp blistre likke klaen gitt stajten pjørn,0.9137931034482759,1.0,0,"['a30', 'd02', 'd12', 'a20', 'a02', 'd14', 'a11', 'a19', 'a33']","['d12', 'a30', 'a20', 'a19', 'a33', 'a11', 'a02', 'd14', 'd02', 'a19']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[5 3 3 4 2 5 3 3 4 3],synge turn søt hus briller fort kvart bror dør mus,0.417910447761194,1.0,fret det det er ikke det er ikke lør lør lør lør lør lør kort efter grunne gris blatt,1.26,1.9,9,"['d19', 'a03', 'a14', 'd15', 'a07', 'a12', 'a26', 'a05', 'a19', 'a27']","['d19', 'a14', 'a12', 'a27', 'a07', 'a05', 'a19', 'a26', 'd15', 'a03']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[3 5 4 5 3 5 2 3 4 3],løpe ni glorie bygge grå rund blokk sky flakse brød,0.3924050632911392,1.0,fortit tid blistre du er beker du gre hviske fjinn hva hjellet,0.9411764705882353,1.2,2,"['d19', 'a30', 'a02', 'd16', 'd07', 'a34', 'a28', 'a19', 'a33', 'a27']","['a30', 'a28', 'a02', 'd19', 'a34', 'd16', 'a27', 'a19', 'd07', 'a33']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[2 5 3 5 3 4 3 4 3 3],blokk frø blå svære glad hytte smart skulder sport ski,0.4157303370786517,1.0,smikker fyn du kravet i drop star gure shikket b braier,0.7777777777777778,1.1,1,"['a09', 'a03', 'a31', 'a34', 'a16', 'a23', 'a22', 'a18', 'a08', 'd09']","['a31', 'd09', 'a23', 'a16', 'a03', 'a22', 'a09', 'a08', 'a34', 'a18']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[3 5 3 3 4 3 3 4 2 3],frø løpe skip skøyter lue ekorn hund jern stjerne krone,0.40229885057471265,1.0,sider kjur piste drops fortsch rø brøn frikt gris,0.8,1.0,-1,"['d02', 'a17', 'a04', 'd06', 'a21', 'a23', 'a19', 'a05', 'a08', 'a06']","['a06', 'd06', 'a04', 'a17', 'a08', 'a23', 'a05', 'd02', 'a21', 'a19']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[4 5 4 5 5 4 3 2 4 5],øre sju fort klappe lytte bygge planke grå rød klem,0.42168674698795183,1.0,kyrl klemme nye grå pryta sjætter pryta star port ton,0.8823529411764706,1.0,0,"['a34', 'a10', 'a21', 'a23', 'd11', 'a18', 'a08', 'd08', 'a06']","['a18', 'a21', 'a08', 'a23', 'd08', 'd08', 'a10', 'a06', 'a34', 'd11']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[5 3 5 1 5 4 3 2 5 1],terning mus bygge krabbe skip skulder fregner brun synge skøyter,0.4810126582278481,1.0,fjad bra en ble skjede off skjede skjede prade kan han lennen en jølgelig så,0.875,1.5,5,"['d19', 'a14', 'd17', 'd01', 'a21', 'd11', 'a07', 'a26', 'a15', 'd03']","['d01', 'd03', 'd17', 'a15', 'd11', 'a26', 'a21', 'd19', 'a14', 'a07']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[4 4 5 5 5 5 4 3 5 2],stær ugle ku skinke trille pære kropp artist turn flue,0.38666666666666666,1.0,stuppe stuppe tralle ja ne fint sapp fint fint lagt rastir,0.7407407407407407,1.1,1,"['d02', 'a04', 'a20', 'a09', 'a14', 'a18', 'a26', 'a28', 'd08']","['a26', 'a04', 'd08', 'd02', 'a14', 'a20', 'a09', 'a18', 'd02', 'a28']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[5 3 4 2 4 5 1 3 5 5],blad klo skjerm bygge stjerne hund tjern lyn plante krykke,0.29577464788732394,0.8,smikke døs døs klo lødde sødder lise sød trille koffert,0.8103448275862069,1.0,0,"['a04', 'd18', 'a02', 'a03', 'd16', 'd15', 'a01', 'a18', 'a05', 'd03']","['d15', 'a02', 'a04', 'a03', 'd03', 'd16', 'a01', 'a05', 'a18', 'd18']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[3 2 3 2 3 5 5 4 5 4],lys trykk vindu skive skitten bar dykke ugle ugle tynn,0.3384615384615385,1.0,krøs krøs krøs krøs blåmest krømme bann jenne krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøste krøs,12.037037037037036,9.9,89,"['a09', 'a14', 'd10', 'a10', 'a11', 'a22', 'a15', 'a33', 'a27']","['a11', 'a15', 'a14', 'a11', 'a27', 'a22', 'a33', 'd10', 'a10', 'a09']",words_100_110.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[4 2 4 4 3 3 3 5 5 4],drue premie skøyter tynn tær hytte trylle jern barn krabbe,0.4225352112676056,1.0,blomst shack detta shy sass her tunne use ni klem ryn,0.8103448275862069,1.1,1,"['d04', 'd10', 'a34', 'a21', 'd14', 'a22', 'd11', 'a18', 'a01', 'a05']","['d10', 'a21', 'a18', 'a05', 'a34', 'a01', 'd14', 'd04', 'd11', 'a22']",words_110_120.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[5 5 4 3 4 3 3 4 3 5],brød gutt skjære skip drue pære kjerne lue synge drikke,0.4444444444444444,1.0,sjælge smatt smatte mikke sikke ien bar kre sjælge linn,0.7272727272727273,1.0,0,"['a20', 'a32', 'a31', 'd17', 'a29', 'd15', 'a12', 'a18', 'a05', 'd08']","['d15', 'a20', 'a31', 'd08', 'a18', 'a29', 'a05', 'a32', 'a12', 'd17']",words_120_130.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[4 5 4 3 4 3 5 4 3 4],skive kvart vindu tårn gartner kvart glad lytte skjema syk,0.449438202247191,1.0,krøyr sade er kun skjikkej kjølf putsk dramst sne sade krøyr,0.8275862068965517,1.1,1,"['a30', 'd02', 'd12', 'a03', 'a34', 'a29', 'a26', 'a28', 'a05', 'a19']","['a19', 'a05', 'a29', 'a03', 'a30', 'd02', 'd12', 'a28', 'a26', 'a34']",words_130_140.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[5 4 5 4 4 5 2 4 4 4],artist skjære smykke plaster gris sykkel grå torne smart pluss,0.37362637362637363,1.0,kak fri sjela smikke sj jare styper prøs fjøln svert,0.6612903225806451,1.0,0,"['d02', 'd08', 'd12', 'a04', 'd04', 'a03', 'a29', 'a22', 'a07', 'd09']","['d12', 'a22', 'd04', 'd08', 'd09', 'd02', 'a07', 'a03', 'a04', 'a29']",words_140_150.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
[5 3 4 4 5 4 4 3 3 2],syk grønn mus trikk mus trykk krykke bror fugl glorie,0.38823529411764707,1.0,at det st 2 sassi dda scherm kræske hittet dren frøttet,0.8113207547169812,1.1,1,"['d19', 'a17', 'd07', 'a16', 'a07', 'a18', 'a01', 'd03', 'a06']","['d03', 'a01', 'a07', 'a18', 'd07', 'a17', 'a16', 'd19', 'a06', 'd19']",words_150_160.wav,../3x10_Concatenations/3x10_no_group_mixed,Tiny
