score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,briller flaske drue enhjørning rund skilpadde skitten trylle hjørne skjørt,bra eret for åeske tule er nånn tule føtten kille i er hæk,0.6486486486486487,1.3,0.08641975308641975,0.4,"['a11', 'a07', 'a25', 'a12', 'a05', 'a13', 'd08']","['a11', 'a11', 'a07', 'a05', 'a25', 'a11', 'a12', 'a13', 'a11', 'd08']",3,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,Tiny
1,sjø krakk brød kort fugl flue horn karneval øre gartner,går du går du går du går du går du,0.7454545454545455,1.0,0.1917808219178082,0.9,"['d19', 'a03', 'a34', 'a07', 'd13', 'a01', 'a13', 'd08']","['d08', 'd13', 'a07', 'a01', 'a13', 'a07', 'a34', 'a03', 'd19', 'a13']",0,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,Tiny
2,flagg hylle gutt skjørt bryter stjerne torne smart tjern snørr,hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet hjedelet,12.419354838709678,8.9,0.3493975903614458,1.0,"['a09', 'a03', 'a21', 'd14', 'a11', 'a07', 'a12']","['a21', 'a09', 'a07', 'a11', 'd14', 'a21', 'a11', 'a03', 'a12', 'a11']",79,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,fortau erter glør blå skulder ekorn gartner klone skitten rød,høtte høtte høtte høtte høtte hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det,15.065573770491802,25.7,0.4074074074074074,1.0,"['d02', 'a03', 'a29', 'a21', 'a22', 'a07', 'a13', 'a19', 'd09', 'a27']","['a27', 'a07', 'a03', 'd09', 'a13', 'a19', 'a21', 'a22', 'a29', 'd02']",247,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,krykke fly vindu skjerm skjerm krabbe lue tjern ugle port,tikke fri tikke shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell shell,22.666666666666668,22.0,0.5057471264367817,1.0,"['a32', 'a34', 'a29', 'a23', 'a11', 'a01', 'a26', 'a13']","['a13', 'a23', 'a01', 'a13', 'a29', 'a32', 'a11', 'a34', 'a26', 'a11']",210,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,svømme plante smart bjørn fjorten flue glass kurv tårn fugl,svemmet prante småt bjer frutten fruve gras kjedef kjern frutten,0.4576271186440678,1.0,0.02197802197802198,0.2,"['a03', 'd10', 'd06', 'a10', 'a21', 'a23', 'a11', 'a01', 'a06']","['d10', 'a23', 'a10', 'a06', 'a10', 'a21', 'a03', 'd06', 'a01', 'a11']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,kropp planke terning glør skitten tårn plante stupe port kurv,krøpp mjøpp kjer tjøannyn krøpp hittet tjøann platte stib båtsch krøpp,0.6557377049180327,1.1,0.21839080459770116,0.9,"['a30', 'a34', 'a07', 'a25', 'a12', 'a01', 'a13', 'a06']","['a12', 'a01', 'a12', 'a01', 'a25', 'a34', 'a07', 'a13', 'a30', 'a06']",1,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,garn frakk munn skulder vindu bygge kran flagg torne svømme,da flak det er dinde oke køro tjøro tjøro flån med,0.6440677966101694,1.1,0.30158730158730157,1.0,"['a17', 'a09', 'a21', 'a11', 'a12', 'a13', 'd08', 'a27']","['a21', 'a13', 'd08', 'a11', 'a09', 'a17', 'a11', 'a27', 'a21', 'a12']",1,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,søle sølv smør skjorte troll blod grå ørn plystre pluss,sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell sjell,11.6,11.1,0.4235294117647059,1.0,"['a09', 'd10', 'a34', 'a11', 'a07', 'a26', 'a15']","['d10', 'a07', 'a09', 'a07', 'a15', 'a26', 'a07', 'a07', 'a11', 'a34']",101,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
2,ugle skøyter horn tjern plystre troll smør bror blokk grønn,hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det,16.11864406779661,26.7,0.5068493150684932,1.0,"['d19', 'd16', 'a02', 'a14', 'a09', 'a07', 'a01', 'a26', 'a15', 'a27']","['a14', 'd19', 'a02', 'a26', 'd16', 'a01', 'a07', 'a15', 'a27', 'a09']",257,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,Tiny
3,skinke blod tjern jus snø plaster søle blomst søle børste,tink brut sean ljuth snow bloste søre bloms søre pist,0.42105263157894735,1.0,0.08641975308641975,0.4,"['d16', 'a14', 'a32', 'a29', 'd14', 'a08', 'a15', 'a06', 'a27']","['a27', 'a29', 'a14', 'd16', 'a06', 'd14', 'a32', 'a15', 'a27', 'a08']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,skive søt hjørne plystre plante frø lytte skjerf kjerne trikk,sjeeve så jørn ne klystet eller plante for det er tre sjørn trik,0.5081967213114754,1.2,0.1917808219178082,0.9,"['d18', 'a29', 'd15', 'a22', 'a12', 'a05', 'a13', 'a15', 'a06']","['a05', 'a06', 'd15', 'a15', 'a13', 'a22', 'a29', 'd18', 'a12', 'a22']",3,words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,glitter premie fortid klo grønn prins rund turn gul skive,grittet klaen er fortet gittet lang pen adorun tjør gjør sjør,0.6491228070175439,1.1,0.3493975903614458,1.0,"['d16', 'a03', 'a32', 'a31', 'a16', 'a11', 'a12', 'a15', 'a27']","['a31', 'a11', 'a27', 'a03', 'a15', 'd16', 'a12', 'a32', 'a27', 'a16']",1,words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,kikkert kropp glør skjorte gutt krakk horn ski snørr glorie,skjøtt går du deg jeg har sått deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du deg går du,16.084745762711865,26.5,0.4074074074074074,1.0,"['a02', 'd04', 'a09', 'a32', 'a14', 'a34', 'a01', 'a13', 'd08']","['a32', 'a13', 'a34', 'a02', 'd08', 'a01', 'd04', 'a09', 'a14', 'a13']",255,words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,hund flakse klem tralle rød bær bryter dyne bjørn kurv,hund fakt seg treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld treld,15.814814814814815,14.8,0.5057471264367817,1.0,"['a02', 'a31', 'a21', 'd14', 'a23', 'a12', 'a01', 'a15', 'd08']","['a21', 'a31', 'd08', 'd14', 'a01', 'a15', 'a23', 'a02', 'a15', 'a12']",139,words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,briller hylle sky huske turn ugle drue søster svømme sverd,triller hjinnah hoske din døper døde hjeste schwimme svart,0.5,1.0,0.02197802197802198,0.2,"['a17', 'd07', 'a34', 'a10', 'a23', 'a25', 'd13', 'a19', 'a15', 'a06']","['a23', 'a34', 'a15', 'a17', 'a25', 'a06', 'd07', 'd13', 'a10', 'a19']",-1,words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,koffert torne bygge brå dyne ski krykke krykke brød glitter,gås ut toenne bikke for å sting skjid klykke klykke klykke klykke blå glittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittittitt,21.0,1.4,0.21839080459770116,0.9,"['a02', 'a32', 'a21', 'a07', 'a18', 'a28', 'a13', 'a15', 'a33']","['a07', 'a02', 'a21', 'a28', 'a15', 'a18', 'a33', 'a32', 'a13', 'a33']",4,words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,svart ekorn glør tårn planke løpe stjerne lun pære brun,svartt eklun tår blålke loppe stjane lir vara lir,0.45454545454545453,1.0,0.30158730158730157,1.0,"['a02', 'a03', 'a14', 'a34', 'a21', 'a25', 'a08', 'a05', 'a15']","['a05', 'a21', 'a15', 'a03', 'a08', 'a21', 'a14', 'a25', 'a34', 'a02']",-1,words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,glør klappe stupe skip skjorte trille pute skitten tre bror,går dukall oppe stubpe sjetta sjilla sjetta sjetta tre blyo,0.559322033898305,0.9,0.4235294117647059,1.0,"['a30', 'a20', 'a32', 'a16', 'a21', 'a29', 'a25', 'a01', 'a28', 'd08']","['a25', 'a20', 'a32', 'd08', 'a28', 'a16', 'a21', 'a30', 'a29', 'a01']",0,words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,støvel sykkel trikk søt frukt blod stupe torne syr blod,stuffel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel sikkel,13.6,11.1,0.5068493150684932,1.0,"['d05', 'a30', 'a02', 'a32', 'a34', 'a23', 'a07', 'a05', 'a15']","['a07', 'a05', 'a32', 'a15', 'd05', 'a30', 'a02', 'a32', 'a34', 'a23']",101,words_90_100.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,krone fortid start kikkert korn buss rød søle blyant ekorn,krone 40 starge skjikkets kål velhø bra sjøåååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååååå,7.620689655172414,0.9,0.21978021978021978,0.8,"['d19', 'a23', 'a22', 'd13', 'a18', 'a28', 'a08', 'd08', 'a06', 'a15']","['a18', 'a22', 'a08', 'a23', 'a28', 'd08', 'd13', 'a06', 'a15', 'd19']",-2,words_100_110.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,søle tar trapp flue skip knar hytte flaske skjerm klem,sør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør dør,10.666666666666666,14.8,0.34177215189873417,1.0,"['d19', 'a02', 'a03', 'a14', 'a31', 'd06', 'a26', 'a15', 'a27']","['a26', 'a27', 'a03', 'a02', 'd19', 'a31', 'a15', 'a27', 'd06', 'a14']",138,words_110_120.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,fugl kropp tårn skulder flakse bart glitter lytte hus torne,før gjer opp tjørn skurlige frakse bart littet tjørn,0.4745762711864407,1.0,0.42028985507246375,1.0,"['a17', 'a02', 'a03', 'd01', 'a10', 'a16', 'a12', 'a26']","['a10', 'd01', 'a26', 'a10', 'a12', 'a26', 'a02', 'a16', 'a03', 'a17']",-1,words_120_130.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,skjerm sjakk tralle skinke korn lys kvern skitten trylle kurv,skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør skjør,10.39344262295082,11.1,0.5068493150684932,1.0,"['d19', 'a04', 'd01', 'a21', 'a11', 'a01', 'a18', 'a19', 'd09']","['a18', 'a21', 'd09', 'a01', 'a11', 'a11', 'a04', 'a19', 'd19', 'd01']",101,words_130_140.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,krakk lytte pære sport pluss garn flaske flakse hylle bror,kørat litte bar sputs press køl flask vapfrakse gil bort,0.46551724137931033,1.0,0.2727272727272727,1.0,"['a20', 'a02', 'a03', 'a31', 'a21', 'a28', 'a08', 'a33']","['a33', 'a20', 'a21', 'a08', 'a28', 'a31', 'a21', 'a03', 'a08', 'a02']",0,words_140_150.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,blomst flette start sølv blad sil grå kran fortau stjerne,tramst frittet hva sol dette sil grud klaen sjortet stene,0.47368421052631576,0.9,0.30864197530864196,1.0,"['a09', 'a02', 'a14', 'a10', 'd11', 'a01', 'a05', 'd08', 'a06']","['a02', 'a09', 'd08', 'a06', 'a01', 'a14', 'a10', 'a05', 'd11', 'a09']",0,words_150_160.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,klem skjerf lyn øre rike pute horn plystre dykke fortid,hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det hva er det,17.272727272727273,26.7,0.4175824175824176,1.0,"['d19', 'a30', 'a17', 'a32', 'a29', 'a21', 'd11', 'a18', 'a05', 'a27']","['a05', 'd19', 'd11', 'a21', 'a18', 'a32', 'a29', 'a17', 'a27', 'a30']",257,words_160_170.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,gartner blad glis søster svart skitten hjerte nøkkel bra klar,partnede brad gris sistel sistel sistel sistel dette leper brad brad,0.5409836065573771,1.1,0.5068493150684932,1.0,"['a17', 'a09', 'a03', 'a32', 'a10', 'a15', 'd08']","['a09', 'a10', 'a32', 'a15', 'a17', 'a09', 'd08', 'a03', 'a15', 'a15']",1,words_170_180.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,lyn blomst kjerne bro ugle lytte bar klappe brå glad,linn blomst janne vi åikke det litt bad kroppe bra bra,0.4807692307692308,1.0,0.23529411764705882,1.0,"['a30', 'a02', 'a34', 'a29', 'd14', 'a16', 'a25', 'a28']","['a29', 'a28', 'a25', 'd14', 'd14', 'a30', 'a34', 'a16', 'a30', 'a02']",1,words_180_190.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
3,erter horn kurv ekorn fly kurv blokk grå lyn trapp,arter pul kyrf egren fri kyrf rok nr lain tjep,0.48,1.0,0.3287671232876712,1.0,"['d19', 'a29', 'a16', 'a23', 'd14', 'a26', 'a28', 'a05', 'd03']","['a23', 'd03', 'a28', 'a26', 'a29', 'd19', 'a05', 'a26', 'a16', 'd14']",0,words_190_200.wav,../3x10_Concatenations/3x10_score_3_mixed,Tiny
