score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,klar flaske børste kort grønn sjakk hjerne frakk klappe kurv,"breret, fraska, døle, erna, ring, røsjæl, fyrtum, kjøle, og hatt,",,,"[0.25, 0.3333333333333333, 0.0, 0.3333333333333333, 0.25, 0.0, 0.5, 0.25, 0.2, 0.0]",2.1166666666666667,0.7,"['d19', 'd07', 'a11', 'a07', 'a12', 'a01', 'a13', 'a06', 'a27']","['a27', 'a11', 'a12', 'a01', 'd07', 'd19', 'a13', 'a07', 'a06', 'a11']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,"[1.5, 0.5, 0.8333333333333334, 1.25, 0.8, 1.0, 1.1666666666666667, 1.2, 1.0, 1.25]",1.0
1,krabbe dyne hjørne grave horn kort hjørne søt krabbe støvel,kåts? kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts kåts,,,"[0.2, 0.25, 0.5, 0.6, 0.0, 0.3333333333333333, 0.5, 0.0, 0.2, 0.16666666666666666]",2.75,0.8,"['d08', 'a34', 'a11', 'a07', 'a25', 'a13', 'd09', 'a06']","['a13', 'a11', 'a07', 'd09', 'a34', 'a25', 'a06', 'a07', 'a07', 'd08']",101,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,9.11864406779661,11.1
2,drue fortid klo planke kart fort brun frukt blad brun,hva? hiddela hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt hitt,,,"[0.5, 0.6, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.6, 0.25, 0.25]",4.366666666666667,1.0,"['a30', 'a03', 'a32', 'a29', 'a21', 'a11', 'a25', 'a26', 'a08', 'd08']","['d08', 'a11', 'a32', 'a21', 'a25', 'a30', 'a29', 'a08', 'a03', 'a26']",138,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,13.716981132075471,14.8
2,blomst glad blad ødelagt kurv enhjørning huske glorie ugle blod,høte? høte? høte? grær? du? skålte? ekkun? katana? krima? shake? krim?,,,"[0.6666666666666666, 0.3333333333333333, 0.25, 0.7142857142857143, 0.25, 0.5714285714285714, 0.4, 0.5, 0.5, 0.3333333333333333]",4.519047619047619,1.0,"['a17', 'd07', 'a10', 'a23', 'a11', 'a26', 'a06']","['a06', 'a10', 'a11', 'a17', 'a06', 'a23', 'a11', 'd07', 'a11', 'a26']",1,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,0.9523809523809523,1.1
2,skjerm plystre bygge blyant blomst bror kjerne kropp øre troll,kikker fri ging shell shell kjerebbeln løber shen en slik,,,"[0.25, 0.5714285714285714, 0.5, 0.3333333333333333, 0.5, 0.5, 0.25, 0.25, 0.3333333333333333, 0.25]",3.738095238095238,1.0,"['a09', 'a03', 'a14', 'a07', 'a12', 'a01', 'a13', 'a08']","['a07', 'a08', 'a09', 'a03', 'a01', 'a14', 'a13', 'a12', 'a01', 'a07']",0,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,"[0.6666666666666666, 0.8571428571428571, 0.8, 1.0, 1.0, 2.25, 0.8333333333333334, 1.0, 1.0, 1.0]",1.0
2,skip vindu ugle glorie blomst tårn artist artist torne skjerf,"svemmer, prante, småd, der, fru-vin, fru-ve, gras, kjiddet, kan fru-t",,,"[0.3333333333333333, 0.6, 0.5, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.6, 0.6, 0.5, 0.5]",5.3,1.0,"['a09', 'a02', 'a25', 'a01', 'a08', 'a13', 'a15', 'd08', 'a06']","['a01', 'd08', 'a09', 'a15', 'a25', 'a08', 'a02', 'a13', 'a25', 'a06']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,"[1.75, 1.2, 1.25, 0.8333333333333334, 1.3333333333333333, 1.75, 0.6666666666666666, 1.1666666666666667, 0.8, 1.0]",1.0
2,sjiraff skøyter enhjørning svart glitter planke pluss skjorte glad glitter,grupp! ljøn kjø! tjannin! grupp! skitten! tjann! flavte! stib! puts! grupp!,,,"[0.4, 0.2, 0.42857142857142855, 0.5, 0.5, 0.5, 0.25, 0.5, 0.3333333333333333, 0.6666666666666666]",4.2785714285714285,1.0,"['a09', 'a03', 'a32', 'd10', 'a10', 'a01', 'a26', 'a05', 'a27']","['a27', 'a10', 'a32', 'd10', 'a01', 'a01', 'a03', 'a26', 'a09', 'a05']",1,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7702702702702703,1.1
2,sur glis premie ekorn horn stjerne rød skjørt fjorten støvel,da? flek! hende! skåter! dinda! helt! helt! helt! helt! helt! flek! du er her! du er her!,,,"[0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.6, 0.6666666666666666]",4.6,0.9,"['a17', 'a21', 'a07', 'a25', 'a18', 'a13', 'a15', 'a33']","['a25', 'a18', 'a07', 'a15', 'a17', 'a33', 'a17', 'a25', 'a13', 'a21']",7,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,1.1333333333333333,1.7
2,skitten klo kort sølv ugle gartner garn trapp fly skitten,shale selt kjør søtte sjølol brut kjør prøvstet sj,,,"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5]",3.5,0.9,"['d19', 'a02', 'a34', 'a23', 'a07', 'a25', 'a12', 'a28', 'd09']","['a25', 'a23', 'a34', 'a07', 'a28', 'a23', 'd09', 'a02', 'a12', 'd19']",-1,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7368421052631579,1.0
2,kikkert tårn søle gartner flagg trapp ugle fly glitter skulder,"ønker det? ja, ikkje hjørn pristre to smil blut brøk giran",,,"[0.4, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.25, 0.6666666666666666, 0.5, 0.42857142857142855]",4.578571428571429,1.0,"['d02', 'a20', 'a16', 'a21', 'a23', 'a07', 'a12', 'a01', 'a33']","['a33', 'a01', 'd02', 'a12', 'a23', 'a07', 'a07', 'a20', 'a16', 'a21']",1,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,0.7741935483870968,1.1
