score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,0.17647058823529413,0.7,følgt roet,0.8596491228070176,1.0,-8,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-base
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,0.26881720430107525,1.0,grem,0.9655172413793104,1.0,-9,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,NNL-base
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,0.3670886075949367,1.0,klovn,0.9344262295081968,1.0,-9,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,0.4050632911392405,1.0,fester,0.921875,1.0,-9,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,plystre kvern glorie klem bryter briller drue barn start løve,0.5072463768115942,1.0,prustre klo klem bi-døy billei due barn dolve løve,0.39344262295081966,0.7,-1,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,plystre blokk horn søle svømme svart glorie garn blomst blå,0.03896103896103896,0.3,dukk ordn svømme svart,0.6949152542372882,0.8,-6,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,bjørn artist søt terning løve horn glorie glad kikkert børste,0.25274725274725274,1.0,hvor er det,0.8524590163934426,1.0,-7,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,barn flette drue skjema smart vindu tralle munn glorie horn,0.3291139240506329,1.0,glore og,0.8813559322033898,1.0,-8,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,0.4044943820224719,1.0,gryf det er ikke sørøya sønna brød til at dyrt ja nei ut og dyss,0.7017543859649122,1.5,5,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
2,kort korn klo klem kikkert blokk bart fortid fortau fort,0.504950495049505,1.0,godt korn korrum galam sikkert brøkk født født født,0.5,0.9,-1,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,NNL-base
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,0.17647058823529413,0.7,flakk ljerne presang glade glade onde hjerte hjerne prinsesse,0.5172413793103449,0.9,-1,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-base
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,0.26881720430107525,1.0,barn har dilt,0.8421052631578947,0.9,-7,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-base
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,0.3670886075949367,1.0,fjopp bli laks lytte,0.7931034482758621,1.0,-6,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-base
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,0.4050632911392405,1.0,skjell skjema plan tre lalle kjele,0.5333333333333333,0.8,-4,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-base
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,0.5072463768115942,1.0,gjerne,0.9206349206349206,1.0,-9,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-base
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,0.03896103896103896,0.3,garn horn mus barn fartau dykke sky kvart kjære,0.21428571428571427,0.5,-1,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,NNL-base
