score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
1,løpe øre klar kvart horn ugle skitten krabbe ødelagt ødelagt,brerent fraske tilly erna merin gjelda hjertum kjelda jø hjertum,,,"[0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.6, 0.14285714285714285, 0.42857142857142855]",1.6714285714285715,0.5,"['a30', 'd17', 'a11', 'a07', 'a12', 'a13', 'a06', 'a27']","['a07', 'a13', 'a27', 'a06', 'a11', 'a30', 'a12', 'a06', 'a11', 'd17']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,"[1.5, 1.3333333333333333, 1.0, 1.0, 0.75, 1.25, 0.8571428571428571, 0.8333333333333334, 1.0, 0.8571428571428571]",1.0
1,rød glorie briller brå horn flaske plystre løve blå løve,sjom blå kots slum sjøle fem karnov eulav dannev,,,"[0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.25, 0.3333333333333333, 0.0]",1.0833333333333333,0.4,"['a02', 'a11', 'a07', 'd11', 'a01', 'a26', 'a05']","['a02', 'a11', 'a11', 'a26', 'a05', 'a11', 'a07', 'a07', 'd11', 'a01']",-1,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,0.8035714285714286,1.0
2,fortau glorie kurv kikkert blå vær premie port vindu sjakk,frank hiddala bits søt bete stående dume smarch sjon snel,,,"[0.25, 0.5, 0.5, 0.6, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.4, 0.3333333333333333]",3.916666666666667,0.9,"['a03', 'a14', 'a32', 'a11', 'a25', 'a07', 'd08', 'a27']","['a27', 'a25', 'a03', 'd08', 'a03', 'a14', 'a07', 'a11', 'a11', 'a32']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,"[0.6666666666666666, 1.1666666666666667, 1.0, 0.8571428571428571, 1.0, 2.3333333333333335, 0.6666666666666666, 1.25, 1.0, 0.8]",1.0
2,trapp krakk frakk hjørne horn skitten artist bleie grønn blå,fødte fødte fødte grør bord skålte ekken gatene krune sjekke brød,,,"[0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.6, 0.25, 0.5, 0.3333333333333333]",4.266666666666667,1.0,"['d19', 'a34', 'a07', 'a12', 'a13', 'd09', 'a06']","['a13', 'd19', 'a13', 'a34', 'a13', 'a06', 'd09', 'a12', 'a12', 'a07']",1,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,0.75,1.1
2,rød turn krakk kvart pluss frukt fly plante ugle hjort,kikka fri dette selm krabben lule kjenn enkle bocce,,,"[0.0, 0.3333333333333333, 0.25, 0.5, 0.25, 0.6, 0.3333333333333333, 0.5, 0.25, 0.0]",3.0166666666666666,0.8,"['a17', 'a03', 'd06', 'a34', 'a11', 'a26', 'a05', 'a13']","['a17', 'a11', 'a26', 'a13', 'a03', 'a13', 'a05', 'a34', 'd06', 'a34']",-1,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,0.8148148148148148,1.0
2,bjørn knar blomst ørn skjørt sylte glorie flue søppel pluss,svemmet brandet smats bø frut fråve gras kiddef tønn fråd,,,"[0.5, 0.5, 0.6666666666666666, 0.0, 0.3333333333333333, 0.6, 0.5, 0.5, 0.6, 0.5]",4.699999999999999,0.9,"['a09', 'a14', 'a34', 'a25', 'a12', 'a26', 'a15', 'a27']","['a09', 'a15', 'a25', 'a12', 'a25', 'a14', 'a26', 'a26', 'a27', 'a34']",0,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,"[1.4, 1.5, 0.8333333333333334, 1.0, 0.8333333333333334, 0.8, 0.6666666666666666, 1.25, 0.8333333333333334, 1.0]",1.0
2,tre munn port dør glitter flagg grønn smerte vindu klappe,krup blinke tjernin kler kjiten tjern platter stibet but krup,,,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.25, 0.6, 0.6, 0.6]",4.383333333333334,1.0,"['a09', 'a16', 'a11', 'a07', 'a12', 'a01', 'a28', 'a13']","['a13', 'a07', 'a28', 'a01', 'a09', 'a16', 'a07', 'a12', 'a01', 'a11']",0,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,"[1.0, 1.25, 1.5, 1.0, 0.5714285714285714, 1.0, 1.4, 0.8333333333333334, 1.0, 0.6666666666666666]",1.0
2,krone krone gartner torne bygge horn munn bygge smør bror,da fløk hen skodder dinda mikke kram kvrak tundre tummer,,,"[0.6, 0.6, 0.16666666666666666, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.5]",4.283333333333333,1.0,"['a02', 'a03', 'a09', 'a11', 'a25', 'a07', 'a12', 'a01']","['a12', 'a11', 'a01', 'a25', 'a03', 'a02', 'a11', 'a07', 'a07', 'a09']",0,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,"[1.0, 1.0, 0.8571428571428571, 1.0, 1.0, 1.25, 1.0, 1.0, 1.25, 1.25]",1.0
2,glør søt erter bjørn støvel flette flue blyant ugle synge,sjøl sjøl smer søtte sjølolj brud kloa nyd boreste svis,,,"[0.5, 0.3333333333333333, 0.25, 0.25, 0.5, 0.6, 0.5, 0.5, 0.5, 0.5]",4.433333333333334,1.0,"['a03', 'a21', 'a23', 'a11', 'a07', 'a12', 'd09', 'a06']","['a03', 'd09', 'a12', 'a06', 'a03', 'a03', 'a23', 'a07', 'a11', 'a21']",0,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,"[0.75, 0.6666666666666666, 0.6, 1.0, 0.6666666666666666, 1.0, 0.75, 0.8333333333333334, 1.5, 0.8]",1.0
2,enhjørning hylle jus svart trykk grave glass ugle glitter by,unkre kjøkken ol hjøn prøstre to smell blutt brukk gram,,,"[0.42857142857142855, 0.5, 0.3333333333333333, 0.25, 0.5, 0.4, 0.25, 0.5, 0.6666666666666666, 0.0]",3.8285714285714283,0.9,"['a09', 'a32', 'a31', 'a10', 'a23', 'a11', 'a07', 'a26', 'a05', 'a06']","['a32', 'a09', 'a06', 'a11', 'a31', 'a07', 'a10', 'a23', 'a05', 'a26']",0,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,"[0.8, 1.2, 1.0, 1.0, 1.2, 1.0, 1.0, 1.25, 1.0, 2.0]",1.0
3,myr flue ødelagt tjern trikk drikke kran trikk glorie dyne,tjenke blods sjarn ljus snall blomstei søde blomst søde bost,,,"[0.3333333333333333, 0.75, 0.8571428571428571, 0.6666666666666666, 0.75, 0.8, 0.5, 0.5, 0.8333333333333334, 0.5]",6.49047619047619,1.0,"['d02', 'a04', 'd07', 'a34', 'a10', 'a29', 'a21', 'a18', 'a26', 'a28']","['a18', 'a04', 'a10', 'd02', 'a34', 'a26', 'a29', 'a21', 'a28', 'd07']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,"[2.0, 1.0, 0.8571428571428571, 0.8, 1.0, 1.1666666666666667, 1.0, 1.2, 0.8333333333333334, 1.0]",1.0
3,stjerne svare fjær svømme hjerte sykkel kø kvart munn trylle,sjive sørt jøne klistele plantet farø litte fret sjøne trykk,,,"[0.6666666666666666, 0.8, 0.75, 0.6, 0.75, 0.6, 0.5, 0.75, 0.3333333333333333, 0.8]",6.55,1.0,"['a29', 'a21', 'a10', 'a22', 'a11', 'a01', 'a28', 'a19', 'a15']","['a19', 'a28', 'a15', 'a22', 'a21', 'a29', 'a11', 'a10', 'a15', 'a01']",0,words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,"[0.5714285714285714, 0.6, 1.0, 1.1666666666666667, 0.8333333333333334, 1.0, 2.5, 0.8, 1.0, 0.5]",1.0
