id,global_score,target_word,PER,transcribed_word,CER,transcribed_word_striped,striped_CER,file_name,model_name
a01,4,artist,0.2, Og tiste!,0.5555555555555556,og tiste,0.6666666666666666,a01_artist.wav,tiny
a01,2,plystre,0.42857142857142855, Piste!,0.8333333333333334,piste,0.42857142857142855,a01_plystre.wav,tiny
a01,4,port,0.3333333333333333, FUT!,1.0,fut,0.75,a01_port.wav,tiny
a01,2,premie,0.5," Trøj, og det.",0.8461538461538461,trøj og det,1.5,a01_premie.wav,tiny
a01,3,prins,0.2, Penge!,1.0,penge,0.8,a01_prins.wav,tiny
a01,4,pute,0.0, Pytte!,0.6666666666666666,pytte,0.5,a01_pute.wav,tiny
a01,3,rød,0.5, Det er.,1.0,det er,2.0,a01_roed.wav,tiny
a01,1,rund,1.0, Vi er.,1.0,vi er,1.25,a01_rund.wav,tiny
a01,3,sjakk,0.3333333333333333, Saktier!,0.875,saktier,1.0,a01_sjakk.wav,tiny
a01,4,sjiraff,0.2, Se!,2.333333333333333,se,0.8571428571428571,a01_sjiraff.wav,tiny
a01,4,sjø,0.5, Sje.,0.75,sje,0.3333333333333333,a01_sjoe.wav,tiny
a01,3,sju,1.0, Si!,1.0,si,0.6666666666666666,a01_sju.wav,tiny
a01,5,ski,0.0, Sih!,1.0,sih,0.6666666666666666,a01_ski.wav,tiny
a01,2,skilpadde,0.5714285714285714, Sien plet?,0.9,sien plet,0.7777777777777778,a01_skilpadde.wav,tiny
a01,3,skinke,0.2, Sintet!,0.7142857142857143,sintet,0.5,a01_skinke.wav,tiny
a01,2,skip,0.6666666666666666, Sø jeg ikke.,0.9166666666666666,sø jeg ikke,2.25,a01_skip.wav,tiny
a01,4,skitten,0.25, Sikten!,0.5714285714285714,sikten,0.2857142857142857,a01_skitten.wav,tiny
a01,4,skive,0.0, Sida!,1.0,sida,0.6,a01_skive.wav,tiny
a01,5,pluss,0.0, Tils?,0.8,tils,0.8,a01_pluss.wav,tiny
a01,3,skjema,0.25, Se om!,0.8333333333333334,se om,0.6666666666666666,a01_skjema.wav,tiny
a01,2,plaster,0.42857142857142855, Reste!,0.6666666666666666,reste,0.5714285714285714,a01_plaster.wav,tiny
a01,2,planke,0.5, Blen kje.,0.5555555555555556,blen kje,0.6666666666666666,a01_planke.wav,tiny
a01,3,krykke,0.2, Kikke!,0.6666666666666666,kikke,0.3333333333333333,a01_krykke.wav,tiny
a01,4,ku,0.5, Kæ.,1.0,kæ,0.5,a01_ku.wav,tiny
a01,3,kurv,0.25, Kjø!,1.0,kjø,0.75,a01_kurv.wav,tiny
a01,1,kvart,0.75, Kratt!,0.6666666666666666,kratt,0.4,a01_kvart.wav,tiny
