File name,Word,Transcribed,CER (Character Error Rate),CER Score
a01_artist.wav,artist, Artist.,0.2857142857142857,4
a01_barn.wav,barn, Vand,0.75,3
a01_bart.wav,bart, Bak!,0.75,4
a01_bjoern.wav,bjørn, Vi er ute.,0.9,3
a01_blaa.wav,blå, Blå.,0.5,4
a01_blad.wav,blad, Blad,0.25,3
a01_bleie.wav,bleie, Bara jeg.,0.8888888888888888,3
a01_blokk.wav,blokk, Blakkig!,0.625,3
a01_blomst.wav,blomst, Blomps,0.5,2
a01_blyant.wav,blyant, Blir det?,0.7777777777777778,3
a01_boerste.wav,børste, Vursløp.,0.75,3
a01_briller.wav,briller, Veldig.,1.0,2
a01_bro.wav,bro, Vuh?,1.0,3
a01_broed.wav,brød, Hvorfor?,0.875,2
a01_bror.wav,bror, Blur.,0.8,3
a01_brun.wav,brun, Nå er det jo.,0.9230769230769231,2
a01_bryter.wav,bryter, Bredd til.,0.8,2
a01_buss.wav,buss, Dess.,0.6,5
a01_by.wav,by, Vi?,1.0,3
a01_bygge.wav,bygge, Takk.,1.0,2
a01_doer.wav,dør, Ja.,1.0,2
a01_drikke.wav,drikke, Kulke!,0.8333333333333334,2
a01_drops.wav,drops, Klaps!,0.6666666666666666,2
a01_drue.wav,drue, Køy det?,0.875,2
a01_dykke.wav,dykke, Hvilke?,0.7142857142857143,4
a01_dyne.wav,dyne, Din.,0.75,3
a01_ekorn.wav,ekorn, Det er kun.,0.7272727272727273,5
a01_enhjoerning.wav,enhjørning, Jeg er en jørning.,0.5,4
a01_erter.wav,erter, Atte.,0.6,3
a01_fjorten.wav,fjorten, Følg hjelpen.,0.7692307692307693,3
a01_flagg.wav,flagg, Takk.,1.0,2
a01_flakse.wav,flakse, Praksje.,0.5,3
a01_flaske.wav,flaske, Flasket.,0.375,4
a01_flette.wav,flette, Sette.,0.5,3
a01_flue.wav,flue, Plue.,0.4,4
a01_fly.wav,fly, Kli.,0.75,2
a01_fort.wav,fort, Furt.,0.6,4
a01_fortau.wav,fortau, 14,3.0,2
a01_fortid.wav,fortid, Puttit.,0.7142857142857143,2
a01_frakk.wav,frakk, Slakke.,0.5714285714285714,2
a01_fregner.wav,fregner," Trei, ne.",0.5555555555555556,2
a01_froe.wav,frø, Ja.,1.0,3
a01_frukt.wav,frukt, Køyste.,0.8571428571428571,1
a01_fugl.wav,fugl, Sit.,1.0,2
a01_garn.wav,garn, Gånn.,0.8,4
a01_gartner.wav,gartner, Køknet.,0.8571428571428571,2
a01_glad.wav,glad, Gør jeg?,1.0,3
a01_glass.wav,glass, Gøs!,1.0,4
a01_glitter.wav,glitter, Gitter.,0.42857142857142855,2
a01_gloer.wav,glør, Klær.,0.6,2
a01_glorie.wav,glorie, Klur det?,0.6666666666666666,2
a01_graa.wav,grå, Kuh?,1.0,1
a01_grave.wav,grave," Ja, vel?",0.75,2
a01_gris.wav,gris, Og gis.,0.5714285714285714,3
a01_groenn.wav,grønn, Den.,1.0,3
a01_gul.wav,gul, Gø.,1.0,3
a01_gutt.wav,gutt, Gutt.,0.4,5
a01_hjerne.wav,hjerne," Ja, ne.",0.7142857142857143,3
a01_hjerte.wav,hjerte," Ja, det.",0.875,4
a01_hjoerne.wav,hjørne," Ja, det.",0.875,4
a01_hjort.wav,hjort, Jut.,1.25,4
a01_horn.wav,horn, Une.,1.0,3
a01_hund.wav,hund, Helt.,1.0,3
a01_hus.wav,hus, Hysj.,0.8,5
a01_huske.wav,huske, Fisk ja.,0.75,2
a01_hylle.wav,hylle, Hylje.,0.5,3
a01_hytte.wav,hytte, Hit det!,0.75,3
