score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
[2 3 4 1 3 5 5 5 2 3],glad torne snørr ugle bart lys børste sjiraff svart blokk,flette grør smerte trykk snø stjerne cholorie,1.0,1.0,0.34782608695652173,1.0,"['a30', 'd04', 'd06', 'a21', 'a11', 'a18', 'a08', 'd09', 'a06']","['a06', 'a18', 'd09', 'a30', 'a11', 'a08', 'd06', 'd04', 'a11', 'a21']",-3,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 5 3 4 4 3 4 4 5 3],klo bær mus ørn lyn kjerne buss plystre hjerne svart,skjelpadde bjørum,1.0,1.0,0.40229885057471265,1.0,"['d19', 'a30', 'a02', 'a34', 'a13', 'a08', 'a06']","['a06', 'a30', 'd19', 'a02', 'a30', 'a08', 'd19', 'd19', 'a34', 'a13']",-8,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 4 5 5 2 3 3 3 5 5],sykkel drue jus smart hylle drue plante by sjø bær,fredde wiker klad,1.0,1.0,0.4225352112676056,1.0,"['d12', 'a09', 'd07', 'a31', 'a10', 'a29', 'd13', 'a28', 'a19', 'a27']","['a10', 'a27', 'a31', 'd07', 'a09', 'd12', 'a29', 'd13', 'a28', 'a19']",-7,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[2 5 3 3 5 5 3 4 3 1],horn drops kvart ekorn skøyter frø skitten kran glass hjørne,syn plystre dua bygge ugle t skjell kjølle,1.0,1.0,0.43209876543209874,1.0,"['a30', 'a17', 'a04', 'a23', 'a11', 'a18', 'a28', 'a06']","['a17', 'a28', 'a30', 'a04', 'a23', 'a11', 'a18', 'a28', 'a17', 'a06']",-2,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 4 5 5 5 5 4 3 3],frukt krykke drops rød skulder hjort premie sjakk kran blad,smykke findu grave ei dropp star kurie skikkelig bi b reie,1.0,1.0,0.43661971830985913,1.0,"['d05', 'a04', 'a20', 'a02', 'd10', 'a34', 'd17', 'd11', 'a15']","['d10', 'a04', 'a34', 'd17', 'd05', 'a02', 'd11', 'a02', 'a15', 'a20']",1,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 3 5 5 4 3 4 2 5 4],sjakk flette brun lyn internett trylle drikke trykk løve brå,syr du gull pris te drops drops jo fort hører du og det jo frukt gris,1.0,1.0,0.41333333333333333,1.0,"['d05', 'a20', 'a31', 'd01', 'a10', 'a25', 'a12', 'a18', 'a27']","['a20', 'a10', 'a31', 'd05', 'a27', 'a12', 'a18', 'a25', 'd01', 'a18']",6,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 4 3 5 4 3 3 4 3 4],prins trille svart lys fregner bryter klappe lys grønn myk,grå tårn,1.0,1.0,0.43529411764705883,1.0,"['a09', 'a23', 'd11', 'a12', 'a33', 'a26', 'a28', 'a15', 'd09', 'a06']","['a09', 'a26', 'd11', 'd09', 'a28', 'a23', 'a15', 'a12', 'a06', 'a33']",-8,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 4 4 3 5 3 4 5 3],frukt garn bror kurv stupe gutt svære sky skilpadde gartner,fiarr,1.0,1.0,0.4482758620689655,1.0,"['d16', 'a32', 'd10', 'd07', 'a31', 'a26', 'a19', 'd03', 'a27']","['d16', 'a27', 'd03', 'a32', 'a19', 'd07', 'a26', 'd10', 'd10', 'a31']",-9,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 3 4 3 3 4 5 4 3 2],flette skip bror tralle grave buss fort blad sjakk horn,stupe synge stupe plaster,1.0,1.0,0.42168674698795183,1.0,"['d19', 'd05', 'a04', 'd17', 'a16', 'd14', 'a25', 'a07', 'a26', 'a28']","['a26', 'a16', 'a04', 'd14', 'a25', 'a28', 'd05', 'd19', 'd17', 'a07']",-6,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 3 5 4 2 5 5 3 3 4],løpe søle bygge smerte kvern søt blokk bleie start hjørne,smykke buss kjøtt klo klo klo lydde kjøtt kjøtt trille koffert,1.0,1.0,0.3764705882352941,0.9,"['d09', 'd16', 'a09', 'd14', 'a12', 'a01', 'a18', 'a08', 'a33']","['a12', 'a01', 'd16', 'a33', 'a08', 'd14', 'a18', 'a08', 'a09', 'd09']",1,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 4 4 5 3 3 3 3 4 3],port hytte sykkel frø skjerm garn sykkel flette fregner prins,pruss sky blomst svime barn gjerne ryste,1.0,1.0,0.4725274725274725,1.0,"['a02', 'a09', 'a29', 'a21', 'a23', 'a22', 'a26', 'd08']","['a02', 'a22', 'd08', 'a23', 'a26', 'a09', 'a21', 'a23', 'd08', 'a29']",-3,words_100_110.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 5 5 4 4 4 5 2 5 3],vindu dør buss sjø nøkkel rund kran krykke troll fregner,sjakk pute sju søster done ljus ny klem,1.0,1.0,0.46153846153846156,1.0,"['a09', 'd16', 'a32', 'd17', 'd01', 'a22', 'd11', 'a19', 'a33', 'a27']","['a19', 'd11', 'a22', 'a09', 'a27', 'a33', 'd16', 'd17', 'd01', 'a32']",-2,words_110_120.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 5 5 4 4 3 3 3 4],snø kø hjørne svømme tårn krabbe kran kropp jern trapp,smerte smerte mikael,1.0,1.0,0.35443037974683544,1.0,"['d19', 'd07', 'd06', 'a34', 'a29', 'a21', 'a23', 'd13', 'a26']","['d19', 'd06', 'd07', 'd13', 'a29', 'a34', 'a21', 'a26', 'a23', 'a23']",-7,words_120_130.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 2 5 3 3 3 3 4 5 5],klem enhjørning jus klone fjorten tre ugle bjørn bjørn kort,klar skjære økon knolleknolog knollen kjøttknoll kjøtt porsjkudd bramst sne skjære knall,1.0,1.0,0.3670886075949367,1.0,"['a30', 'd12', 'a14', 'd07', 'd01', 'a11', 'a19', 'a15', 'a06', 'a27']","['d12', 'a15', 'd07', 'a14', 'a30', 'a19', 'a27', 'a11', 'd01', 'a06']",2,words_130_140.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 4 2 3 5 5 5 4 5 5],klem fjorten trapp smør port bleie svart svare glør drops,fri smykke smykke skyl,1.0,1.0,0.37681159420289856,1.0,"['d02', 'd16', 'a14', 'd17', 'a07', 'd11', 'a18', 'a26', 'a06']","['a14', 'a26', 'a07', 'a18', 'd16', 'd11', 'd02', 'a26', 'd17', 'a06']",-6,words_140_150.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[2 5 5 5 3 3 5 2 4 3],blomst flette brød buss tralle ekorn støvel planke fregner nøkkel,junkje søster dra beskjeden krighjøn hytte rune dø,1.0,1.0,0.39325842696629215,1.0,"['a02', 'a16', 'a29', 'a23', 'a21', 'd11', 'd13', 'a11', 'a01', 'd08']","['a01', 'd11', 'd08', 'a29', 'a16', 'a23', 'd13', 'a21', 'a02', 'a11']",-2,words_150_160.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[1 5 5 5 3 3 5 4 3 3],enhjørning tær kart hund syl tær hjerte tårn bleie hjerne,garn søster artist ukle garn garn smart ugre hund gute,1.0,1.0,0.410958904109589,1.0,"['a20', 'd04', 'd17', 'a10', 'd14', 'a21', 'a29', 'a11', 'a28']","['a10', 'a20', 'd14', 'd04', 'a21', 'a29', 'd17', 'a10', 'a28', 'a11']",0,words_160_170.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 5 3 3 4 3 5 5 3],nøkkel bygge ørn skitten blomst brød lyn tralle korn glør,bjørnø og gris lommebøyen bare krone lim linn port port ljus smykke krone,1.0,1.0,0.3333333333333333,1.0,"['a04', 'd06', 'a34', 'a22', 'd11', 'a18', 'a08', 'd18', 'a15', 'd03']","['d06', 'd03', 'a18', 'a15', 'a04', 'a22', 'a08', 'd18', 'd11', 'a34']",3,words_170_180.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 5 3 3 5 4 3 4 4 3],koffert plystre smykke glorie tralle lærer dyne syk gutt drops,pythe flette brok kvart sik sik løpa,1.0,1.0,0.37333333333333335,0.9,"['d10', 'a31', 'd07', 'a23', 'a25', 'a18', 'a26', 'a19']","['a23', 'd10', 'a31', 'a19', 'a19', 'a18', 'd07', 'a26', 'a19', 'a25']",-3,words_180_190.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[2 3 3 5 5 5 2 3 3 3],trapp vindu ni skjema skulder drops flagg artist lyn sport,frø tute skulder snørr smakte lav lav lav rue syk stupe klappe,1.0,1.0,0.4177215189873418,1.0,"['d12', 'd16', 'a32', 'a31', 'd06', 'a11', 'a08', 'a19', 'a15']","['a11', 'd06', 'a19', 'a31', 'd16', 'd12', 'a15', 'a32', 'a32', 'a08']",2,words_190_200.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 5 3 2 4 3 5 2 5],lyn munn rød trille glorie sverd søppel sport flue sport,onkel det sjøen adjø støvel enjøring,1.0,1.0,0.36619718309859156,0.9,"['d19', 'a30', 'd09', 'd05', 'a29', 'a21', 'd13', 'a08', 'd08', 'a15']","['d09', 'd19', 'a08', 'a30', 'd08', 'a15', 'a29', 'd05', 'a21', 'd13']",-4,words_200_210.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 3 4 3 4 5 3 3 4],sjakk dør skip horn glør glass klo sølv turn pluss,briller gatner smertesmerte smerte sølv snur sild kart s lakse skeiti,1.0,1.0,0.35443037974683544,1.0,"['a20', 'a16', 'a10', 'd14', 'a01', 'a18', 'd03', 'd09']","['a16', 'a20', 'd09', 'a18', 'd09', 'a01', 'a18', 'd03', 'a10', 'd14']",1,words_210_220.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 4 5 4 3 5 3 5 3],torne snørr sur garn gartner søster torne bryter plante ekorn,start sete ro tro trille etter tro krykke,1.0,1.0,0.41333333333333333,0.9,"['d05', 'a30', 'd04', 'a14', 'a29', 'd15', 'd18', 'a27']","['d05', 'a29', 'a29', 'd04', 'a30', 'a14', 'd15', 'a30', 'd18', 'a27']",-2,words_220_230.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 5 5 2 3 4 3 5 3],drops bygge glad sykkel skinke lys plaster blomst start hjerne,knølhl,1.0,1.0,0.39436619718309857,1.0,"['d19', 'd05', 'd12', 'a20', 'a10', 'd14', 'a11', 'a28', 'd03', 'a27']","['a20', 'a27', 'd03', 'd05', 'a11', 'a28', 'd12', 'd14', 'd19', 'a10']",-9,words_230_240.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 4 4 4 3 4 5 5 4],hjerte frø fjorten trylle sulte sjø klo internett troll munn,frank tar sølvs tusen lis hysj svart grå done sykkel joko flaske,1.0,1.0,0.40963855421686746,1.0,"['a17', 'a20', 'a02', 'a31', 'd07', 'a18', 'a13', 'a19', 'd09']","['a19', 'a20', 'a17', 'd09', 'a31', 'a02', 'a13', 'd07', 'a18', 'a20']",2,words_240_250.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 5 5 4 4 3 3 3 5 4],kran fort synge sulte kran kurv blod lun sølv søt,fortell søster gutt gutt pi nei,1.0,1.0,0.3950617283950617,1.0,"['d12', 'a20', 'd01', 'a34', 'd17', 'a23', 'a25', 'a01', 'a27']","['a25', 'd01', 'd12', 'a20', 'a23', 'a01', 'a34', 'a27', 'd17', 'a34']",-4,words_250_260.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 4 3 5 4 5 3 3 3],lytte glass tre plaster lys snø vær port bar svømme,syke stype syke dør vindu,1.0,1.0,0.36470588235294116,0.9,"['d16', 'a14', 'd07', 'd01', 'a29', 'a16', 'a23', 'a34', 'a10', 'd08']","['d08', 'd16', 'a14', 'a29', 'd01', 'd07', 'a16', 'a23', 'a34', 'a10']",-5,words_260_270.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[2 5 4 3 5 3 4 4 5 3],bygge flette hjort pute drikke fjorten pære fort flakse terning,tårn bjøll blå,1.0,1.0,0.4084507042253521,0.9,"['d05', 'd12', 'a09', 'a03', 'd01', 'a21', 'a23', 'a22', 'a06']","['a03', 'd01', 'a23', 'a21', 'd05', 'a09', 'a22', 'a23', 'd12', 'a06']",-7,words_270_280.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 3 3 4 1 5 5 3 3 4],jus snørr krykke start flaske ødelagt gutt kikkert snø snørr,tårn tårn bære,1.0,1.0,0.34408602150537637,1.0,"['d08', 'd12', 'a03', 'a31', 'a11', 'a12', 'a18', 'a33']","['a33', 'a03', 'a12', 'a31', 'a11', 'd12', 'a18', 'a18', 'a12', 'd08']",-7,words_280_290.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 4 5 5 5 2 3 3 5 3],kjerne flagg blå sjiraff børste frukt trikk skjema sport turn,kjeste vinduskj bang kjerste bær,1.0,1.0,0.38961038961038963,1.0,"['a04', 'd10', 'a31', 'a29', 'd14', 'd15', 'a28', 'a13', 'a08']","['a04', 'a29', 'd10', 'a31', 'd14', 'a08', 'a29', 'a28', 'd15', 'a13']",-5,words_290_300.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 4 4 5 3 4 5 3 2 3],flaske øre klone skjema skilpadde snø jern krykke glorie tårn,hylle skip kip vinna internett fortau drikke,1.0,1.0,0.4444444444444444,1.0,"['a03', 'a14', 'a32', 'd14', 'a22', 'a25', 'a08', 'a19', 'd09']","['a19', 'a14', 'a25', 'd14', 'a32', 'a08', 'a08', 'a22', 'd09', 'a03']",-3,words_300_310.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 4 3 5 4 3 4 4 2],rund sykkel bart pluss myk synge garn pære skjære kjerne,skjerm bi bi smør hjerte kartf stær fær fær troll,1.0,1.0,0.27848101265822783,1.0,"['a17', 'a31', 'a16', 'a22', 'a25', 'a07', 'd18', 'a15']","['a31', 'a31', 'a15', 'd18', 'a25', 'a22', 'a31', 'a16', 'a17', 'a07']",0,words_310_320.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 5 4 4 3 4 3 4 5 5],kvern fjorten rund ekorn skøyter brun bleie munn blomst sykkel,gitter tårn sterk kjerne kort ro e,1.0,1.0,0.4430379746835443,1.0,"['d05', 'd16', 'a14', 'a29', 'd11', 'a26', 'a05', 'a13', 'a06']","['a29', 'd05', 'a26', 'a06', 'a13', 'a14', 'a29', 'a05', 'd16', 'd11']",-3,words_320_330.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 4 3 5 5 3 3 5 5 3],ørn skjære skive troll smerte blomst mus skjema klappe krabbe,dør premier skip gangen krape kjeref internett sverd,1.0,1.0,0.40963855421686746,1.0,"['d05', 'd04', 'a32', 'd06', 'd17', 'a22', 'd13', 'a01', 'd18', 'd09']","['a32', 'd04', 'd05', 'd13', 'd06', 'a22', 'a01', 'd17', 'd18', 'd09']",-2,words_330_340.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[3 5 5 5 2 3 5 3 3 5],bro klem rød drops ekorn bryter søle søppel erter pluss,dør dør dør sønnør kjøkk hytte liter blir blir bli bli børsta port live,1.0,1.0,0.37681159420289856,1.0,"['a14', 'd01', 'a29', 'd17', 'a07', 'd11', 'a28', 'a13', 'a15']","['a29', 'a07', 'd01', 'd01', 'a13', 'a15', 'd17', 'a14', 'a28', 'd11']",4,words_340_350.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[5 5 5 5 5 4 3 5 4 5],mur fregner børste dør enhjørning ørn brød terning smykke kart,klole klole hø,1.0,1.0,0.44155844155844154,1.0,"['a17', 'd12', 'd10', 'a31', 'a29', 'a21', 'd15', 'd18']","['a21', 'd18', 'd10', 'a31', 'd10', 'a29', 'a17', 'd12', 'a17', 'd15']",-7,words_350_360.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
[4 3 4 3 3 4 2 3 3 5],buss planke karneval terning bar jus kvern skitten myr krone,klappe ragg frø,1.0,1.0,0.4578313253012048,1.0,"['d12', 'a03', 'a14', 'a34', 'a10', 'a16', 'd15', 'a26', 'd03']","['d03', 'a16', 'a34', 'a10', 'a14', 'a16', 'd15', 'a03', 'a26', 'd12']",-7,words_360_370.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base-verbatim
