Word,Transcribed,Wer Error,Score
hylle, Hild,1.0,1
hylle, Hulje,0.6,5
hylle, Hille,0.4,5
hylle, Hille,0.4,5
hylle, Kylle,0.2,3
hylle, Hylle,0.2,4
hylle, Hele,0.75,4
hylle, Hille,0.4,5
hylle, Hille,0.4,5
hylle, Hille,0.4,5
hylle, Hylle,0.2,3
hylle, I lue,0.6,4
hylle, Hei,1.6666666666666667,3
hylle, Hille,0.4,4
hylle, Kille,0.4,5
hylle, Ille,0.5,5
hylle, Hille,0.4,5
hylle, Hilla,0.6,2
hylle, Hille,0.4,5
hylle, Kille,0.4,3
hylle, Hjelle,0.5,2
hylle, Hilje,0.6,3
hylle, Kille,0.4,4
hylle, Hylle,0.2,4
hylle, Hylle,0.2,5
hylle, Hylle,0.2,5
hylle, Olje,0.75,3
hylle, Hullet,0.5,4
hylle, Hille,0.4,3
hylle, Hille,0.4,5
hylle, Hille,0.4,4
hylle, Hullet,0.5,4
hylle, Hidela,0.8333333333333334,2
hylle, Hele,0.75,3
hylle, Hylle,0.2,5
hylle, Illa,0.75,5
hylle, Hille,0.4,5
hylle, Hylle,0.2,5
hylle, Hille..,0.5714285714285714,4
hylle, Hylle,0.2,3
hylle, Kille,0.4,3
hylle, Hilde,0.6,4
hylle, Kille,0.4,4
hylle, Ja,2.5,3
hylle, Hylle,0.2,5
hylle, Kylle,0.2,3
hylle, Hylle,0.2,4
hylle, Hille,0.4,3
hylle, Rommet,0.8333333333333334,4
hylle, Hele..,0.8333333333333334,3
hylle, Hille,0.4,5
hylle, Hille..,0.5714285714285714,5
artist, artist?,0.14285714285714285,5
artist, Artist,0.16666666666666666,5
artist, atti?,0.6,2
artist, artist?,0.14285714285714285,3
artist, artist?,0.14285714285714285,4
artist, Artist,0.16666666666666666,5
artist, Kikkert,0.8571428571428571,2
artist, Artisk,0.3333333333333333,5
artist, er det ikke størst?,0.7368421052631579,2
artist, artist?,0.14285714285714285,5
artist, Attest til at disj,0.8333333333333334,2
artist, Du er til artist,0.625,3
artist, Kom hit,0.8571428571428571,2
artist, artist?,0.14285714285714285,3
artist, arktis!,0.2857142857142857,3
artist, og lyst!,0.75,4
artist, Artist,0.16666666666666666,4
artist, Artist,0.16666666666666666,5
artist, artist?,0.14285714285714285,5
artist, Faktisk..,0.5555555555555556,3
artist, Er dyst,0.5714285714285714,3
artist, Artist,0.16666666666666666,5
artist, August,0.6666666666666666,2
artist, Artist..,0.375,4
artist, Det er trist,0.5833333333333334,5
artist, arktis!,0.2857142857142857,3
artist, Atist,0.4,3
artist, artist?,0.14285714285714285,3
artist, det var tiss!,0.6153846153846154,5
artist, artist?,0.14285714285714285,5
artist, Et luft,0.8571428571428571,2
artist, Artis,0.4,5
artist, er dette?,0.7777777777777778,5
artist, artist?,0.14285714285714285,5
artist, artist?,0.14285714285714285,4
artist, Artist,0.16666666666666666,4
artist, Helt søtt,0.6666666666666666,3
artist, adil?,0.8,3
artist, Artist,0.16666666666666666,5
artist, Akist,0.6,3
artist, Artist,0.16666666666666666,4
artist, artist?,0.14285714285714285,5
artist, er du tiss?,0.6363636363636364,4
artist, Artist,0.16666666666666666,5
artist, Artist,0.16666666666666666,3
artist, Er tyst,0.42857142857142855,4
artist, Artist,0.16666666666666666,5
artist, Akrysj,0.8333333333333334,3
artist, Ertist,0.16666666666666666,3
artist, Artist,0.16666666666666666,5
artist, Artist,0.16666666666666666,3
artist, Artisj,0.3333333333333333,3
kart, Karter,0.5,5
kart, Kart,0.25,5
kart, Kart,0.25,4
kart, Katsj,0.8,4
kart, Katt,0.5,4
kart, Katt,0.5,3
kart, Kart,0.25,5
kart, kart?,0.2,3
kart, Kart,0.25,5
kart, Kart,0.25,5
kart, kart?,0.2,4
kart, Kaldt,0.6,4
kart, Kart,0.25,3
kart, Kart,0.25,4
kart, Kart,0.25,4
kart, Kart,0.25,5
kart, Kart,0.25,4
kart, Tuck,1.0,5
kart, Kart,0.25,5
kart, Nei,1.3333333333333333,3
kart, Kort,0.5,3
kart, Katts,0.6,3
kart, Kart,0.25,4
kart, Kart,0.25,5
kart, Kart,0.25,4
kart, Katt,0.5,3
kart, Kart,0.25,4
kart, Fart,0.25,5
kart, kort?,0.4,5
kart, Kart,0.25,4
kart, Kart,0.25,4
kart, Kart,0.25,4
kart, Kart,0.25,5
kart, Kart,0.25,4
kart, Kart,0.25,5
kart, Katt,0.5,5
kart, godt?,0.8,2
kart, Godt,0.75,3
kart, Kart,0.25,5
kart, Kart,0.25,5
kart, Greit,0.8,1
kart, Gard,0.5,3
kart, Kart,0.25,5
kart, Kart,0.25,3
kart, Gart,0.25,4
kart, Hardt,0.4,4
kart, Kart,0.25,4
kart, kanskje?,0.75,3
kart, Kvart,0.4,2
kart, Kart,0.25,5
kart, Kart,0.25,5
syr, Syv,0.6666666666666666,4
syr, Syr..,0.6,4
syr, Syv,0.6666666666666666,4
syr, Sild,1.0,3
syr, Syr,0.3333333333333333,5
syr, Skyer,0.6,4
syr, Sier..,0.8333333333333334,4
syr, Skyer..,0.7142857142857143,5
syr, Syr,0.3333333333333333,5
syr, Syr,0.3333333333333333,5
syr, Syr,0.3333333333333333,5
syr, Ser..,0.8,3
syr, Syv,0.6666666666666666,3
syr, Syr,0.3333333333333333,5
syr, sier du?,0.75,2
syr, Syr,0.3333333333333333,3
syr, Syr,0.3333333333333333,5
syr, Jeg ser..,0.7777777777777778,3
syr, Syr,0.3333333333333333,4
syr, Syr,0.3333333333333333,5
jern, jan!,0.75,3
jern, Ja,2.0,3
jern, Jerd,0.5,4
jern, Jern,0.25,5
jern, Jeg..,0.8,3
jern, Gjerne,0.3333333333333333,5
jern, Jern,0.25,3
jern, Gjør det,0.75,4
jern, Hjern,0.2,5
jern, morn!,0.6,4
jern, Jarm,0.75,3
jern, Stjern,0.3333333333333333,3
jern, Jern,0.25,4
jern, ja?,1.0,4
jern, Jeg..,0.8,4
jern, Jær,1.0,3
jern, gang?,1.0,4
jern, Bjørn..,0.5714285714285714,3
jern, Gjerne,0.3333333333333333,5
jern, Gjerdet,0.5714285714285714,3
jern, Jern,0.25,5
jern, Jern,0.25,5
jern, Ja..,1.0,4
jern, Jern..,0.5,5
jern, Hånd,1.0,4
jern, ja?,1.0,3
jern, Én..,1.0,4
jern, Jern,0.25,5
jern, jern?,0.2,5
jern, Igjen..,0.7142857142857143,4
jern, Jern,0.25,5
jern, Jern,0.25,5
