score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,terning rund horn trylle skilpadde premie munn løve vindu gartner,0.11494252873563218,0.6,forelska,0.9076923076923077,1.0,-9,"['a11', 'a25', 'a07', 'a05', 'a13', 'a08']","['a13', 'a25', 'a05', 'a11', 'a11', 'a08', 'a13', 'a07', 'a13', 'a11']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-medium
1,krakk blå sjø sølv sju skitten svart glorie trylle plante,0.2247191011235955,0.9,den der gods,0.8771929824561403,1.0,-7,"['d09', 'a11', 'a25', 'd11', 'a12', 'd13', 'a13', 'd08']","['d13', 'd11', 'd08', 'a12', 'a25', 'a12', 'd09', 'a11', 'a13', 'a12']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-medium
2,smerte blad flagg prins artist bygge flue sølv skjerm skip,0.3373493975903614,1.0,frank hidela,0.8793103448275862,1.0,-8,"['a09', 'd01', 'a29', 'a11', 'a19', 'a12', 'a01', 'a28', 'a08']","['a12', 'a08', 'a09', 'a11', 'd01', 'a28', 'a19', 'a11', 'a29', 'a01']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,bryter smerte flaske glitter erter torne glitter flagg jus kikkert,0.449438202247191,1.0,puttu,0.9545454545454546,1.0,-9,"['a32', 'a16', 'a11', 'a07', 'a25', 'a12', 'a26', 'a33', 'a06']","['a33', 'a07', 'a12', 'a32', 'a11', 'a25', 'a16', 'a12', 'a06', 'a26']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,tynn øre glitter port kropp plystre glad horn bryter fortid,0.5074626865671642,1.0,fri dindu skjelm skjalm krabbe,0.7966101694915254,1.0,-5,"['a17', 'a03', 'd10', 'a34', 'a21', 'a11', 'a01', 'a13']","['a03', 'a01', 'a17', 'a34', 'a11', 'a11', 'a21', 'd10', 'a13', 'a01']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,tårn drops grave flagg skjorte frukt krakk bryter briller bryter,0.05333333333333334,0.3,svømme brenne,0.875,1.0,-8,"['d19', 'a17', 'a34', 'd14', 'a07', 'a13', 'a08', 'a06', 'a27']","['a34', 'a13', 'a07', 'a27', 'a17', 'a08', 'a13', 'd19', 'd14', 'a06']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,karneval rund trapp søt brun glitter glis krabbe fortau horn,0.25842696629213485,1.0,kropp den plante,0.8333333333333334,1.0,-7,"['a30', 'a04', 'a03', 'a31', 'a29', 'a07', 'a12', 'a18', 'a05', 'a27']","['a12', 'a04', 'a30', 'a31', 'a29', 'a05', 'a18', 'a03', 'a27', 'a07']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,skøyter synge klo glorie skitten glorie smerte smør hjort turn,0.3473684210526316,1.0,,1.0,1.0,-9,"['d19', 'a14', 'a34', 'a10', 'd14', 'a21', 'a11']","['d19', 'a21', 'a34', 'd19', 'a10', 'd14', 'a14', 'a11', 'a11', 'a11']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,søle enhjørning plaster skitten fjorten glør sur glad øre kvern,0.4266666666666667,1.0,søt smør søt sjalolje brød,0.7777777777777778,1.0,-5,"['a30', 'a21', 'a11', 'a07', 'a25', 'a01', 'a05', 'a13', 'a33']","['a11', 'a21', 'a01', 'a07', 'a05', 'a13', 'a25', 'a30', 'a11', 'a33']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
2,søppel artist ødelagt sju flue skip grave plystre skilpadde ugle,0.5056179775280899,1.0,unker det,0.890625,1.0,-8,"['a17', 'a31', 'a29', 'a21', 'a12', 'a01', 'a26', 'a28', 'a06']","['a31', 'a12', 'a17', 'a12', 'a21', 'a06', 'a29', 'a26', 'a01', 'a28']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-medium
3,ødelagt lytte trikk rød artist enhjørning troll gutt blomst brun,0.11494252873563218,0.6,skjenke blåstøy søre blomst søre,0.765625,0.9,-5,"['d19', 'a17', 'a04', 'a02', 'a03', 'a25', 'a19', 'a18', 'a15', 'd08']","['a03', 'a02', 'a25', 'a04', 'a18', 'a17', 'd19', 'a15', 'a19', 'd08']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,skjære kurv løve sjiraff skive rød ny klappe knær svart,0.2247191011235955,0.9,hjørne klistre plante frø lite rør søne trykk,0.7272727272727273,1.0,-2,"['a30', 'd05', 'a03', 'a21', 'd13', 'a18', 'a26', 'a15']","['a15', 'a26', 'a30', 'a21', 'd05', 'd13', 'a15', 'a03', 'a30', 'a18']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,hus bart smør skjære glass stupe vindu mus klar knar,0.3373493975903614,1.0,gryter fortid glønn prins hadrun turn gur skyve,0.7692307692307693,1.0,-2,"['a04', 'a15', 'a02', 'd14', 'a01', 'a26', 'a18', 'a19', 'a06', 'a27']","['a02', 'd14', 'a01', 'a26', 'a27', 'a06', 'a19', 'a04', 'a15', 'a18']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,glør trille prins kort ku fregner kart planke hund skinke,0.449438202247191,1.0,kikkert kuler grør skjorte kaki pol sky snørr klole,0.7192982456140351,1.0,-1,"['d05', 'd04', 'a31', 'd06', 'a16', 'a10', 'a08', 'a05', 'a15', 'a06']","['d04', 'a16', 'a05', 'd06', 'a06', 'a10', 'a15', 'a31', 'd05', 'a08']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,lun snø hjerte klone flaske terning hund skjerf frakk bror,0.5074626865671642,1.0,hund fakse pjolle bjørn ball bryter bjørn,0.7241379310344828,1.0,-3,"['a15', 'a09', 'a14', 'a32', 'a34', 'a11', 'a05', 'a08', 'a27']","['a27', 'a09', 'a34', 'a14', 'a08', 'a32', 'a09', 'a11', 'a15', 'a05']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,brød skive brød hjørne lys briller ekorn frukt artist lytte,0.05333333333333334,0.3,triller hilla sky huske tyn grue drube søster svømmer svart,0.8305084745762712,1.0,0,"['a04', 'a02', 'd04', 'a14', 'a16', 'a21', 'a18', 'd03', 'a06']","['a06', 'a18', 'd03', 'a02', 'a04', 'a14', 'a21', 'd04', 'a06', 'a16']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,brun svart sjakk stjerne vindu glad ørn horn pute huske,0.25842696629213485,1.0,kofferts tårnet bike bra dynne sky klikke grikke blø glitter,0.9090909090909091,1.0,0,"['d05', 'a17', 'a20', 'a09', 'a21', 'd15', 'a25', 'a01', 'a26', 'a33']","['a33', 'a26', 'a01', 'a20', 'd05', 'a17', 'a21', 'd15', 'a09', 'a25']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,krone by øre grønn internett bar skitten drikke hjort fjorten,0.3473684210526316,1.0,svart ekorn tårn blåke løpe stjerne lill,0.7377049180327869,1.0,-3,"['a34', 'a21', 'a22', 'a01', 'a28', 'a08', 'd09', 'a15']","['a28', 'a01', 'a21', 'a08', 'a34', 'a34', 'd09', 'a15', 'a22', 'a01']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,torne blyant skjerf by glass ku vindu premie hylle drue,0.4266666666666667,1.0,krabbe stube skjøtte trylle tutte skitten trør,0.7818181818181819,1.0,-3,"['d19', 'd05', 'd12', 'a02', 'a32', 'a34', 'a29', 'a21', 'd18']","['a32', 'd05', 'd18', 'd19', 'a21', 'a32', 'a34', 'd12', 'a02', 'a29']",words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,by flakse barn plystre løve skjorte grønn bra flakse fortid,0.5056179775280899,1.0,støffel sykkel trygg svett frykt blod stupe tone syer ro,0.8305084745762712,1.0,0,"['a03', 'a14', 'a31', 'a10', 'a29', 'a26', 'a28', 'a05', 'a13']","['a29', 'a14', 'a05', 'a28', 'a10', 'a05', 'a31', 'a26', 'a13', 'a03']",words_90_100.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,kropp drue korn blå tralle fortau start skjerm lue rød,0.22988505747126436,1.0,blyant,0.9259259259259259,1.0,-9,"['d17', 'a10', 'd15', 'a22', 'a07', 'a18', 'a26', 'a01', 'a27']","['a07', 'd17', 'd15', 'a27', 'a26', 'a22', 'a18', 'a10', 'a07', 'a01']",words_100_110.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,glis klar blokk bror svømme torne søster kran ekorn flue,0.3493975903614458,1.0,der,0.9642857142857143,1.0,-9,"['a30', 'd09', 'd16', 'a16', 'a21', 'a18', 'a28', 'a33', 'a27']","['a27', 'a18', 'a16', 'a33', 'd16', 'a30', 'a16', 'a21', 'a28', 'd09']",words_110_120.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
3,skulder sykkel planke krakk bro by mus bygge ørn svømme,0.43209876543209874,1.0,fur tårn skuldi flakse bart lytter lytte,0.7272727272727273,1.0,-3,"['a30', 'd08', 'a09', 'a03', 'a02', 'a07', 'd11', 'a26', 'a19', 'a33']","['a03', 'a09', 'a07', 'a33', 'a26', 'a19', 'd11', 'a30', 'd08', 'a02']",words_120_130.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-medium
