speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn bæsj bæsj blubb blubb blubb blubb blubb blyan,0.42105263157894735,0.8,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bø bø bø bø bø bø bø bø bø bø bø bøg bøg,0.6111111111111112,1.3,3,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn bjørn børr klar røye blokk bramst,0.5263157894736842,0.7,-3,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste riller bro ja går rir den bruter børs bi,0.4074074074074074,0.8,0,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist bar boch hjelp broch broch blokk gromps,0.5263157894736842,0.8,-2,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5068493150684932,1.0,brilli bero brille bror briter bricer bricer binni binni dør,0.5660377358490566,0.9,0,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn bart bjørn blå blå brød brok bromst briant,0.3157894736842105,0.6,-1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,briller bro brød brr brinn bryter buss b begge,0.2222222222222222,0.5,-1,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn bitch brom bro,0.6491228070175439,0.8,-5,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,verste briller brød brød brød brød grønn brutter puss bi ikke,0.3888888888888889,0.9,1,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,romst vøye,0.8771929824561403,1.0,-8,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,brøl brøl brøl,0.8148148148148148,1.0,-7,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,bånd,0.9473684210526315,1.0,-9,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,blod blod blod blod blod buss by bygd,0.5370370370370371,0.8,-2,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn ats bjørn broht rad breie brokk bromst,0.45614035087719296,0.8,-2,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,verst brun brun brun brun brun,0.6111111111111112,0.9,-4,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a09,[3 3 5 2 2 3 3 5 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,arkist barn bark børn bror blomst blomst breent,0.38596491228070173,0.8,-2,a09_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a09,[4 2 4 4 2 5 3 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste brøl brøl brøl brøl bryter buss,0.4074074074074074,0.7,-3,a09_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a10,[5 5 4 3 2 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn bach bjørn brag brad braie bromst briant,0.2982456140350877,0.7,-1,a10_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a10,[3 3 5 3 4 4 4 5 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste psyller bro bro bro brun bryter buss by bikke,0.16666666666666666,0.4,0,a10_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a11,[2 3 3 4 3 2 3 4 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,blomst blomst bløt,0.7719298245614035,0.9,-7,a11_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a11,[3 1 4 4 1 2 2 3 3 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,beste bare rydd,0.8148148148148148,1.0,-7,a11_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a12,[2 2 3 2 1 1 2 2 3 1],artist barn bart bjørn blå blad bleie blomst blyant børste,0.5057471264367817,1.0,brannbøyten bjørn,0.8275862068965517,0.9,-8,a12_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a12,[2 3 3 1 3 4 2 5 3 4],briller bro brød bror brun bryter bygge dør drikke drops,0.5068493150684932,1.0,driller drøm drøm hvor drun drøm drøm drikke drap drap,0.5,1.0,0,a12_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a13,[2 2 3 3 4 3 4 4 4 4],artist bart bjørn blå blad bleie blokk blomst blyant børste,0.5057471264367817,1.0,piano,0.9322033898305084,1.0,-9,a13_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a13,[2 3 3 3 3 2 5 3 3 3],briller bro brød bror brun bryter buss by bygge dør,0.5068493150684932,1.0,blod blod blod blod buss bil pudding,0.6470588235294118,0.9,-3,a13_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a14,[3 5 3 5 3 5 5 5 3 5],artist bær bar barn bart bjørn blå blad bleie blod,0.5057471264367817,1.0,arktis bær bær barn barn bjørn blå blå,0.34,0.6,-2,a14_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a14,[5 4 4 5 5 3 3 5 5 2],blokk blomst blyant børste bra brå briller bro brød bror,0.5068493150684932,1.0,blokk blomst lient børste bra rå lille bro brød bros,0.14285714285714285,0.4,0,a14_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a15,[4 3 3 5 4 3 3 4 3 4],artist bær bar barn bart bjørn blå blad bleie blod,0.5057471264367817,1.0,artist bæl hvalt barn bart bjørn bølla blad bleinge blod,0.2,0.4,0,a15_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a15,[3 3 3 4 3 2 2 3 3 2],blokk blomst blyant børste bra brå briller bro brød bror,0.5068493150684932,1.0,blakk blomst belient beste blad blad blod bløt,0.42857142857142855,0.9,-2,a15_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a16,[5 5 5 5 4 5 3 3 3 4],artist bær bar barn bart bjørn blå blad bleie blod,0.5057471264367817,1.0,artist bær barn barn bjørn brå,0.44,0.6,-4,a16_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a16,[3 5 5 4 5 3 5 5 5 5],blokk blomst blyant børste bra briller bro brød bror brun,0.5068493150684932,1.0,brokk blomst blyant børste bra triller brun brun,0.22807017543859648,0.5,-2,a16_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a17,[5 5 5 5 5 3 4 3 4 4],artist bær bar barn bart bjørn blå blad bleie blod,0.5057471264367817,1.0,artist bær barn barn bjørn blod,0.4,0.5,-4,a17_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a17,[3 3 4 4 5 5 3 4 3 4],blokk blomst blyant børste bra brå briller bro brød bror,0.5068493150684932,1.0,brokk blomst lignende børste bror brå bror,0.4642857142857143,0.6,-3,a17_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
a18,[3 4 4 4 4 5 5 4 4 5],artist bær bar barn bart bjørn blå blad bleie blod,0.5057471264367817,1.0,ertist bær bar bær bær bjørn blå,0.42,0.6,-3,a18_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base
