score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
[5 4 2 4 3 5 2 3 1 3],sølv koffert gartner kort kurv snørr smart bar hjørne tynn,det ligger grør smerte trykk snø serne gulørie? kart,,,"[1.0, 1.0, 0.5, 0.6666666666666666, 0.75, 1.0, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333]",6.083333333333333,1.0,"['d02', 'd04', 'a34', 'd17', 'a29', 'a11', 'a08', 'a13', 'a15']","['d02', 'd17', 'a15', 'a29', 'a34', 'd04', 'a11', 'a15', 'a08', 'a13']",-1,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,0.6896551724137931,1.0
[3 3 5 4 4 3 5 5 5 3],bro hylle tær bjørn flue pluss søppel blomst skulder fly,plaster skilpadde sky blystre likes koreanen skjerm,,,"[0.6666666666666666, 0.75, 1.0, 1.0, 0.75, 0.75, 1.0, 1.0, 1.0, 0.6666666666666666]",8.583333333333332,1.0,"['a20', 'a03', 'd10', 'd01', 'a16', 'a29', 'd17', 'a07', 'a01', 'a28']","['a03', 'a07', 'a16', 'a29', 'a01', 'a20', 'd10', 'd01', 'd17', 'a28']",-3,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,0.8392857142857143,1.0
[2 3 5 4 4 3 4 5 4 2],plante krone skilpadde mur skitten start bart hytte troll bygge,fredde dyne bjørn kart erter grone gris blad,,,"[0.6666666666666666, 0.6, 1.0, 0.6666666666666666, 0.75, 0.75, 0.6666666666666666, 1.0, 0.75, 0.5]",7.35,1.0,"['d12', 'd04', 'a03', 'a34', 'a23', 'a07', 'a01', 'a28', 'd09', 'a27']","['a07', 'a28', 'd04', 'a23', 'a34', 'a01', 'd12', 'd09', 'a27', 'a03']",-2,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7142857142857143,1.0
[5 4 4 5 4 3 3 3 4 5],krakk brød krakk brun smerte rød flette turn brun start,kule kule kule kule kule,,,"[1.0, 0.6666666666666666, 0.75, 1.0, 1.0, 0.5, 0.8, 0.3333333333333333, 1.0, 1.0]",8.05,1.0,"['a32', 'd01', 'a16', 'a11', 'd11', 'a26', 'd18', 'a13']","['d18', 'a26', 'd11', 'd01', 'a16', 'a13', 'a11', 'a32', 'd11', 'd18']",-5,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7818181818181819,1.0
[3 5 5 5 4 3 4 5 5 4],koffert bart flagg flakse fort sverd søt ekorn frukt frakk,finne du grave? starr? borre skikket bi breie,,,"[0.8, 1.0, 1.0, 1.0, 0.6666666666666666, 0.6, 0.6666666666666666, 1.0, 1.0, 0.75]",8.483333333333333,1.0,"['d05', 'a03', 'd01', 'a10', 'a29', 'a11', 'a22', 'a01', 'a18', 'a19']","['a01', 'a19', 'd05', 'd01', 'a11', 'a22', 'a10', 'a03', 'a29', 'a18']",-2,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7413793103448276,1.0
[5 3 5 3 5 3 4 2 4 5],dyne flakse vindu søppel ødelagt nøkkel start løve hylle buss,gul pult drops fort prøv frykt gris,,,"[1.0, 0.8333333333333334, 1.0, 0.8, 1.0, 0.6, 0.75, 0.5, 1.0, 1.0]",8.483333333333334,1.0,"['a09', 'd04', 'a32', 'a10', 'a25', 'a28', 'a13', 'a33']","['a13', 'a28', 'd04', 'a09', 'a33', 'a25', 'a10', 'a13', 'a13', 'a32']",-3,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7704918032786885,1.0
[5 4 4 5 3 4 3 5 4 3],skjerf frakk kikkert drops frukt krabbe port sju lue pute,grå vet det? pytte stær port tårn,,,"[1.0, 1.0, 0.8, 1.0, 0.8, 0.8, 0.6666666666666666, 1.0, 0.6666666666666666, 0.75]",8.483333333333334,1.0,"['d02', 'a29', 'd14', 'a23', 'd11', 'd13', 'a28', 'd18', 'a19']","['a23', 'a19', 'd13', 'd18', 'd11', 'd14', 'a23', 'd02', 'a29', 'a28']",-3,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7543859649122807,0.9
[3 5 4 3 4 5 2 3 5 2],huske blyant fjorten lærer snørr stjerne skjerm mus kø fortau,fire bra,,,"[0.8, 1.0, 0.8, 0.6, 1.0, 1.0, 0.25, 0.6666666666666666, 1.0, 0.25]",7.366666666666667,1.0,"['d02', 'a04', 'd10', 'd07', 'a21', 'a01', 'd03', 'a15', 'd08', 'a27']","['d03', 'd02', 'd08', 'a27', 'a21', 'd07', 'a15', 'd10', 'a04', 'a01']",-8,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,0.9016393442622951,1.0
[5 4 5 2 3 4 5 3 5 1],skjære ekorn smart skjerm skjerf klær lue glør dør terning,stupe stupe? trolig gjerne slapp ferdig ødelagt plaster,,,"[1.0, 1.0, 1.0, 0.5, 0.75, 0.75, 1.0, 0.75, 1.0, 0.0]",7.75,0.9,"['d12', 'a09', 'a16', 'a29', 'a23', 'd11', 'd13', 'a07', 'a18', 'a13']","['a16', 'a09', 'd12', 'a13', 'a18', 'a23', 'd13', 'a29', 'd11', 'a07']",-2,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7758620689655172,1.0
[3 4 5 5 5 5 5 4 4 3],krone ørn plaster flette skjørt kø horn dyne tre enhjørning,smikke drø kloss lyde lys skjørt trylle koffert,,,"[0.8, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.8571428571428571]",8.823809523809524,1.0,"['a20', 'd01', 'a16', 'd17', 'a22', 'd13', 'a18', 'd18', 'd03']","['a16', 'd01', 'd03', 'd18', 'a20', 'a18', 'd13', 'd17', 'a22', 'd03']",-2,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,0.6949152542372882,1.0
[1 2 4 4 5 3 2 5 2 4],kvern vindu ørn ugle ørn glass flue skjema søle ni,press sky blomst barn bryst skrø skøyter,,,"[0.0, 0.6, 0.5, 1.0, 1.0, 0.75, 0.5, 1.0, 0.5, 1.0]",6.85,0.9,"['d04', 'a02', 'a03', 'a32', 'a14', 'd01', 'a11', 'a25']","['a03', 'a25', 'a02', 'a02', 'd04', 'a32', 'a11', 'd01', 'a11', 'a14']",-3,words_100_110.wav,../3x10_Concatenations/3x10_no_group_mixed,0.76,1.0
[3 5 4 3 5 5 5 5 3 5],drue troll skip klem ski kort terning fregner bra prins,blomst sjakk sju søster jus ni klem,,,"[0.75, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0]",8.833333333333332,1.0,"['d19', 'd12', 'd04', 'a14', 'a32', 'd17', 'a22', 'a26']","['a22', 'd12', 'a26', 'a14', 'a32', 'd19', 'd04', 'd12', 'a26', 'd17']",-3,words_110_120.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7636363636363637,1.0
[5 5 4 5 2 3 4 5 4 5],fort jern skive kort grønn lue tær frukt terning lytte,smerte miguel skjegg,,,"[1.0, 1.0, 1.0, 1.0, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0]",8.833333333333332,1.0,"['a14', 'a32', 'd17', 'a21', 'a23', 'd15', 'd13', 'a12', 'a19', 'd08']","['d13', 'd17', 'a32', 'a19', 'a12', 'a21', 'a23', 'a14', 'd08', 'd15']",-7,words_120_130.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7962962962962963,1.0
[4 3 5 5 5 4 3 4 2 5],torne sju port stjerne sjø skilpadde dyne drue vindu ni,klar kjære ekorn kjære kurs dramst snø kjære knall,,,"[1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 0.4, 1.0]",8.65,1.0,"['d02', 'a17', 'a30', 'a20', 'a09', 'a03', 'a16', 'a12', 'a28', 'a33']","['a03', 'a17', 'a16', 'd02', 'a20', 'a28', 'a12', 'a30', 'a09', 'a33']",-1,words_130_140.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7454545454545455,1.0
[3 3 3 5 3 1 5 5 3 5],fjorten dykke trapp ku svart svart dør kran støvel lytte,skli smikke ski ja skru press hull svært,,,"[0.8, 0.75, 0.75, 1.0, 0.5, 0.0, 1.0, 1.0, 0.3333333333333333, 1.0]",7.133333333333333,0.9,"['d09', 'd16', 'a03', 'd01', 'a10', 'd18', 'a08', 'd08', 'a06']","['a06', 'd16', 'a03', 'd08', 'a08', 'd09', 'd08', 'd18', 'a10', 'd01']",-2,words_140_150.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7321428571428571,1.0
[5 3 3 5 5 4 4 5 4 3],skip lytte krone sju fjorten krabbe kart kort skjema pære,hytte hytte hjørne hjørne frøte,,,"[1.0, 0.75, 0.8, 1.0, 1.0, 0.8, 0.6666666666666666, 1.0, 1.0, 0.75]",8.766666666666666,1.0,"['a02', 'a31', 'd01', 'a29', 'd15', 'a23', 'd11', 'a18', 'a28', 'a05']","['d15', 'd11', 'a05', 'a18', 'd01', 'a28', 'a23', 'a31', 'a02', 'a29']",-5,words_150_160.wav,../3x10_Concatenations/3x10_no_group_mixed,0.7192982456140351,1.0
[2 3 5 5 4 4 5 5 4 5],drue mus bro kran sjakk ugle koffert fly sju by,gard søster er tist ugle gard smart uggere hun gud,,,"[0.5, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 0.5, 1.0]",8.416666666666666,1.0,"['d19', 'd09', 'a17', 'd07', 'd15', 'a22', 'a01', 'd18', 'd03']","['d19', 'd19', 'd15', 'd07', 'a22', 'a01', 'd18', 'd03', 'd09', 'a17']",0,words_160_170.wav,../3x10_Concatenations/3x10_no_group_mixed,"[1.0, 1.6666666666666667, 0.6666666666666666, 1.0, 1.0, 1.0, 0.7142857142857143, 2.0, 1.0, 1.5]",1.0
