score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,krabbe kvart horn sjakk kvern tjern fjorten kurv rød premie,0.11494252873563218,0.6,bare rygg for jeg skal klile er det langt unnskyld født 2,0.7627118644067796,1.2,2,"['d19', 'a03', 'a11', 'a07', 'a01', 'a13', 'a15', 'd08', 'a06']","['a15', 'a01', 'a06', 'd19', 'a03', 'd08', 'a07', 'a11', 'a07', 'a13']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base
1,søt drue hjort horn tårn pluss glorie trylle ødelagt terning,0.2247191011235955,0.9,garn,0.9333333333333333,1.0,-9,"['d16', 'd17', 'a11', 'a25', 'a07', 'a13', 'd08']","['a07', 'a07', 'a13', 'a25', 'a07', 'd08', 'd16', 'a07', 'd17', 'a11']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base
2,trapp by ugle glorie søster prins port horn søle trapp,0.3373493975903614,1.0,ibs,0.9629629629629629,1.0,-9,"['a09', 'a02', 'a32', 'a34', 'a10', 'a23', 'a11', 'a13', 'd08']","['a13', 'a32', 'a23', 'a10', 'a09', 'a11', 'a34', 'd08', 'a02', 'a02']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,skulder krabbe kart briller krone klo garn rund flue frukt,0.449438202247191,1.0,grønn bo skåne ekorn gatene klunet sjekkel,0.7758620689655172,1.0,-3,"['d19', 'a04', 'a20', 'a21', 'a25', 'a01', 'a13', 'a15', 'd09']","['a15', 'a21', 'a25', 'a01', 'a15', 'd19', 'd09', 'a04', 'a20', 'a13']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,fortau enhjørning glorie løve enhjørning skjorte hylle bror drikke gul,0.5074626865671642,1.0,fri igge skjelm skjelm krabbe love skjeen en sånn til potj,0.8,1.1,1,"['d19', 'a20', 'a09', 'a12', 'a01', 'a13', 'a15', 'd09']","['a01', 'a12', 'a01', 'd09', 'a15', 'a20', 'd19', 'a09', 'a13', 'a12']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,huske ørn fugl fortau frakk lærer enhjørning glitter horn flakse,0.05333333333333334,0.3,klem,0.953125,1.0,-9,"['a02', 'a23', 'a07', 'a01', 'a26', 'a13', 'a15']","['a07', 'a13', 'a15', 'a23', 'a01', 'a26', 'a23', 'a07', 'a26', 'a02']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,troll munn støvel kikkert port glad rund smart flagg skjema,0.25842696629213485,1.0,jeg kler den,0.864406779661017,1.0,-7,"['a30', 'a03', 'a14', 'a11', 'a07', 'a12', 'd08']","['a11', 'a12', 'a03', 'a03', 'a11', 'a30', 'a07', 'a11', 'a14', 'd08']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,glitter skjema horn kvern klo ugle skøyter brun kvern snørr,0.3473684210526316,1.0,det er flaut,0.864406779661017,1.0,-7,"['d19', 'a30', 'a32', 'a23', 'a11', 'a07', 'a12', 'a08', 'a33']","['a23', 'a07', 'a30', 'a33', 'a32', 'a12', 'd19', 'd19', 'a08', 'a11']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,snørr blomst sølv garn brå blod briller brun kikkert tre,0.4266666666666667,1.0,søppelkorn søppelkorn,0.8392857142857143,1.0,-8,"['a02', 'a32', 'a16', 'a11', 'a25', 'a12', 'a13', 'a06']","['a02', 'a12', 'a02', 'a06', 'a25', 'a32', 'a12', 'a11', 'a16', 'a13']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,tralle glør klo løve garn gartner skjerm flue erter artist,0.5056179775280899,1.0,unker det ja plutselig,0.7931034482758621,1.0,-6,"['a03', 'd01', 'a21', 'a23', 'a11', 'a25', 'a13', 'a15', 'd08']","['d08', 'a13', 'a11', 'a25', 'a21', 'a23', 'a15', 'a11', 'a03', 'd01']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
3,huske trylle svare flue smerte drue planke fly karneval søt,0.11494252873563218,0.6,skjenke brors blue skjern lys snø blomst kjære verst,0.6779661016949152,1.0,-1,"['a30', 'a02', 'a19', 'a01', 'a18', 'a28', 'a05', 'd03', 'a08', 'd09']","['a30', 'a08', 'a18', 'd09', 'a01', 'd03', 'a28', 'a02', 'a05', 'a19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,tjern søle plante løve plystre kikkert erter ekorn tær port,0.2247191011235955,0.9,skyve se hopp hjørnet lystelig glem det for å like redde sønne trykk,0.8983050847457628,1.3,3,"['a30', 'a02', 'a14', 'a32', 'd07', 'a16', 'a13', 'a27']","['a30', 'a32', 'a02', 'a16', 'a16', 'd07', 'a27', 'a14', 'a32', 'a13']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,blokk snørr glis løve krone skive premie kort stær port,0.3373493975903614,1.0,grytter klarer det får du tid blod i lønn prins torden gur skyve,0.9090909090909091,1.3,3,"['d19', 'a30', 'd12', 'a03', 'a31', 'a10', 'a29', 'a11', 'a05', 'a15']","['a05', 'd19', 'a29', 'a10', 'a30', 'a03', 'd12', 'a11', 'a15', 'a31']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,glør ekorn grå skulder synge grønn karneval klem kikkert artist,0.449438202247191,1.0,kylling kjøtt kjøtt,0.8412698412698413,1.0,-7,"['d02', 'a02', 'a09', 'a34', 'a23', 'a08', 'd09', 'a06', 'a15']","['a06', 'd02', 'd09', 'a34', 'a08', 'a02', 'a09', 'a23', 'a15', 'a06']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,drops kropp skive blod trapp trapp trapp turn terning støvel,0.5074626865671642,1.0,fakse kjolle be ball brytur nei,0.7333333333333333,1.0,-4,"['a30', 'a29', 'd14', 'a10', 'a23', 'd11', 'a01', 'a08', 'a15']","['d14', 'a29', 'a29', 'a30', 'd11', 'a15', 'a08', 'a10', 'a23', 'a01']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,ekorn lue kort jern skive klo støvel torne flagg krykke,0.05333333333333334,0.3,triller hilla sky huske tyven okre drue søster svømme svart,0.8727272727272727,1.0,0,"['a10', 'a23', 'a07', 'a12', 'a18', 'a19', 'd09', 'a15']","['a12', 'a23', 'a23', 'a18', 'a10', 'a19', 'a10', 'a15', 'd09', 'a07']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,smerte klappe rød sky turn flakse mus prins sylte trylle,0.25842696629213485,1.0,hvorfor det tårnet bike bra dynene i sky eller ikke,0.7857142857142857,1.0,0,"['a30', 'a04', 'a09', 'a31', 'a21', 'a11', 'a19', 'a01', 'a15']","['a15', 'a31', 'a11', 'a04', 'a09', 'a21', 'a30', 'a21', 'a19', 'a01']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,trykk knar hus glorie frakk kvern myk bygge flaske bær,0.3473684210526316,1.0,ekorn hva gjør du der tor lange løpe stjerne nyll bare ril,0.8518518518518519,1.2,2,"['a04', 'a20', 'a34', 'a10', 'd14', 'a21', 'a25', 'a28', 'a15', 'a27']","['a20', 'a27', 'a25', 'a34', 'd14', 'a04', 'a28', 'a21', 'a10', 'a15']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,drikke grave gul glitter flakse torne skjorte korn drue svømme,0.4266666666666667,1.0,stupe trylle,0.8870967741935484,1.0,-8,"['a09', 'a32', 'd10', 'a31', 'd15', 'a25', 'a19', 'a18', 'a08', 'a15']","['a25', 'a09', 'd10', 'a15', 'a31', 'a19', 'a08', 'a32', 'd15', 'a18']",words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,hund trikk rund glad knar flakse artist blå smerte klar,0.5056179775280899,1.0,søkkel tørrik søkk flykt blod det gjorde det tone syr bro,0.8,1.1,1,"['d05', 'a02', 'a03', 'a32', 'a21', 'a23', 'a01', 'a13', 'a19', 'd08']","['d05', 'a21', 'a13', 'a01', 'a32', 'a23', 'a03', 'a02', 'd08', 'a19']",words_90_100.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,svart skive kran horn bleie støvel ny plystre lytte trikk,0.22988505747126436,1.0,krone fordi start kikkert kø minus brød kjøtt blyant,0.8245614035087719,1.0,-1,"['d19', 'a30', 'a09', 'a14', 'a34', 'a19', 'a26', 'a28', 'a15', 'a27']","['d19', 'a34', 'a09', 'a27', 'a26', 'a14', 'a15', 'a19', 'a30', 'a28']",words_100_110.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,grå flette flagg hytte fugl pute kjerne by lyn søle,0.3493975903614458,1.0,der robb frue knar hidda froske kjell kjell,0.7450980392156863,1.0,-2,"['a04', 'a09', 'a03', 'a34', 'a23', 'a11', 'a07', 'a26', 'a13']","['a09', 'a04', 'a13', 'a26', 'a23', 'a07', 'a23', 'a34', 'a11', 'a03']",words_110_120.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,kart sju svart turn vindu port blad rød stjerne drikke,0.43209876543209874,1.0,fyr kropp tårn skulder frakse vert nitter lytter,0.7592592592592593,1.0,-2,"['a04', 'a14', 'd11', 'a12', 'a01', 'a28', 'd08']","['a12', 'd08', 'a04', 'a14', 'a28', 'd11', 'a04', 'a01', 'a12', 'a12']",words_120_130.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,blå ekorn brød ørn trykk enhjørning krykke flaske synge skilpadde,0.5057471264367817,1.0,kval kurv,0.9384615384615385,1.0,-8,"['a03', 'a16', 'a21', 'a23', 'a26', 'a28', 'a05', 'a19', 'd08', 'a27']","['a19', 'a27', 'a05', 'a03', 'a26', 'a28', 'd08', 'a16', 'a23', 'a21']",words_130_140.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,artist kurv trikk sky terning sjakk kjerne myk fregner brun,0.26881720430107525,1.0,krakk litt bær sport pros kaen flaske flakse kille gå,0.7966101694915254,1.0,0,"['a32', 'a34', 'a10', 'a23', 'a22', 'a12', 'a26', 'a05', 'd08']","['a05', 'a12', 'a22', 'a05', 'a32', 'd08', 'a10', 'a23', 'a26', 'a34']",words_140_150.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,ugle klo skive krone blomst søster krone bro bror smør,0.3246753246753247,1.0,frette fart sorg brad sjul grå karianen kortauer,0.7407407407407407,1.0,-2,"['a02', 'a03', 'd04', 'a16', 'd14', 'a11', 'a07', 'a25', 'd08', 'a06']","['a06', 'a03', 'a16', 'a07', 'a11', 'a25', 'd08', 'd14', 'a02', 'd04']",words_150_160.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,skjorte skjorte gartner bra briller buss trykk skitten hus rund,0.43209876543209874,1.0,hjelp,0.9523809523809523,1.0,-9,"['a34', 'a10', 'a23', 'a11', 'a08', 'a28', 'a15', 'a33', 'a27']","['a27', 'a23', 'a28', 'a33', 'a28', 'a15', 'a34', 'a08', 'a11', 'a10']",words_160_170.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,knar smart skulder gul flakse glitter grave turn tre svart,0.5060240963855421,1.0,nøkker,0.9137931034482759,1.0,-9,"['a09', 'a03', 'd06', 'a08', 'a23', 'a26', 'a19', 'd08', 'a15']","['a23', 'a15', 'd06', 'a03', 'a19', 'a26', 'a15', 'd08', 'a08', 'a09']",words_170_180.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,smart prins hus sjakk grønn søle munn smør frø hjørne,0.24175824175824176,0.9,blomst hjerne jo igge det lytte bær kroppe bra,0.8113207547169812,1.0,-1,"['a04', 'a02', 'a03', 'a31', 'd17', 'a07', 'a12', 'a26', 'a15']","['a12', 'a31', 'a02', 'd17', 'a03', 'a26', 'a04', 'a15', 'a07', 'a26']",words_180_190.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,drue sølv glør flette fjorten sjø skitten blyant ny sky,0.35802469135802467,1.0,arke pol kurf egg fri kull lyn tiapp,0.6727272727272727,1.0,-2,"['a30', 'a34', 'a29', 'a18', 'a13', 'a19', 'd09', 'a06']","['a29', 'd09', 'a19', 'a06', 'd09', 'a34', 'a13', 'a06', 'a30', 'a18']",words_190_200.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,kropp stupe skitten briller by krakk dør klappe drue øre,0.39759036144578314,1.0,mus jappen,0.875,1.0,-8,"['a04', 'a10', 'a29', 'a11', 'a22', 'd13', 'a12', 'd08', 'a06', 'a27']","['d13', 'a11', 'a27', 'a10', 'a22', 'a12', 'a29', 'd08', 'a04', 'a06']",words_200_210.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,plante bleie fly skjørt søster skjema kvart glorie svømme myk,0.5063291139240507,1.0,johs bryant svare syk gloria,0.7377049180327869,1.0,-5,"['d12', 'a20', 'a09', 'a03', 'a14', 'a34', 'a10', 'a11', 'a22', 'a27']","['a11', 'a09', 'a34', 'a27', 'a10', 'a22', 'd12', 'a20', 'a03', 'a14']",words_210_220.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,karneval hytte tjern bjørn kjerne pute glass port trapp smart,0.22988505747126436,0.9,braie drue gro finnel flaske please gardner jernet,0.7377049180327869,1.0,-2,"['a30', 'a09', 'a02', 'a14', 'a07', 'a18', 'a26', 'a06']","['a14', 'a07', 'a09', 'a26', 'a30', 'a09', 'a02', 'a18', 'a06', 'a14']",words_220_230.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,søppel stjerne garn gartner enhjørning jern kvern flagg plystre sport,0.3333333333333333,1.0,gro jørn støvler krøp sema tørr krønt lys,0.7391304347826086,1.0,-2,"['a04', 'a09', 'a03', 'a02', 'a32', 'a23', 'a25', 'a13', 'a19', 'd08']","['a13', 'a19', 'a09', 'a04', 'd08', 'a03', 'a32', 'a25', 'a02', 'a23']",words_230_240.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,klone smør frø drops garn fortid klo kvart krakk klo,0.43661971830985913,1.0,smart blomst kort myk klar sminke skjell fem,0.7692307692307693,1.0,-2,"['a30', 'a34', 'a29', 'a22', 'a18', 'a26', 'a28', 'a19', 'a33', 'a15']","['a34', 'a18', 'a33', 'a26', 'a19', 'a22', 'a28', 'a15', 'a29', 'a30']",words_240_250.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,syl pute snørr lyn skitten flaske bygge horn skjære glitter,0.5074626865671642,1.0,sport spart krone for den krakk skulle glad skitten tre purposes,0.7627118644067796,1.1,1,"['a30', 'a17', 'a20', 'a32', 'a23', 'a19', 'a28', 'a15', 'd09']","['a32', 'a17', 'a15', 'a23', 'd09', 'a20', 'a30', 'a28', 'a15', 'a19']",words_250_260.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,kort skjorte tralle skulder fugl krykke sykkel bra kran planke,0.20224719101123595,0.9,sørg bra skyggen cornovoren bort prins trine kjell bort,0.8225806451612904,1.0,-1,"['a14', 'a32', 'd06', 'a34', 'a16', 'a10', 'a01', 'a28', 'a15', 'a27']","['d06', 'a34', 'a32', 'a14', 'a16', 'a01', 'a28', 'a15', 'a27', 'a10']",words_260_270.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
3,fortau glad gul plaster svømme vindu svart lue ørn grønn,0.3150684931506849,1.0,svært stjerne låve hund lon blytur gul kvart trepp,0.7678571428571429,1.0,-1,"['a17', 'a32', 'd07', 'a31', 'a23', 'a07', 'a05', 'a06']","['a06', 'a23', 'a32', 'a05', 'd07', 'a06', 'a07', 'a07', 'a17', 'a31']",words_270_280.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base
4,trapp ørn bygge bygge fortid hund frakk sulte hjerte tjern,0.43010752688172044,1.0,siggen pleie smygge brå trylle bla svette ekorn stupe skjørt,0.7413793103448276,1.0,0,"['a02', 'a14', 'a10', 'a22', 'a18', 'a08', 'a19', 'a06']","['a19', 'a08', 'a22', 'a02', 'a06', 'a02', 'a10', 'a18', 'a14', 'a19']",words_0_10.wav,../3x10_Concatenations/3x10_score_4_mixed,NNL-base
