score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,skulder skitten korn horn glitter sjakk enhjørning grå kikkert krabbe,forelska kule erna o lange er lille unnskylde kule er,0.7391304347826086,1.0,0.08641975308641975,0.4,"['d19', 'a10', 'a11', 'a12', 'a13', 'd08', 'a06']","['d08', 'a12', 'd08', 'a06', 'a13', 'd19', 'a10', 'a11', 'a06', 'a13']",0,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base-verbatim
1,flaske rund krabbe øre trylle krakk søle søt hjørne drops,gulna,0.9473684210526315,1.0,0.1917808219178082,0.9,"['a09', 'a11', 'a07', 'a12', 'a01', 'a08']","['a11', 'a01', 'a07', 'a12', 'a11', 'a09', 'a12', 'a07', 'a08', 'a07']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base-verbatim
2,glitter fortau by horn søster bror port klem hylle søt,chihmar,0.9444444444444444,1.0,0.3493975903614458,1.0,"['d19', 'a09', 'a03', 'd06', 'a23', 'a25', 'a08', 'd09', 'a15']","['a08', 'a23', 'a15', 'd06', 'a09', 'a25', 'a09', 'a03', 'd19', 'd09']",-9,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,flagg gartner drue sport prins glass glass pluss enhjørning glitter,grønn grønn grønn,0.835820895522388,1.0,0.4074074074074074,1.0,"['a03', 'a10', 'a21', 'd14', 'a16', 'a25', 'a12', 'a13', 'a06']","['a21', 'a06', 'd14', 'a10', 'a13', 'a12', 'a03', 'a25', 'a12', 'a16']",-7,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,skjerm ugle flaske skjorte plante port fortid rød bryter hjort,innse sjelm sjelm sjel kraboen hele lovet,0.7580645161290323,1.0,0.5057471264367817,1.0,"['d02', 'a09', 'a03', 'a23', 'a22', 'a11', 'a01', 'a13', 'a15']","['a22', 'a23', 'a03', 'a15', 'a09', 'a11', 'a01', 'd02', 'a13', 'a11']",-3,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,skitten plystre kran krakk krabbe drops bror brød fortau ekorn,klem,0.9516129032258065,1.0,0.02197802197802198,0.2,"['a09', 'a11', 'a12', 'a01', 'a26', 'a05', 'a13', 'a15']","['a11', 'a09', 'a13', 'a26', 'a05', 'a13', 'a15', 'a01', 'a12', 'a13']",-9,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,port smerte flagg kurv huske huske start plystre bryter kikkert,kharo chtanin klea kyah,0.8412698412698413,1.0,0.21839080459770116,0.9,"['a17', 'a02', 'a14', 'a34', 'a29', 'a07', 'a25', 'a12', 'a01', 'a13']","['a17', 'a07', 'a14', 'a29', 'a01', 'a13', 'a02', 'a34', 'a25', 'a12']",-6,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,frukt krabbe søster glorie bleie glitter kurv port glorie bryter,det er for det,0.828125,1.0,0.30158730158730157,1.0,"['d19', 'a30', 'a17', 'a09', 'a02', 'a33', 'a08', 'd08', 'a15']","['a08', 'a09', 'a08', 'd19', 'a30', 'a17', 'a02', 'a15', 'd08', 'a33']",-6,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,kjerne skjerm søle plante terning kikkert blomst rund krykke glitter,sjøl,0.9411764705882353,1.0,0.4235294117647059,1.0,"['d08', 'a04', 'd10', 'd17', 'a07', 'a12', 'a26', 'd09', 'a06']","['a26', 'a07', 'd10', 'a06', 'd09', 'd08', 'a12', 'a04', 'd17', 'a06']",-9,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,flette skøyter søster kran søppel premie premie flue sjiraff brå,onkel det er god,0.859375,1.0,0.5068493150684932,1.0,"['d19', 'a10', 'a11', 'a07', 'a01', 'a26', 'a13', 'a15']","['a07', 'a10', 'a13', 'a11', 'd19', 'a01', 'd19', 'a26', 'a07', 'a15']",-6,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
3,artist glis turn kran skjorte tjern tralle kropp torne løpe,broch shan,0.9152542372881356,1.0,0.08641975308641975,0.4,"['d19', 'a17', 'a04', 'a14', 'a31', 'a34', 'a25', 'a12']","['a34', 'a31', 'a14', 'd19', 'a12', 'a04', 'a31', 'a25', 'a17', 'd19']",-8,words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,mus bygge skjære fugl kvart flaske rød flakse by trapp,skive se hårt hjørnet liste plante for øl,0.6851851851851852,1.0,0.1917808219178082,0.9,"['a30', 'd02', 'd12', 'd14', 'a22', 'a01', 'a05', 'a13', 'a19']","['a30', 'a30', 'd14', 'a22', 'd02', 'a05', 'd12', 'a19', 'a13', 'a01']",-2,words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,glis myk pute ødelagt tynn sulte grønn krakk internett skjørt,gryter da klare for tid ro ro lønn,0.7704918032786885,1.0,0.3493975903614458,1.0,"['a20', 'a02', 'a34', 'a29', 'a16', 'a28', 'd08']","['a29', 'a28', 'a20', 'd08', 'a02', 'a16', 'a34', 'a34', 'a34', 'a02']",-2,words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,søster brun trikk flette hylle blå trapp bror kjerne søppel,kjøkkenet knev opp hvor det er kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttetelen kjøttetelen kjøttet,2.305084745762712,2.2,0.4074074074074074,1.0,"['a30', 'a09', 'a03', 'a34', 'a11', 'a08', 'a33', 'a06', 'a27']","['a33', 'a06', 'a34', 'a27', 'a03', 'a11', 'a08', 'a34', 'a30', 'a09']",12,words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,løve glass blad skitten garn stjerne krone kvern kart fortid,kjolle be,0.9166666666666666,1.0,0.5057471264367817,1.0,"['a30', 'd12', 'a02', 'a14', 'a32', 'd10', 'a11', 'd11', 'a19']","['d12', 'a32', 'd11', 'a14', 'a11', 'd10', 'a19', 'a02', 'a30', 'a14']",-8,words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,ekorn fregner sykkel klem kvart krone fortau lun premie skøyter,triller killan ski huske tynn okke tryne svømme svert,0.746031746031746,1.0,0.02197802197802198,0.2,"['a02', 'a21', 'd14', 'a23', 'a25', 'a26', 'd18', 'a06', 'a27']","['a25', 'a25', 'a21', 'a27', 'd18', 'd14', 'a06', 'a26', 'a23', 'a02']",-1,words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,skjema kvart løve sky glass skjerm sølv søster søle bygge,kofferts tårnet viket bra tynne,0.7719298245614035,1.0,0.21839080459770116,0.9,"['d08', 'a02', 'a32', 'd14', 'a01', 'a26', 'a05', 'a19', 'd03']","['a01', 'a32', 'a05', 'd03', 'a02', 'a02', 'd08', 'd14', 'a26', 'a19']",-5,words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,klappe fly vindu blomst svære grave ni tær glitter skip,svart ekorn torn torn torn,0.7818181818181819,1.0,0.30158730158730157,1.0,"['a30', 'a09', 'd06', 'a29', 'a22', 'a26', 'a19', 'd08']","['d08', 'a26', 'a30', 'a29', 'a22', 'd06', 'a19', 'a26', 'a29', 'a09']",-5,words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,øre start plaster pute prins smykke pute grave skive hjerne,stupe,0.9152542372881356,1.0,0.4235294117647059,1.0,"['a04', 'a09', 'a14', 'd06', 'a10', 'a22', 'a28', 'd18', 'a08', 'a06']","['a06', 'a22', 'd06', 'a09', 'd18', 'a28', 'a08', 'a04', 'a14', 'a10']",-9,words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
