score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
[5 3 5 3 5 4 5 5 4 4],troll blomst garn klar koffert skøyter myk hund mus fjorten,klikk flette ur grør smerte trikk snø stjerne glurie kart,0.7796610169491526,1.0,0.34782608695652173,1.0,"['a31', 'a30', 'd16', 'd14', 'a32', 'd12', 'a29', 'a17', 'a33', 'd04']","['a33', 'd14', 'd04', 'a29', 'a17', 'a30', 'a32', 'd12', 'd16', 'a31']",0,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[2 3 4 5 4 5 4 5 3 3],port skøyter tårn klem start lytte sverd tjern kort syk,flaster skilpadde sky flystre trops ryke krean gutt,0.7636363636363637,1.0,0.40229885057471265,1.0,"['a13', 'a30', 'd08', 'd12', 'a15', 'a32', 'a17', 'a31', 'a11', 'd18']","['a17', 'a13', 'a15', 'd12', 'a11', 'd18', 'a30', 'a31', 'a32', 'd08']",-2,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 5 4 3 4 5 3 3 4 3],sky sjakk mus kort bror skinke by søster fort pute,fredde riter hilde lør bjørn kort erter krone gris blad,0.88,1.0,0.4225352112676056,1.0,"['a10', 'a21', 'd10', 'a19', 'a23', 'a27', 'a17', 'a33', 'a05']","['a10', 'a05', 'a17', 'd10', 'a10', 'a33', 'a19', 'a23', 'a27', 'a21']",0,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 2 4 5 4 3 5 4 3 4],fugl kvern fregner gartner trapp brød dør sil trylle jus,for tid syn plystre drue bygge ugle,0.7678571428571429,1.0,0.43209876543209874,1.0,"['d03', 'a18', 'd13', 'a21', 'd01', 'a19', 'a15', 'a01', 'd17']","['d01', 'a19', 'a19', 'd17', 'a21', 'd03', 'd13', 'a15', 'a01', 'a18']",-3,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 2 4 4 3 5 2 5 2 5],sjø gartner vær frø fortau lyn premie fjorten tre kjerne,smykke finner du grave drops star glorie skikkelig bi bleie,0.7857142857142857,1.0,0.43661971830985913,1.0,"['a14', 'd09', 'a25', 'a29', 'd16', 'a12', 'a21', 'a04', 'a20', 'd05']","['a29', 'a12', 'a20', 'a04', 'a14', 'd09', 'a21', 'd05', 'a25', 'd16']",0,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 3 5 5 4 2 5 5 4 3],trylle trille dyne bygge glør ugle lyn sjakk jus kurv,gul priste drops fort rød frykt gris,0.7547169811320755,1.0,0.41333333333333333,1.0,"['d07', 'a18', 'd01', 'd10', 'a15', 'a17', 'a33', 'a22', 'd18']","['a17', 'a15', 'a33', 'd18', 'd01', 'a22', 'd07', 'a18', 'a22', 'd10']",-3,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[1 5 5 5 3 3 4 5 3 3],kort lyn børste stupe krone krykke planke skilpadde smerte krone,gru greine ny grå pete skøyter pite star port tårn,0.71875,1.0,0.43529411764705883,1.0,"['a14', 'd08', 'd03', 'a18', 'a02', 'd01', 'a04', 'a01']","['a01', 'a18', 'd01', 'd03', 'a04', 'a14', 'a02', 'd08', 'a02', 'a18']",0,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[1 4 5 4 5 3 5 5 4 3],krakk premie flaske jus sølv planke skjorte klappe skulder glør,fjær brød ugle skyraff sky skilpadde,0.7777777777777778,1.0,0.4482758620689655,1.0,"['d09', 'a22', 'a30', 'd14', 'a09', 'a04', 'a32', 'a29', 'd04', 'd05']","['a09', 'd14', 'd05', 'a04', 'a30', 'a29', 'a22', 'd04', 'a32', 'd09']",-4,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 5 3 4 5 4 5 5 5 3],hytte hjerte koffert drue kort børste gul syr munn turn,stupe synge stupe tralle hjerne trapp sete ødelagt plaster,0.8,1.0,0.42168674698795183,1.0,"['a10', 'a07', 'a12', 'd01', 'd10', 'a27', 'd11', 'a31', 'd18', 'd15']","['d10', 'd11', 'a07', 'a10', 'd15', 'a27', 'd01', 'a31', 'd18', 'a12']",-1,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 1 3 4 3 5 4 5 5 4],turn enhjørning planke rund troll skulder søster internett klem enhjørning,smykke buss brød klo lytte skøyter lys skjørt trille koffert,0.7567567567567568,1.0,0.3764705882352941,0.9,"['a10', 'd09', 'd07', 'a12', 'd13', 'a26', 'd01', 'd02', 'd18']","['d02', 'a10', 'a26', 'd09', 'a12', 'd01', 'd09', 'd13', 'd18', 'd07']",0,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 4 4 5 5 3 4 3 3 3],rund kø hus glass gul hylle pluss karneval blad erter,brus sky blomst svømme barn hjørne brystet srue skøyter,0.8113207547169812,1.0,0.4725274725274725,1.0,"['a25', 'a28', 'a30', 'a13', 'a19', 'a32', 'a33', 'a22', 'a16']","['a30', 'a22', 'a32', 'a33', 'a19', 'a25', 'a13', 'a28', 'a16', 'a22']",-1,words_100_110.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 3 3 5 2 4 5 4 2 3],bær jus plystre knær skive lytte huske sju fugl sjiraff,blomst sjakk pute sju søster tone johs ny klem,0.7818181818181819,1.0,0.46153846153846156,1.0,"['a28', 'd14', 'a09', 'a19', 'a27', 'a31', 'a03', 'a11', 'd17']","['a19', 'a28', 'a03', 'a27', 'a11', 'a31', 'd17', 'd17', 'a09', 'd14']",-1,words_110_120.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 5 3 4 5 5 4 5 5 2],premie port løpe bror kvart syr hjørne synge huske glorie,smart smette mikael skjegte,0.7719298245614035,1.0,0.35443037974683544,1.0,"['d03', 'a19', 'a23', 'd02', 'a29', 'a17', 'a33', 'a01', 'a22']","['d02', 'a19', 'a17', 'a22', 'a29', 'a23', 'a33', 'd03', 'a33', 'a01']",-6,words_120_130.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[3 3 3 5 5 4 4 5 5 5],sykkel koffert glorie rød flaske ski skilpadde bryter klem flaske,klar skjære agorn kikkert gulv port ramst snø skjære klar,0.8,1.0,0.3670886075949367,1.0,"['d07', 'a13', 'd16', 'd14', 'd01', 'a04', 'a23', 'a29', 'd17']","['a04', 'a23', 'a13', 'd01', 'd14', 'a23', 'a29', 'd17', 'd07', 'd16']",0,words_130_140.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 4 3 5 5 3 5 4 3 4],fregner smart sølv ku rød premie erter krakk smart skip,kart fri klær smykke ski jari stupe russ hund svært,0.7636363636363637,1.0,0.37681159420289856,1.0,"['a10', 'd19', 'd08', 'd16', 'd13', 'a09', 'a27', 'a20', 'a17', 'a31']","['a17', 'a31', 'd08', 'a09', 'a27', 'a20', 'd13', 'a10', 'd19', 'd16']",0,words_140_150.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 3 5 3 2 4 3 4 5 5],smykke hytte fjorten prins kropp tre sykkel stupe buss hjort,artist søster dra skjema trykke hytte rune døren,0.6666666666666666,1.0,0.39325842696629215,1.0,"['a07', 'd03', 'a01', 'a09', 'd02', 'a20', 'd04', 'a22', 'd15']","['d04', 'a07', 'd04', 'd03', 'a01', 'a22', 'a09', 'a20', 'd15', 'd02']",-2,words_150_160.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 5 5 3 4 4 5 5 2 4],kvern klem sju støvel planke bjørn bleie by grave munn,garn søster artist ugle garn smart ugler hund gude,0.7407407407407407,1.0,0.410958904109589,1.0,"['d07', 'a07', 'a18', 'a20', 'a06', 'a29', 'd11']","['d07', 'a07', 'a18', 'a07', 'a06', 'a29', 'd11', 'd11', 'a07', 'a20']",-1,words_160_170.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 4 4 3 5 4 4 4 5 5],skulder sjø lun svart blå kart hjørne snørr løve fjær,hjørne og gris blom,0.8301886792452831,0.9,0.3333333333333333,1.0,"['d07', 'a30', 'd14', 'a09', 'a06', 'a32', 'a19', 'd11', 'a05']","['d07', 'a06', 'a30', 'a09', 'a32', 'd11', 'a30', 'a05', 'd14', 'a19']",-6,words_170_180.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 4 5 3 4 2 3 3 3 5],tynn brød plystre klem sil skjerf trapp klappe krakk tynn,krone pute flette brakk kvart sjik løpe,0.6842105263157895,1.0,0.37333333333333335,0.9,"['d09', 'a25', 'd08', 'a26', 'd01', 'd10', 'a06', 'a21', 'a27', 'a03']","['d01', 'a26', 'd10', 'd09', 'a25', 'a03', 'a06', 'd08', 'a21', 'a27']",-3,words_180_190.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 5 5 3 3 3 5 4 4 5],dyne svømme jus ugle myk artist blomst ørn kjerne jern,frø tute skulder snørr smakte glad drue syke stupe klappe,0.8888888888888888,1.0,0.4177215189873418,1.0,"['a14', 'd09', 'd08', 'd16', 'a15', 'a23', 'd02', 'a05', 'd05', 'd17']","['a14', 'd05', 'd17', 'd08', 'a15', 'a23', 'd02', 'a05', 'd09', 'd16']",0,words_190_200.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[3 5 4 3 5 3 3 3 4 4],stjerne snø børste planke bygge glør svømme ku krone pute,unker det sjøs adior støvel smell støvel enhjørning klauv hjerne turn,0.8245614035087719,1.1,0.36619718309859156,0.9,"['a14', 'a10', 'd07', 'a34', 'a26', 'd12', 'a15', 'a17', 'a31']","['a26', 'a14', 'a15', 'a10', 'd12', 'a15', 'd07', 'a17', 'a34', 'a31']",1,words_200_210.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[3 5 3 4 5 3 4 5 4 3],torne grå grave bro tre skinke dyne artist snø kjerne,briller gartner smert smerte sølv smør sild kart lakse skøyter,0.8113207547169812,1.0,0.35443037974683544,1.0,"['a10', 'a08', 'd03', 'd11', 'a02', 'a34', 'a17', 'a03', 'd05']","['a02', 'a17', 'a34', 'a02', 'd11', 'a03', 'd05', 'd03', 'a08', 'a10']",0,words_210_220.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[5 1 3 4 3 3 2 3 4 2],gutt trylle hund skitten ryke stupe fregner smør tjern søppel,jus glow start sydde bro tavle etter rund krykke,0.7213114754098361,1.0,0.41333333333333333,0.9,"['d19', 'a07', 'd08', 'd13', 'a12', 'a09', 'a29', 'a33', 'a01']","['a01', 'a07', 'a09', 'd13', 'a29', 'd08', 'd19', 'd08', 'a33', 'a12']",-1,words_220_230.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[3 1 4 5 3 4 4 4 4 3],kurv torne lyn sjiraff stjerne start lun hytte skjære tårn,ugle bort kaffe skøyter nøkkel y frukt giro,0.7413793103448276,1.0,0.39436619718309857,1.0,"['a28', 'a13', 'a07', 'd08', 'a30', 'a26', 'd10', 'a27', 'a31', 'a16']","['a26', 'a13', 'a07', 'a16', 'd10', 'a31', 'a28', 'd08', 'a27', 'a30']",-2,words_230_240.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 5 3 5 2 3 3 5 5 2],lue sølv krone garn kikkert svømme klappe grave klappe artist,frakk tar sølv lys svart grå,0.7704918032786885,1.0,0.40963855421686746,1.0,"['a14', 'd07', 'a13', 'd14', 'a02', 'a21', 'd01', 'a19', 'a15', 'a16']","['a16', 'a15', 'a21', 'd14', 'a19', 'a02', 'a14', 'd01', 'd07', 'a13']",-4,words_240_250.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[4 5 4 2 5 2 2 3 3 3],hytte vær gris blyant lue sverd plystre enhjørning kvern gris,fortell søster gitt pi klar,0.7704918032786885,1.0,0.3950617283950617,1.0,"['a10', 'a07', 'd16', 'd13', 'a02', 'a27', 'a32', 'a17', 'a11', 'a16']","['a11', 'a16', 'a02', 'a10', 'd13', 'a27', 'd16', 'a17', 'a32', 'a07']",-5,words_250_260.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[3 4 5 3 5 4 4 5 5 3],trykk bar synge ødelagt buss trille fjær skjerf brød sky,skjære skjik stupe skjære svare glenn dør frakse sky vindu,0.875,1.0,0.36470588235294116,0.9,"['a10', 'd07', 'a28', 'a18', 'd06', 'a21', 'd12', 'a27', 'a31', 'a08']","['a28', 'a31', 'd12', 'a21', 'a10', 'a18', 'a27', 'd06', 'a08', 'd07']",0,words_260_270.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
[3 4 3 2 4 3 3 5 3 5],flette premie smart plaster sykkel glass plante sjø skjørt sølv,gartner start tårn bjøll blad bra kikkert korn pluss kø blå,0.746031746031746,1.1,0.4084507042253521,0.9,"['d07', 'a30', 'd14', 'a02', 'd13', 'a15', 'a17', 'a05', 'a22']","['a22', 'a15', 'a02', 'a02', 'd14', 'a17', 'a05', 'd07', 'a30', 'd13']",1,words_270_280.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium-verbatim
