score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,løpe øre klar kvart horn ugle skitten krabbe ødelagt ødelagt,0.11494252873563218,0.6,brerent fraske tilly erna merin gjelda hjertum kjelda jø hjertum,0.8166666666666667,1.0,0,"['a30', 'd17', 'a11', 'a07', 'a12', 'a13', 'a06', 'a27']","['a07', 'a13', 'a27', 'a06', 'a11', 'a30', 'a12', 'a06', 'a11', 'd17']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,Medium
1,rød glorie briller brå horn flaske plystre løve blå løve,0.2247191011235955,0.9,sjom blå kots slum sjøle fem karnov eulav dannev,0.8035714285714286,1.0,-1,"['a02', 'a11', 'a07', 'd11', 'a01', 'a26', 'a05']","['a02', 'a11', 'a11', 'a26', 'a05', 'a11', 'a07', 'a07', 'd11', 'a01']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,Medium
2,fortau glorie kurv kikkert blå vær premie port vindu sjakk,0.3373493975903614,1.0,frank hiddala bits søt bete stående dume smarch sjon snel,0.7931034482758621,1.0,0,"['a03', 'a14', 'a32', 'a11', 'a25', 'a07', 'd08', 'a27']","['a27', 'a25', 'a03', 'd08', 'a03', 'a14', 'a07', 'a11', 'a11', 'a32']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,trapp krakk frakk hjørne horn skitten artist bleie grønn blå,0.449438202247191,1.0,fødte fødte fødte grør bord skålte ekken gatene krune sjekke brød,0.75,1.1,1,"['d19', 'a34', 'a07', 'a12', 'a13', 'd09', 'a06']","['a13', 'd19', 'a13', 'a34', 'a13', 'a06', 'd09', 'a12', 'a12', 'a07']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,rød turn krakk kvart pluss frukt fly plante ugle hjort,0.5074626865671642,1.0,kikka fri dette selm krabben lule kjenn enkle bocce,0.8148148148148148,1.0,-1,"['a17', 'a03', 'd06', 'a34', 'a11', 'a26', 'a05', 'a13']","['a17', 'a11', 'a26', 'a13', 'a03', 'a13', 'a05', 'a34', 'd06', 'a34']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,bjørn knar blomst ørn skjørt sylte glorie flue søppel pluss,0.05333333333333334,0.3,svemmet brandet smats bø frut fråve gras kiddef tønn fråd,0.7966101694915254,1.0,0,"['a09', 'a14', 'a34', 'a25', 'a12', 'a26', 'a15', 'a27']","['a09', 'a15', 'a25', 'a12', 'a25', 'a14', 'a26', 'a26', 'a27', 'a34']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,tre munn port dør glitter flagg grønn smerte vindu klappe,0.25842696629213485,1.0,krup blinke tjernin kler kjiten tjern platter stibet but krup,0.8070175438596491,1.0,0,"['a09', 'a16', 'a11', 'a07', 'a12', 'a01', 'a28', 'a13']","['a13', 'a07', 'a28', 'a01', 'a09', 'a16', 'a07', 'a12', 'a01', 'a11']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,krone krone gartner torne bygge horn munn bygge smør bror,0.3473684210526316,1.0,da fløk hen skodder dinda mikke kram kvrak tundre tummer,0.8070175438596491,1.0,0,"['a02', 'a03', 'a09', 'a11', 'a25', 'a07', 'a12', 'a01']","['a12', 'a11', 'a01', 'a25', 'a03', 'a02', 'a11', 'a07', 'a07', 'a09']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,glør søt erter bjørn støvel flette flue blyant ugle synge,0.4266666666666667,1.0,sjøl sjøl smer søtte sjølolj brud kloa nyd boreste svis,0.7017543859649122,1.0,0,"['a03', 'a21', 'a23', 'a11', 'a07', 'a12', 'd09', 'a06']","['a03', 'd09', 'a12', 'a06', 'a03', 'a03', 'a23', 'a07', 'a11', 'a21']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
2,enhjørning hylle jus svart trykk grave glass ugle glitter by,0.5056179775280899,1.0,unkre kjøkken ol hjøn prøstre to smell blutt brukk gram,0.8,1.0,0,"['a09', 'a32', 'a31', 'a10', 'a23', 'a11', 'a07', 'a26', 'a05', 'a06']","['a32', 'a09', 'a06', 'a11', 'a31', 'a07', 'a10', 'a23', 'a05', 'a26']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,Medium
