score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
[5 4 5 5 5 3 5 4 3 3],flaske lun briller prins kropp stjerne bro trylle krabbe sylte,tlikk flette grør smerte trikk snø stjerne glorie kart,0.6612903225806451,1.0,0.34782608695652173,1.0,"['a04', 'a20', 'd10', 'a34', 'a21', 'a23', 'd11', 'a18']","['d10', 'a21', 'd11', 'a20', 'a34', 'a04', 'a18', 'a23', 'a04', 'a34']",-1,words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[4 2 4 3 3 3 5 5 5 5],by glad stjerne karneval horn bryter tær klappe buss kø,flaster skilpadde sky flystre trops ryke klean gutt skjerm bjørn,0.9272727272727272,1.0,0.40229885057471265,1.0,"['d19', 'a17', 'd04', 'a02', 'a16', 'a21', 'a01', 'a18', 'a05']","['a05', 'a21', 'd19', 'a01', 'd04', 'a02', 'a17', 'd19', 'a18', 'a16']",0,words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[3 4 3 4 3 4 4 5 5 5],klappe drue klem flue kort torne dykke svømme tårn pluss,fredde riter hilde lør bjørn kort erter krone gris blad,0.7321428571428571,1.0,0.4225352112676056,1.0,"['a30', 'd05', 'd12', 'a02', 'd07', 'a10', 'a21', 'a16', 'a11', 'a07']","['a07', 'a10', 'a21', 'a30', 'a02', 'a16', 'a11', 'd05', 'd07', 'd12']",0,words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[3 3 4 3 5 4 3 5 5 3],karneval glør skinke artist vindu flaske stupe brød løpe glitter,for tid syn plystre drue bygge ugle huske hund kopp,0.78125,1.0,0.43209876543209874,1.0,"['d05', 'd18', 'a14', 'd17', 'a22', 'a07', 'a18', 'a05', 'a15']","['d05', 'a14', 'd17', 'a05', 'd18', 'a15', 'a07', 'd05', 'a18', 'a22']",0,words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[5 5 2 5 4 3 4 4 3 4],drops by frakk kø krone blå horn skjørt kran trapp,smykke finner du grave drops star glorie skikkelig bi bleie,0.9,1.0,0.43661971830985913,1.0,"['a17', 'a02', 'a32', 'd10', 'd06', 'a16', 'a18', 'a08', 'd09']","['a08', 'd09', 'a32', 'a17', 'a17', 'a02', 'a16', 'a18', 'd06', 'd10']",0,words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[4 3 5 4 5 3 4 4 3 2],stær sky søppel ørn støvel smør stjerne søle bleie blomst,gris,0.9473684210526315,1.0,0.41333333333333333,1.0,"['a30', 'd12', 'a16', 'd15', 'a19', 'a33', 'a01', 'a28', 'a08', 'd03']","['a30', 'a28', 'd12', 'a08', 'd03', 'a19', 'd15', 'a33', 'a16', 'a01']",-9,words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[4 4 3 1 5 4 3 5 5 3],myk skilpadde løpe internett svømme skøyter løve ødelagt flaske klem,grå skøyter hytte star port tårn,0.7647058823529411,0.9,0.43529411764705883,1.0,"['a17', 'd16', 'd04', 'a31', 'd01', 'a23', 'a11', 'a12', 'a05', 'a06']","['a31', 'a23', 'a12', 'a06', 'a05', 'd16', 'a11', 'd04', 'd01', 'a17']",-4,words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[2 4 4 3 5 4 4 5 3 4],myr grå kort grå søster fortid ku sju kvart barn,fjær brød ugle skyraff sky skilpadde grunn lill enhjørning sjø,1.0208333333333333,1.0,0.4482758620689655,1.0,"['a04', 'd04', 'a09', 'a14', 'a34', 'd14', 'a25', 'a07']","['a25', 'd14', 'a14', 'a34', 'd04', 'a09', 'a04', 'd14', 'a07', 'a04']",0,words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[5 4 5 4 5 2 5 5 4 3],hjort søppel blad plaster klo gul sky bryter bro port,stupe synge stupe tralle hjerne høyne trapp sete ødelagt plaster,0.9433962264150944,1.0,0.42168674698795183,1.0,"['a30', 'd12', 'd16', 'a32', 'd01', 'a34', 'a21', 'a12']","['d01', 'a30', 'd01', 'a21', 'd16', 'a12', 'd12', 'd16', 'a34', 'a32']",0,words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
[3 3 5 4 4 3 5 3 3 5],karneval søt prins drikke ørn torne frø trylle bygge klappe,smykke buss brød klo lytte kjøtter lys skjørt trille koffert,0.8305084745762712,1.0,0.3764705882352941,0.9,"['d19', 'a32', 'a34', 'd01', 'd17', 'a23', 'a01', 'a26', 'a05']","['a32', 'a23', 'a23', 'a34', 'a01', 'a26', 'd01', 'd19', 'a05', 'd17']",0,words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-medium
