score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[5 5 3 4 5 3 5 3 2 5],bjørn stupe skip blomst blokk flaske frø flakse prins smart,0.3924050632911392,1.0,flette grør smerte trykk snø stjerne galurie kart,0.7288135593220338,1.0,-2,"['d19', 'a17', 'a20', 'd17', 'a29', 'a23', 'a11', 'a18', 'a33']","['a18', 'a23', 'a33', 'a20', 'd19', 'a17', 'a29', 'a20', 'a11', 'd17']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[4 4 4 4 4 5 5 4 5 3],kart glorie trylle flaske myr by hund skjerm bleie torne,0.4307692307692308,1.0,flaster skilpadde sky lystre jops jeg liker koreaneren,0.75,1.0,-2,"['d12', 'a26', 'd04', 'a14', 'a16', 'd11', 'd13', 'a18', 'a33', 'd08']","['d08', 'a18', 'd11', 'd13', 'a14', 'd04', 'a16', 'd12', 'a33', 'a26']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[5 5 5 3 4 3 5 3 4 2],sju flaske drops sju flue fugl snø kran bror klappe,0.417910447761194,1.0,fredde viker klør bjørn kart erter krone gris blad,0.7843137254901961,1.0,-1,"['d05', 'd06', 'a10', 'd14', 'a12', 'a08', 'a05', 'a19', 'd08']","['d05', 'd08', 'a19', 'a05', 'd14', 'a10', 'd06', 'a12', 'a08', 'a05']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[5 4 4 4 4 2 2 4 5 5],planke glør buss trapp nøkkel drue glad kjerne sylte skjære,0.3924050632911392,1.0,for tid syn lystre bygge ugle lyske,0.7288135593220338,1.0,-3,"['a17', 'a09', 'a31', 'd01', 'a25', 'a19', 'a33', 'a06', 'a27']","['a33', 'a09', 'a25', 'a19', 'a31', 'a06', 'a27', 'a31', 'a17', 'd01']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 3 4 5 4 3 3 3 5 4],garn klar glass sjø sykkel sky kjerne nøkkel lytte grønn,0.4157303370786517,1.0,fingu grave dropp starr glorie skikkelig bi breie,0.75,1.0,-2,"['a34', 'a11', 'a25', 'd13', 'a28', 'a15', 'd08', 'a27']","['d08', 'a15', 'a11', 'a25', 'd08', 'd13', 'a34', 'a28', 'd08', 'a27']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[5 5 4 3 3 5 4 3 4 2],ødelagt skip smerte barn hund smykke snørr støvel snørr glorie,0.40229885057471265,1.0,sy du gul priste drops fort hurra frukt gris,0.7580645161290323,1.0,-1,"['a04', 'a31', 'd15', 'a21', 'a07', 'a12', 'a19']","['a04', 'd15', 'a31', 'a07', 'a12', 'a19', 'd15', 'a04', 'a21', 'a07']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 3 2 1 4 3 3 5 4 4],erter tralle flakse rund myk turn bleie sport skive ku,0.42168674698795183,1.0,grå pute skøyter hitte stær fort tårn,0.7407407407407407,1.0,-3,"['d19', 'a17', 'a02', 'a31', 'a25', 'a07', 'd11', 'a28', 'd08']","['a28', 'a31', 'a07', 'a25', 'a17', 'd11', 'd08', 'd19', 'a07', 'a02']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[4 4 2 2 5 5 4 2 4 4],plystre gris karneval krakk kikkert buss bra skjema smart ni,0.4810126582278481,1.0,fiar bra obelet sjiraff sjø skilpadde enhjørning sjø,0.8166666666666667,1.0,-2,"['d05', 'a20', 'a14', 'a32', 'a11', 'a07', 'd13', 'a18', 'a26']","['a18', 'a14', 'a11', 'a07', 'd05', 'd13', 'a32', 'a07', 'a20', 'a26']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 5 3 4 5 4 5 3 3 4],lue syk sju internett skip sulte karneval pute trille fort,0.38666666666666666,1.0,stupe synge stupe tralle gjerne linn kjapp føtt ødelagt plaster,0.8103448275862069,1.0,0,"['d19', 'a30', 'a09', 'd04', 'a14', 'd11', 'a26', 'd08', 'a27']","['a09', 'd19', 'd08', 'a30', 'd04', 'a26', 'd11', 'a09', 'a27', 'a14']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 1 3 5 5 4 4 3 2 3],lun hjort fly skulder hund hytte flue skjerf søt kurv,0.29577464788732394,0.8,smykke buss klo lydde kjøtter lys kjørt trille koffert,0.8113207547169812,1.0,-1,"['d09', 'a20', 'a31', 'a29', 'a23', 'a22', 'd13', 'd18', 'a13', 'd03']","['a23', 'a13', 'a22', 'a20', 'a31', 'd03', 'a29', 'd18', 'd09', 'd13']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 3 4 5 3 4 4 4 5 3],skjære sport klær tynn fortid lærer klappe skjære hytte glorie,0.3384615384615385,1.0,bryst sky blomst skymme barn hjerne bryste frue skøyter,0.7580645161290323,1.0,-1,"['a30', 'd06', 'a34', 'a23', 'a07', 'a25', 'a12', 'a18', 'a08']","['a07', 'a12', 'a34', 'd06', 'a18', 'a30', 'a25', 'a08', 'a23', 'a34']",words_100_110.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[5 5 4 3 2 3 1 4 5 4],kurv gul skive blomst kort glorie skilpadde fugl vindu dykke,0.4225352112676056,1.0,sjakk pute sju søster done jus ni klem er hun,0.7833333333333333,1.0,0,"['a20', 'd18', 'd10', 'a34', 'd01', 'd17', 'a11', 'a05', 'a15']","['a05', 'a20', 'd01', 'a15', 'a34', 'd01', 'a11', 'd17', 'd18', 'd10']",words_110_120.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[4 5 5 4 2 3 5 3 5 3],buss bar søle tralle fortau klappe blå kort pute bro,0.4444444444444444,1.0,smert smerte mika mika im kle kle kjele linn,0.7307692307692307,1.0,-1,"['d19', 'd09', 'a14', 'a34', 'a10', 'a21', 'd14', 'a28', 'a19', 'a33']","['a21', 'a19', 'd19', 'a10', 'a34', 'a28', 'a33', 'd09', 'a14', 'd14']",words_120_130.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 2 4 4 5 3 4 3 3 4],svare artist sport sulte hus trille glad plaster fly fortid,0.449438202247191,1.0,klar kjære ekorn sikker gulv port bremst snø kjære,0.7288135593220338,1.0,-1,"['a17', 'd04', 'd16', 'd07', 'a29', 'a21', 'a10', 'a11', 'a18', 'a27']","['a29', 'a11', 'a17', 'a27', 'a18', 'a21', 'd04', 'd16', 'a10', 'd07']",words_130_140.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
[3 3 4 5 5 5 5 5 4 2],hjørne karneval sykkel lue hylle kran glorie rund skjære horn,0.37362637362637363,1.0,fri klær smykke fri ja stupe pluss hull svært,0.7049180327868853,1.0,-1,"['d05', 'd12', 'a32', 'd10', 'a31', 'a10', 'a22', 'a08']","['a32', 'd05', 'a22', 'd10', 'd10', 'd12', 'd10', 'a08', 'a31', 'a10']",words_140_150.wav,../3x10_Concatenations/3x10_no_group_mixed,NNL-base
