speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,autist vann vats bjørn blå blad breie blokke blomps bljant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.16666666666666666, 0.5, 0.75, 0.0, 0.0, 0.0, 0.2, 0.2, 0.3333333333333333, 0.16666666666666666]",0.7
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,buster biler brød blå brød briter bys by bigge,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,-1,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.3333333333333333,0.8
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn patsj bjerne bro grad braie block tromst bland,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,0,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 1.0, 0.4, 0.6666666666666666, 0.5, 0.4, 0.2, 0.3333333333333333, 0.3333333333333333]",0.8
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,buste riddelir roh rør rør run bruter busch bi bidde,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,0,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.3333333333333333, 0.7142857142857143, 0.6666666666666666, 0.5, 0.5, 0.25, 0.16666666666666666, 0.5, 0.5, 0.6]",1.0
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist bar batch ria bra bra freie block kromsp priamp,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,0,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.25, 0.75, 1.0, 0.6666666666666666, 0.5, 0.4, 0.2, 0.5, 0.8333333333333334]",0.9
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,buste brill beru brø bror briter bush bi pinkie dør,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,0,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.3333333333333333, 0.2857142857142857, 0.6666666666666666, 0.25, 0.0, 0.16666666666666666, 0.25, 0.5, 1.0, 0.0]",0.8
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn bart bjørn blå blad braie brokk bromst briant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,0,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.2, 0.16666666666666666, 0.3333333333333333]",0.4
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,bøste bryler bro bror bryn bryter bus by bøgge,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,-1,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.2037037037037037,0.6
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,atist barn patch bjørn broa brat breie prokk brømst brjant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,0,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.16666666666666666, 0.0, 1.0, 0.0, 1.0, 0.5, 0.2, 0.4, 0.3333333333333333, 0.3333333333333333]",0.8
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,verste briller bru brød brur grun brutter duss bi bikke,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,0,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.25, 0.25, 0.3333333333333333, 0.25, 0.5, 0.6]",0.8
