score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
[4 5 5 1 4 4 5 2 2 4],kart tre ku fugl premie gris nøkkel tårn skip børste,0.3924050632911392,1.0,fudd tallyk flette grøyr smarte tryk snø sjern gluria kart,0.8269230769230769,1.0,0,"['d05', 'a20', 'd16', 'd10', 'a21', 'a28', 'a13', 'a08', 'a06']","['d10', 'a06', 'a21', 'a13', 'a28', 'd05', 'a20', 'a08', 'a06', 'd16']",words_0_10.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[5 4 4 3 5 5 4 4 2 2],krakk sur start ku drikke tre troll lytte flagg glis,0.4307692307692308,1.0,forrestet kjilpade skj blister likk er det ikke kjøren gist jeg stører dem vi er en,1.1346153846153846,1.6,6,"['d04', 'a14', 'd07', 'a34', 'a21', 'a23', 'a18', 'a26', 'a33']","['d04', 'a33', 'a21', 'a26', 'd07', 'a18', 'a23', 'a34', 'a18', 'a14']",words_10_20.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[4 4 4 5 3 3 4 4 5 4],rund glorie kvart frakk skjerm skitten myk start skjære jern,0.417910447761194,1.0,fredde hjøn lør bjørn kott etter krona gris blad,0.75,1.0,-1,"['d05', 'a17', 'd12', 'a21', 'a25', 'a18', 'a28', 'a15']","['d05', 'a18', 'd05', 'd12', 'a28', 'a15', 'a21', 'a17', 'd05', 'a25']",words_20_30.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[5 5 5 5 3 5 4 4 2 4],krykke bror garn munn lue gartner skøyter fortid skjerf glorie,0.3924050632911392,1.0,for tid tid blister to do er big girl ugret skjøn kopp hjølle,0.8225806451612904,1.3,3,"['a03', 'a32', 'd07', 'd06', 'a21', 'a25', 'd13', 'a18']","['d13', 'a18', 'd06', 'a32', 'a25', 'd06', 'a32', 'd07', 'a03', 'a21']",words_30_40.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[3 4 2 3 2 3 3 4 3 4],planke tjern flette glitter skjorte klar tær karneval sur ski,0.4157303370786517,1.0,smikke fing du grave drop stør gore skikkelig bi breige,0.7704918032786885,1.0,0,"['a20', 'a32', 'a11', 'a25', 'a22', 'a26', 'd03', 'a19', 'd08']","['a11', 'a11', 'd08', 'a19', 'a20', 'a32', 'a25', 'a22', 'a26', 'd03']",words_40_50.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[5 4 3 2 4 3 3 1 3 3],krakk smør kropp glass skitten myr kvern planke hylle plystre,0.40229885057471265,1.0,siden kyr piste drops forts hør jo brøv frikt gris,0.7704918032786885,1.0,0,"['a02', 'a14', 'd06', 'a34', 'a10', 'd17', 'a07', 'a25', 'a01', 'a26']","['d06', 'a02', 'a07', 'a10', 'a01', 'a34', 'a26', 'd17', 'a25', 'a14']",words_50_60.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[4 3 2 5 5 3 3 3 5 5],hjort svart klappe gartner søt stjerne ku hytte sport plystre,0.42168674698795183,1.0,grøyne nye grå utta sjøiter hittet starr pok torn,0.6557377049180327,1.0,-1,"['d05', 'd04', 'a03', 'a14', 'a32', 'a12', 'a33', 'a13', 'a08', 'd08']","['d08', 'a13', 'a12', 'd05', 'a08', 'a03', 'a32', 'a14', 'd04', 'a33']",words_60_70.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[5 5 3 4 5 4 5 3 5 3],stupe nøkkel trikk drikke hus skøyter ku garn smykke terning,0.4810126582278481,1.0,fjør bro uble skjerof skj skjipada kjynn linn njønlig sjø,0.85,1.0,0,"['a30', 'a04', 'd16', 'd01', 'a34', 'a01', 'a26', 'a28', 'd03']","['d16', 'd01', 'a28', 'a04', 'a01', 'a26', 'a34', 'a30', 'd03', 'a01']",words_70_80.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[3 3 2 4 4 3 5 2 4 5],huske drue gartner skøyter lytte koffert blad kran lærer ku,0.38666666666666666,1.0,stupe singa stupe trale gjørne hyn fjellat plaster,0.7457627118644068,1.0,-2,"['a30', 'd12', 'a21', 'a28', 'a13', 'a19', 'a33', 'a06']","['a30', 'd12', 'a06', 'a19', 'a21', 'a30', 'a28', 'a13', 'a33', 'a13']",words_80_90.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
[2 3 5 3 2 5 5 2 5 5],fortau kvart glitter gris plystre flaske søt horn tårn ekorn,0.29577464788732394,0.8,smikke død død klo litt kjøttere lise kjøtt trille kofurt,0.75,1.0,0,"['a30', 'd16', 'a03', 'd06', 'a34', 'd17', 'a22', 'a33', 'a19', 'd08']","['a19', 'a30', 'd06', 'a03', 'a34', 'd17', 'a22', 'd08', 'a33', 'd16']",words_90_100.wav,../3x10_Concatenations/3x10_no_group_mixed,Base
