+----------------------------+--------------+-------------------+-------------------------------------+----------------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------+
|           Model            | Input length | Translated length |          Unique input words         |        Unique translated words         |                             Input words                             |                                                          Translated words                                                          |           Word Match           |
+----------------------------+--------------+-------------------+-------------------------------------+----------------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------+
|            tiny            |      10      |         13        | ['kropp' 'søppel' 'krabbe' 'sport'] |               ['girott']               | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' | ['girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott', 'girott'] |                                |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|      nb-whisper-tiny       |      10      |         9         | ['kropp' 'søppel' 'krabbe' 'sport'] |               ['kropp']                | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                         ['kropp', 'kropp', 'kropp', 'kropp', 'kropp', 'kropp', 'kropp', 'kropp', 'kropp']                          |                                |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|  nb-whisper-tiny-verbatim  |      10      |         10        | ['kropp' 'søppel' 'krabbe' 'sport'] | ['kropp', 'søppel', 'eller', 'krabbe'] | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                   ['kropp', 'søppel', 'kropp', 'kropp', 'kropp', 'kropp', 'eller', 'søppel', 'krabbe', 'krabbe']                   | [1, 0, 0, 1, 1, 1, 0, 1, 1, 0] |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|            base            |      10      |         10        | ['kropp' 'søppel' 'krabbe' 'sport'] |          ['kropp', 'søppel']           | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                   ['kropp', 'kropp', 'søppel', 'kropp', 'kropp', 'kropp', 'søppel', 'kropp', 'søppel', 'kropp']                    | [1, 1, 1, 1, 1, 1, 1, 0, 0, 0] |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|      nb-whisper-base       |      10      |         4         | ['kropp' 'søppel' 'krabbe' 'sport'] |     ['kropp', 'krabbe', 'søppel']      | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                                              ['kropp', 'krabbe', 'søppel', 'krabbe']                                               |                                |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|  nb-whisper-base-verbatim  |      10      |         4         | ['kropp' 'søppel' 'krabbe' 'sport'] |      ['kropp', 'krabbe', 'spott']      | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                                               ['kropp', 'kropp', 'krabbe', 'spott']                                                |                                |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|           medium           |      10      |         7         | ['kropp' 'søppel' 'krabbe' 'sport'] |      ['kropp', 'søppel', 'spopp']      | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                                 ['kropp', 'søppel', 'kropp', 'kropp', 'søppel', 'kropp', 'spopp']                                  |                                |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
|     nb-whisper-medium      |      10      |         10        | ['kropp' 'søppel' 'krabbe' 'sport'] | ['kropp', 'søppel', 'krabbe', 'spopp'] | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                   ['kropp', 'kropp', 'søppel', 'kropp', 'kropp', 'kropp', 'søppel', 'søppel', 'krabbe', 'spopp']                   | [1, 1, 1, 1, 1, 1, 1, 1, 1, 0] |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
| nb-whisper-medium-verbatim |      10      |         10        | ['kropp' 'søppel' 'krabbe' 'sport'] | ['kropp', 'søppel', 'krabbe', 'spopp'] | ['kropp' 'kropp' 'søppel' 'kropp' 'kropp' 'kropp' 'søppel' 'søppel' |                   ['kropp', 'kropp', 'søppel', 'kropp', 'kropp', 'kropp', 'søppel', 'søppel', 'krabbe', 'spopp']                   | [1, 1, 1, 1, 1, 1, 1, 1, 1, 0] |
|                            |              |                   |                                     |                                        |                           'krabbe' 'sport']                         |                                                                                                                                    |                                |
+----------------------------+--------------+-------------------+-------------------------------------+----------------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------+
