score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,skulder skitten korn horn glitter sjakk enhjørning grå kikkert krabbe,0.11494252873563218,0.6,forelska kule erna o lange er lille unnskylde kule er,0.7391304347826086,1.0,0,"['d19', 'a10', 'a11', 'a12', 'a13', 'd08', 'a06']","['d08', 'a12', 'd08', 'a06', 'a13', 'd19', 'a10', 'a11', 'a06', 'a13']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base-verbatim
1,flaske rund krabbe øre trylle krakk søle søt hjørne drops,0.2247191011235955,0.9,gulna,0.9473684210526315,1.0,-9,"['a09', 'a11', 'a07', 'a12', 'a01', 'a08']","['a11', 'a01', 'a07', 'a12', 'a11', 'a09', 'a12', 'a07', 'a08', 'a07']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base-verbatim
2,glitter fortau by horn søster bror port klem hylle søt,0.3373493975903614,1.0,chihmar,0.9444444444444444,1.0,-9,"['d19', 'a09', 'a03', 'd06', 'a23', 'a25', 'a08', 'd09', 'a15']","['a08', 'a23', 'a15', 'd06', 'a09', 'a25', 'a09', 'a03', 'd19', 'd09']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,flagg gartner drue sport prins glass glass pluss enhjørning glitter,0.449438202247191,1.0,grønn grønn grønn,0.835820895522388,1.0,-7,"['a03', 'a10', 'a21', 'd14', 'a16', 'a25', 'a12', 'a13', 'a06']","['a21', 'a06', 'd14', 'a10', 'a13', 'a12', 'a03', 'a25', 'a12', 'a16']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,skjerm ugle flaske skjorte plante port fortid rød bryter hjort,0.5074626865671642,1.0,innse sjelm sjelm sjel kraboen hele lovet,0.7580645161290323,1.0,-3,"['d02', 'a09', 'a03', 'a23', 'a22', 'a11', 'a01', 'a13', 'a15']","['a22', 'a23', 'a03', 'a15', 'a09', 'a11', 'a01', 'd02', 'a13', 'a11']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,skitten plystre kran krakk krabbe drops bror brød fortau ekorn,0.05333333333333334,0.3,klem,0.9516129032258065,1.0,-9,"['a09', 'a11', 'a12', 'a01', 'a26', 'a05', 'a13', 'a15']","['a11', 'a09', 'a13', 'a26', 'a05', 'a13', 'a15', 'a01', 'a12', 'a13']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,port smerte flagg kurv huske huske start plystre bryter kikkert,0.25842696629213485,1.0,kharo chtanin klea kyah,0.8412698412698413,1.0,-6,"['a17', 'a02', 'a14', 'a34', 'a29', 'a07', 'a25', 'a12', 'a01', 'a13']","['a17', 'a07', 'a14', 'a29', 'a01', 'a13', 'a02', 'a34', 'a25', 'a12']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,frukt krabbe søster glorie bleie glitter kurv port glorie bryter,0.3473684210526316,1.0,det er for det,0.828125,1.0,-6,"['d19', 'a30', 'a17', 'a09', 'a02', 'a33', 'a08', 'd08', 'a15']","['a08', 'a09', 'a08', 'd19', 'a30', 'a17', 'a02', 'a15', 'd08', 'a33']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,kjerne skjerm søle plante terning kikkert blomst rund krykke glitter,0.4266666666666667,1.0,sjøl,0.9411764705882353,1.0,-9,"['d08', 'a04', 'd10', 'd17', 'a07', 'a12', 'a26', 'd09', 'a06']","['a26', 'a07', 'd10', 'a06', 'd09', 'd08', 'a12', 'a04', 'd17', 'a06']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
2,flette skøyter søster kran søppel premie premie flue sjiraff brå,0.5056179775280899,1.0,onkel det er god,0.859375,1.0,-6,"['d19', 'a10', 'a11', 'a07', 'a01', 'a26', 'a13', 'a15']","['a07', 'a10', 'a13', 'a11', 'd19', 'a01', 'd19', 'a26', 'a07', 'a15']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base-verbatim
3,artist glis turn kran skjorte tjern tralle kropp torne løpe,0.11494252873563218,0.6,broch shan,0.9152542372881356,1.0,-8,"['d19', 'a17', 'a04', 'a14', 'a31', 'a34', 'a25', 'a12']","['a34', 'a31', 'a14', 'd19', 'a12', 'a04', 'a31', 'a25', 'a17', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,mus bygge skjære fugl kvart flaske rød flakse by trapp,0.2247191011235955,0.9,skive se hårt hjørnet liste plante for øl,0.6851851851851852,1.0,-2,"['a30', 'd02', 'd12', 'd14', 'a22', 'a01', 'a05', 'a13', 'a19']","['a30', 'a30', 'd14', 'a22', 'd02', 'a05', 'd12', 'a19', 'a13', 'a01']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,glis myk pute ødelagt tynn sulte grønn krakk internett skjørt,0.3373493975903614,1.0,gryter da klare for tid ro ro lønn,0.7704918032786885,1.0,-2,"['a20', 'a02', 'a34', 'a29', 'a16', 'a28', 'd08']","['a29', 'a28', 'a20', 'd08', 'a02', 'a16', 'a34', 'a34', 'a34', 'a02']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,søster brun trikk flette hylle blå trapp bror kjerne søppel,0.449438202247191,1.0,kjøkkenet knev opp hvor det er kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttet kjøttetelen kjøttetelen kjøttet,2.305084745762712,2.2,12,"['a30', 'a09', 'a03', 'a34', 'a11', 'a08', 'a33', 'a06', 'a27']","['a33', 'a06', 'a34', 'a27', 'a03', 'a11', 'a08', 'a34', 'a30', 'a09']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,løve glass blad skitten garn stjerne krone kvern kart fortid,0.5074626865671642,1.0,kjolle be,0.9166666666666666,1.0,-8,"['a30', 'd12', 'a02', 'a14', 'a32', 'd10', 'a11', 'd11', 'a19']","['d12', 'a32', 'd11', 'a14', 'a11', 'd10', 'a19', 'a02', 'a30', 'a14']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,ekorn fregner sykkel klem kvart krone fortau lun premie skøyter,0.05333333333333334,0.3,triller killan ski huske tynn okke tryne svømme svert,0.746031746031746,1.0,-1,"['a02', 'a21', 'd14', 'a23', 'a25', 'a26', 'd18', 'a06', 'a27']","['a25', 'a25', 'a21', 'a27', 'd18', 'd14', 'a06', 'a26', 'a23', 'a02']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,skjema kvart løve sky glass skjerm sølv søster søle bygge,0.25842696629213485,1.0,kofferts tårnet viket bra tynne,0.7719298245614035,1.0,-5,"['d08', 'a02', 'a32', 'd14', 'a01', 'a26', 'a05', 'a19', 'd03']","['a01', 'a32', 'a05', 'd03', 'a02', 'a02', 'd08', 'd14', 'a26', 'a19']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,klappe fly vindu blomst svære grave ni tær glitter skip,0.3473684210526316,1.0,svart ekorn torn torn torn,0.7818181818181819,1.0,-5,"['a30', 'a09', 'd06', 'a29', 'a22', 'a26', 'a19', 'd08']","['d08', 'a26', 'a30', 'a29', 'a22', 'd06', 'a19', 'a26', 'a29', 'a09']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,øre start plaster pute prins smykke pute grave skive hjerne,0.4266666666666667,1.0,stupe,0.9152542372881356,1.0,-9,"['a04', 'a09', 'a14', 'd06', 'a10', 'a22', 'a28', 'd18', 'a08', 'a06']","['a06', 'a22', 'd06', 'a09', 'd18', 'a28', 'a08', 'a04', 'a14', 'a10']",words_80_90.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,koffert kjerne koffert lytte smart bra tar sykkel svart skilpadde,0.5056179775280899,1.0,støffel søkkel trykk svøtt flykt blod det gjorde det tone syr troll,0.8,1.2,2,"['d12', 'a34', 'a29', 'a23', 'a12', 'a28', 'a13', 'a27']","['a23', 'a34', 'd12', 'a29', 'a13', 'a34', 'a27', 'a28', 'a13', 'a12']",words_90_100.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,kran gul tjern skjerf skinke glør klappe ski drikke karneval,0.22988505747126436,1.0,start kikkert kålvinn,0.8,1.0,-7,"['a30', 'a04', 'a09', 'a31', 'a10', 'a29', 'a12', 'a26', 'a05', 'a06']","['a12', 'a05', 'a06', 'a31', 'a30', 'a26', 'a10', 'a09', 'a29', 'a04']",words_100_110.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
3,pute svart plante skive skjerf ku trylle skjema kran sur,0.3493975903614458,1.0,der ropp frøye knar hytta fraske kjell kjell frede,0.75,1.0,-1,"['d19', 'a04', 'a09', 'a10', 'a22', 'a18', 'a15', 'd03']","['a22', 'a10', 'a10', 'a04', 'a09', 'd03', 'a18', 'd19', 'a04', 'a15']",words_110_120.wav,../3x10_Concatenations/3x10_score_3_mixed,NNL-base-verbatim
