score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,0.17647058823529413,0.7,det er jo noen det er jo noen det er jo noen det er jo noen,0.8771929824561403,1.6,6,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,Tiny
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,0.26881720430107525,1.0,upp sjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg hjeg h,9.241379310344827,11.2,102,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,Tiny
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,0.3670886075949367,1.0,blåle blåle pren heller plain blåle blåle blåle blåle blåle,0.6721311475409836,1.0,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,0.4050632911392405,1.0,fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje fjølkje,1.046875,1.1,1,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,plystre kvern glorie klem bryter briller drue barn start løve,0.5072463768115942,1.0,pristre kva klo kram bt bl dv bl dv bl dv bl dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv dv,5.278688524590164,11.2,102,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,plystre blokk horn søle svømme svart glorie garn blomst blå,0.03896103896103896,0.3,priste doki um sjell sjell sjell sjell sjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell gjell,10.915254237288135,11.2,102,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,bjørn artist søt terning løve horn glorie glad kikkert børste,0.25274725274725274,1.0,jeg fikk det som laksen hva er det,0.7377049180327869,1.0,-2,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,barn flette drue skjema smart vindu tralle munn glorie horn,0.3291139240506329,1.0,og,0.9830508474576272,1.0,-9,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,0.4044943820224719,1.0,i går det kjedef plakke søre sømmer har du det er at det st i anne ut ut ut ut,0.8245614035087719,2.0,10,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
2,kort korn klo klem kikkert blokk bart fortid fortau fort,0.504950495049505,1.0,gått gått gått gått gått kram sikket bryk batt førtet førtet førtet føtt,0.7678571428571429,1.3,3,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,Tiny
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,0.17647058823529413,0.7,flak ljern glam glam glom blitt hjel flak i atte jo no,0.5862068965517241,1.2,2,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,0.26881720430107525,1.0,plag for alt blod blod blod blod og det er ikke det er ikke for flast her,0.7543859649122807,1.7,7,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,0.3670886075949367,1.0,vi har å bli loppse glittet hes seg siste siste siste snal smart frik fjell,0.8448275862068966,1.4,5,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,0.4050632911392405,1.0,halt hva gland gland gland gland gland gland,0.7833333333333333,1.0,-2,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,0.5072463768115942,1.0,når vikører påkører påklopsyll på måsyll på måsyll påbløspostetjærne,0.7936507936507936,1.0,-1,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,0.03896103896103896,0.3,gårn hvor hvor hvor hvor hvor hvor hvor hvor,0.6607142857142857,1.0,-1,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,pluss prins hjørne drue sky svart svømme ugle kvern sjakk,0.25274725274725274,1.0,bløsig brings pjånne hæ geru deg hæ sva sva med kla tva en sva,0.6140350877192983,1.4,4,"['d18', 'd17']","['d18', 'd18', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,horn grønn glass karneval jus enhjørning dyne dykke drue sky,0.3291139240506329,1.0,un grann klaft karnval ryus en annen inn din du ikke du røver,0.48333333333333334,1.3,3,['d16'],"['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,svømme skjerf lys kurv plaster skjære skive sjakk prins hjørne,0.4044943820224719,1.0,så vemmet kjørif litt gør dottet sjære jjør jjør prin jørene,0.5,1.1,1,"['d15', 'd16']","['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd15']",words_80_90.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,horn korn fortau flagg drue smør skjorte turn grave grønn,0.504950495049505,1.0,hvorfor ten slange det er du det smell stortet tudet gjerne gjerne,0.6842105263157895,1.2,2,"['d15', 'd14']","['d15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd14', 'd14']",words_90_100.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,gris glør glitter glass hus frø krakk fregner brun bror,0.2631578947368421,1.0,gis gudet deg gudet deg dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette,15.8,14.9,139,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",words_100_110.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,bro blomst bart frakk drops kran krone søster smør skulder,0.34177215189873417,1.0,det er jo prømst fjok djup fjong jonga sistig snøj skulelej,0.6206896551724138,1.1,1,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",words_110_120.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,ugle trylle troll tre trapp tralle kropp skjerf plaster øre,0.4117647058823529,1.0,uttere tiene tjon tja tja tjon tja tja tja da sjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj,7.491525423728813,1.1,1,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",words_120_130.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,lys kurv lytte plystre sjiraff skjære rund rød prins hus,0.5064935064935064,1.0,lise kjø litte pristig svilt seg gjør gjør gjør gjør gjør,0.6607142857142857,1.1,1,"['d14', 'd13']","['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13']",words_130_140.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,kjerne huske by børste drops søster sky kropp ugle turn,0.24719101123595505,1.0,sal priske bier tastet røps røps røps røps skjer kjer kjer i kjøs i kjøs,0.9272727272727272,1.5,5,['d13'],"['d13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13']",words_140_150.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,syk kurv rød grå glorie horn koffert kikkert bror drue,0.3670886075949367,1.0,seg kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kred,18.574074074074073,14.9,139,"['d12', 'd13']","['d13', 'd13', 'd13', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12']",words_150_160.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,søster trapp løve kvart skjære rød premie port hjørne frukt,0.37681159420289856,1.0,søstig frapp løver kvart sade rø pive i hjemme fukt bjerne fikt,0.423728813559322,1.1,2,"['d11', 'd12']","['d12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd11', 'd11']",words_160_170.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,glorie glør horn hund bror blad fortau stjerne start sky,0.5068493150684932,1.0,i løbret gløver kund jøbret platt fort av stjern størt skj,0.42857142857142855,1.1,1,['d11'],"['d11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11']",words_170_180.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,svart turn trapp mus lytte lyn kvern ku port gul,0.25882352941176473,1.0,såd tid drop nys lysk lysk lid i hjem kvann kj kjøl,0.7708333333333334,1.2,2,"['d10', 'd11']","['d11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd10']",words_180_190.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,gris glør kran kort huske kikkert artist blad by erter,0.39325842696629215,1.0,jeg gør ikke gør ikke gør ikke du sker ikke jeg er det ikke bra ut du blir jeg er det ikke,1.0740740740740742,2.2,12,['d10'],"['d10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10']",words_190_200.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,stjerne smykke mus kvart kurv kropp skitten skip glad glør,0.3835616438356164,1.0,serne smikke nys kvart kvart krop sjettet sjip og kval,0.3620689655172414,0.9,0,"['d10', 'd09']","['d10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09']",words_200_210.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,grå krabbe kort klem kikkert jern fjorten briller bart krykke,0.5068493150684932,1.0,grød hva er det jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er,16.40983606557377,29.4,284,['d09'],"['d09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09']",words_210_220.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
3,brun flagg flue enhjørning sølv sport søle smart skjorte kvern,0.21686746987951808,0.9,rien,0.9354838709677419,1.0,-9,['d09'],"['d09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09']",words_220_230.wav,../3x10_Concatenations/3x10_score_3_sorted,Tiny
