speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist barn verts bjørn blå blad brad breie blakke blomst blian,0.22807017543859648,0.5,1,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,busse bøyli bru bø blod bø,0.6851851851851852,1.0,-4,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,barn batsj bjørn børå grad breie blokk,0.5087719298245614,0.7,-3,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,børste briller bro brød bor brun bruen bruter bøsj bi,0.2777777777777778,0.5,0,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist bar,0.8245614035087719,0.9,-8,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5056179775280899,1.0,bursdag briller bero bror bror briter,0.49056603773584906,0.8,-4,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,barn bart bjørn blå blad,0.5789473684210527,0.5,-5,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,børste briller bro brød bror bryn bryter buss by begge,0.037037037037037035,0.2,0,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist barn baj,0.7368421052631579,0.8,-7,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,verksted briller bro brø brur grunn brudder buss bi bikke,0.2777777777777778,0.7,0,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,r bjørn bjell blod breie lakri,0.6491228070175439,0.9,-4,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,børste briller bro bro bror bror broder,0.37037037037037035,0.6,-3,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,ban,0.9473684210526315,1.0,-9,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,best bleled blod blæ blål blod,0.6851851851851852,1.0,-4,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist barn bjørn brag brad breie brakk blomst,0.3333333333333333,0.6,-2,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,verst briljer bro brød bror brun brinke buss bi bygge,0.16666666666666666,0.4,0,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a09,[3 3 5 2 2 3 3 5 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,akyst barn bajj bør brå,0.6842105263157895,0.9,-5,a09_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a09,[4 2 4 4 2 5 3 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,børste bryllid bro brød brol brun brytter buss bi pinga,0.18518518518518517,0.5,0,a09_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a10,[5 5 4 3 2 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,artist barn bart bjørn bø brå,0.543859649122807,0.6,-4,a10_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a10,[3 3 5 3 4 4 4 5 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,børste pryller bro bro bro brun bryter buss bi bikke,0.16666666666666666,0.5,0,a10_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a11,[2 3 3 4 3 2 3 4 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5074626865671642,1.0,blå blæ blæ blåkk blomst bleien,0.5789473684210527,0.8,-4,a11_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a11,[3 1 4 4 1 2 2 3 3 3],børste briller bro brød bror brun bryter buss by bygge,0.5056179775280899,1.0,beste bare erik bro rød arul,0.6666666666666666,1.0,-4,a11_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a12,[2 2 3 2 1 1 2 2 3 1],artist barn bart bjørn blå blad bleie blomst blyant børste,0.5074626865671642,1.0,bjørn,0.9137931034482759,0.9,-9,a12_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a12,[2 3 3 1 3 4 2 5 3 4],briller bro brød bror brun bryter bygge dør drikke drops,0.5056179775280899,1.0,druer trø brødbrødrun druen fritør pike dør drikke drops,0.35714285714285715,0.7,-1,a12_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a13,[2 2 3 3 4 3 4 4 4 4],artist bart bjørn blå blad bleie blokk blomst blyant børste,0.5074626865671642,1.0,blad bleie blakk blomst blyant børste,0.3898305084745763,0.5,-4,a13_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a13,[2 3 3 3 3 2 5 3 3 3],briller bro brød bror brun bryter buss by bygge dør,0.5056179775280899,1.0,blø bløl bløl,0.8431372549019608,1.0,-7,a13_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a14,[3 5 3 5 3 5 5 5 3 5],artist bær bar barn bart bjørn blå blad bleie blod,0.5074626865671642,1.0,artist bær bær barn bert bjørn blå blad breie blod,0.06,0.3,0,a14_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a14,[5 4 4 5 5 3 3 5 5 2],blokk blomst blyant børste bra brå briller bro brød bror,0.5056179775280899,1.0,blokk blomst liant børste bra rå rille bro brød bror,0.08928571428571429,0.3,0,a14_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a15,[4 3 3 5 4 3 3 4 3 4],artist bær bar barn bart bjørn blå blad bleie blod,0.5074626865671642,1.0,artist bæl balt barn barts bjørn blad blad bleie blod,0.12,0.4,0,a15_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a15,[3 3 3 4 3 2 2 3 3 2],blokk blomst blyant børste bra brå briller bro brød bror,0.5056179775280899,1.0,blakk blomst blyant børste blad blad briller blå bløde blåt,0.23214285714285715,0.6,0,a15_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a16,[5 5 5 5 4 5 3 3 3 4],artist bær bar barn bart bjørn blå blad bleie blod,0.5074626865671642,1.0,artist bær bar barn bart bjørn brå bra breie blod,0.08,0.3,0,a16_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a16,[3 5 5 4 5 3 5 5 5 5],blokk blomst blyant børste bra briller bro brød bror brun,0.5056179775280899,1.0,broch blomst blyant børste bra triller bro brød bror brun,0.07017543859649122,0.2,0,a16_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
a17,[5 5 5 5 5 3 4 3 4 4],artist bær bar barn bart bjørn blå blad bleie blod,0.5074626865671642,1.0,artist bær bar barn bart bjørn blå bra,0.26,0.3,-2,a17_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-medium-verbatim
