speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn backst bliand blyan,1.0,1.0,-5,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bøh li bøh bjølju bjølju bjøl,1.0,1.0,-4,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,bjørn bør og klar breie blokk bramst børjant bøljant,1.0,1.0,-1,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bøsj bi bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bje bjørn bje bjr bjørn bj bjr bjr bjørn bj bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bjr bj bjr bjr bj bjr bj bjr bj bjr bj bj bjr bj bj bjr bj bj bj bjr bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj bj b,1.0,1.0,187,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist bar brian botch eller brian,1.0,1.0,-4,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5068493150684932,1.0,brilli bero dete prøve bror briter briter brilj dør dør dør,1.0,1.0,1,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn bart bjørn blå blar bromst briant briant,1.0,1.0,-2,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bror bro brød begge,1.0,1.0,-6,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artist barn b boje bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjøln bjørn bjørn bjørn bjørn,1.0,1.0,16,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,verste briller brød brød brød ikke,1.0,1.0,-4,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,takk takk bjørn,1.0,1.0,-7,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste pelle brå bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk bråk b vil ikke,1.0,1.0,28,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,,1.0,1.0,-10,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,,1.0,1.0,-10,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a08,[4 4 4 3 2 2 3 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,artis tist barn barn atch bjørn troll braat,1.0,1.0,-2,a08_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
a08,[3 4 5 5 4 4 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,verst brøljer bro brøl brøl brøl brøl brøl brun brøl brun brøl brun brøl bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge bygge,1.0,1.0,32,a08_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-base-verbatim
