speaker_id,score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist barn bæsj bæsj blubb blubb blubb blubb blubb blyan,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 0.5, 0.75, 0.5, 0.5, 0.5]",6.05,1.0,0,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.0, 0.75, 0.8, 1.0, 0.75, 0.6, 0.6, 0.6666666666666666, 0.16666666666666666]",0.8
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,bø bø bø bø bø bø bø bø bø bø bø bøg bøg,,,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5]",5.133333333333333,0.9,3,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.6111111111111112,1.3
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn bjørn børr klar røye blokk bramst,,,"[0.6, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.75, 1.0, 0.8333333333333334, 0.6666666666666666]",7.683333333333334,1.0,-3,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5263157894736842,0.7
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,børste riller bro ja går rir den bruter børs bi,,,"[0.8, 0.8333333333333334, 1.0, 0.3333333333333333, 0.75, 0.75, 0.8333333333333334, 0.6666666666666666, 0.5, 1.0]",7.466666666666667,1.0,0,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.0, 0.14285714285714285, 0.0, 1.0, 0.75, 0.75, 0.8333333333333334, 1.0, 1.5, 0.8]",0.8
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,artist bar boch hjelp broch broch blokk gromps,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.25, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333]",5.133333333333333,1.0,-2,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.5263157894736842,0.8
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,brilli bero brille bror briter bricer bricer binni binni dør,,,"[0.8, 0.5, 0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.6666666666666666, 1.0, 0.5, 1.0]",7.05,1.0,0,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,"[0.8333333333333334, 0.7142857142857143, 1.3333333333333333, 0.5, 0.75, 0.3333333333333333, 1.25, 2.0, 0.8, 0.0]",0.9
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,barn bart bjørn blå blå brød brok bromst briant,,,"[0.8, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.75, 0.25, 0.75, 0.8333333333333334, 0.6666666666666666]",7.383333333333333,1.0,-1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.3157894736842105,0.6
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,briller bro brød brr brinn bryter buss b begge,,,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 1.0]",9.083333333333332,1.0,-1,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.2222222222222222,0.5
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,"artist, barn, bitch, brom, bro",,,"[0.8, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5, 0.75, 0.75, 0.5, 0.6666666666666666]",6.133333333333334,1.0,-5,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,0.6491228070175439,1.0
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,verste briller brød brød brød brød grønn brutter puss bi ikke,,,"[1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.8333333333333334, 1.0, 1.0, 0.75]",8.416666666666666,1.0,1,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,0.3888888888888889,0.9
