score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,0.17647058823529413,0.7,ænn pritt vel lagt rået hva er det var så da men,0.7543859649122807,1.2,2,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,Base
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,0.26881720430107525,1.0,hva er det,0.8793103448275862,1.0,-7,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,Base
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,0.3670886075949367,1.0,glåla tulla planna hilla plinele blønn bløtsel blaksa glåla glatt,0.639344262295082,1.0,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,0.4050632911392405,1.0,slik slapen shite klap slik løvna løvna løvna slik gjøddeva fester,0.65625,1.1,1,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,plystre kvern glorie klem bryter briller drue barn start løve,0.5072463768115942,1.0,prister kværm kredo krem beetay beetlay dive barn dot løve,0.45901639344262296,0.8,0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,plystre blokk horn søle svømme svart glorie garn blomst blå,0.03896103896103896,0.3,plistet dokki un shale svema svart nå kan du du,0.5254237288135594,0.9,0,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,bjørn artist søt terning løve horn glorie glad kikkert børste,0.25274725274725274,1.0,pistosalarsen er til er det du som ser det,0.7540983606557377,1.0,-1,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,barn flette drue skjema smart vindu tralle munn glorie horn,0.3291139240506329,1.0,ogdettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedettedette,1.5254237288135593,1.0,-9,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,0.4044943820224719,1.0,likkor det gitt dekken søle sømme er du altil at jeg er styr gjønne ut utis,0.7543859649122807,1.5,6,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
2,kort korn klo klem kikkert blokk bart fortid fortau fort,0.504950495049505,1.0,godt goden godet grøm skjæt brøk bat føttet føttet futt,0.5714285714285714,1.0,0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,Base
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,0.17647058823529413,0.7,flok liana glam glava glom lettele flotte hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjertet hjert,14.672413793103448,11.3,103,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,0.26881720430107525,1.0,club 4l lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod lod,10.140350877192983,14.9,139,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,0.3670886075949367,1.0,fjort b løbs glitt hreset sestel sennel sennel smart k k,0.5689655172413793,1.0,1,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,0.4050632911392405,1.0,helt klemmer ført glam trøy trøyla trøyla trøy glam helt,0.6333333333333333,1.0,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,0.5072463768115942,1.0,nå er vi sløp på kull skjip klamp silt på med silt på med silt på med blus bosted gerne,0.8412698412698413,2.0,10,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,0.03896103896103896,0.3,gård hod høyys bård for fattel ditte fyr sær kvart sær,0.5,1.0,1,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,pluss prins hjørne drue sky svart svømme ugle kvern sjakk,0.25274725274725274,1.0,bløs brins pion hø kjøy hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø hø,7.56140350877193,14.7,137,"['d18', 'd17']","['d18', 'd18', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
3,horn grønn glass karneval jus enhjørning dyne dykke drue sky,0.3291139240506329,1.0,un grøn klaf karnval lius ennening dina ducke dru kj,0.35,1.0,0,['d16'],"['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16']",words_70_80.wav,../3x10_Concatenations/3x10_score_3_sorted,Base
